regime,alternative,replication,seed,sample_sha256,fold_sha256
linear,null,32,620260937,e0aa33a691d19ad3f6155885285d5d30515b08de8b1dfe2ed8e7a0cac7e9f399,215ef33a378dce06af2b83e623b5fc9875e872624586c61397dd17f24cb2e4e5
linear,null,33,620260938,887ee91d55ed84172fe55b8931405b5eb6a271e1f7dece2bec0fe66faf82da50,d94ae4317f11cead1c46402039379cbe50fe15887874ec1652806e88e9db3d8d
linear,null,34,620260939,2dfad553ace6965ff7e635c3870f4c8d9dc1dc241892128c28b235a17f5e417d,904d532d5ef54ba4ff3b0924ef32a5ce896b062e48a1c9441261b52566d8f820
linear,null,35,620260940,cfa0d6738ed0c27120e4862ea555baeb6e99083b81deee354eeb3bc9bf792a9f,6d588e99bb57fb777b2a016a41d77d4437c7b7565763bdc577dc264e711cd51c
linear,null,36,620260941,930041010c959f06a3030d199f84a497c09bf21773b1d32a44c276e7bd5ee184,697429ab2e5ec32ad8ff815f61bfae2884a94e8645e0621cd6493dedc336b3d5
linear,null,37,620260942,9d8c1447aa31bc91a9ff3a03a545731967a58c2900eacefa644e6b7f15a50341,6e497fc0102e799b32101da83b1ff6f6cf44e033a39a7e829ae57e5526c53ebf
linear,null,38,620260943,3131bf33e5360b97fdee8056283803b4450255eac706646b5ab33e37450d0626,99d41c2248761fad731831e0524dec02008317b82fb10f0d1ed1902644444b05
linear,null,39,620260944,2defbffdf1ec4b86cbc63387b3f3733365183fd2ae1971a30ba1c35a363bc2ce,d44baa1112ca61fe38825a1d7c01a03cb8c163ff2168a3843f488282d7d6572b
linear,null,40,620260945,7396cdd38f163ba3135ee21c5db3727f155c07958ddfee60bebe3a4f574bcd56,1f7e9637062d1401e7894d41658389a4c6543847498019dd3ece07d3902357f0
linear,null,41,620260946,ded38d8f5fdfb83ba19ee9c537427d89f9321eef2d1d86e27ef014ec8385cb1a,b9e03f5c6af5717669aafb9b2a8fbf33ba5c8b299cc983252b3ef7d9220ba4e6
linear,null,42,620260947,535a1b115c6e3a458e8ff4d919710fde17b61e2bfacdf33081c92a4a42a0898b,656daa7acaf62a6020ab552b7a2cda2d56900551e1367e25e072bf494fd99762
linear,null,43,620260948,a2caf96c573054badc80f5c1edd501d80eaec1fb29782ffa95738fa90251469c,4cfa8d77374a8b5653a79076f556f0e75147910d4be3205b555dddc37e272785
linear,null,44,620260949,78b1a5048fd3535a6972f54b98d02c4777ee11493c10f85d4bc2cdc697a8be95,c2a316791feaa9ffd2f8f43322d7124c9f620e896a21b6f6d0eff0bb6d491354
linear,null,45,620260950,b2dea97647815634ef840ce1d4413533ea88a89132b1ffc60ab9082c1b119b3f,5a0450864f486004550494b862d41015eecc61cabd0df224a0ed15a607073c18
linear,null,46,620260951,8bd829b03e67e406ef2bb301926e2a32cb396cb6a949848926f640eb5b96ea80,374e8064fd606ba2b9f4eb25e9529d46679231f6f74ab317b132d1c032d5e0bd
linear,null,47,620260952,f3e4168e6c051733e74df547945c085bf0797a613fd08d2ff7e964727f790f72,783f81b751132132b64ba95cb54918f47f007d6b68f04cbe7d4247ea5ceeb3c9
linear,null,48,620260953,33a0fe41473b85fbd48d74bf7fb358c626f067fe65440b8b990983752f1ca0b2,e303c57d58414b86744cff42738c9f357cc0cf4c7ca232eb553b67e4fa24a8a7
linear,null,49,620260954,e8835ede25543c58a3e79af2db76aebb395fd41ddfbe91f2fbebdcefd6f94ed8,c76a2518365ee24ebf38313450af7b290fe91628ccd08f8b294dea2f9e7d36b5
linear,null,50,620260955,c532e47a3cefde68e7b544a1f9eef6f2b542c44989f3dc17a70cba1e1591d496,480b92d26610208cb22447b309401251e21208701450f467fbe9a072d6bcb2ff
linear,null,51,620260956,8dde9ca45700bca5f0040b20148289618e2be6e1beb78b235977cc3057d60c95,87262747ec6248b937ec00a44a1597a4102cab1d40a2ea9c90fe82323def0b27
linear,null,52,620260957,dd6f4e02d8d1383132f15d68e29ee0a7a0887cfca75b9cb953da2bb611083150,856caf28e3aa44d6050799488e2992fbe0466cd67780fd4d6e2bee1205fda1fe
linear,null,53,620260958,f04cc32b238b06badc213ac5bb5cd04a514f84ee2120b6b23140e32c87b54fc7,925604d2da2a3a36f4dbb594c3e593c07a332d4cc29ab053b5d1646353372e36
linear,null,54,620260959,14ccc0677288405e493a8762c41c9a55a4c782cb1da059b1fd03186114eb645c,07e33039a22e944796a7aff1c68a3e8b090989bea5410869d002abcb355637e1
linear,null,55,620260960,0701b925f89d0e77cd56e3473b78795ac0f06069146138590d34a90554e1e467,54ac2e38bb707ced7060762bc02bfac08ae15d6cd557010f33ccf7020c1a7e81
linear,null,56,620260961,4d351269f8e311f534b7807b18d7c5c1fabf93484305106ed01453ea9572da8b,4b046874f4d06ff3e7c763a377e62c92fb8cc3630cb7e29fc01f02341a87b4e4
linear,null,57,620260962,ffec78530c649fe6739aec095897d7ecbc6d3ea590b21d5420d35039cc2eeac7,c26f79827994428d9429862507a6bf47920e4bda57c4d1126f71b25c89042c2f
linear,null,58,620260963,1523f4b4e383d418bb7e83df493c50c7d2844838821200795e86fda609ee02bb,4557165ed9b39596cffab8562216f277fc27d01afb26c24596ab54f469d165bd
linear,null,59,620260964,f88cb27b908a160127639000bf0be3461c28a6f3a0de9c5e972b1d6a357b72e5,e78f0ae8defa40c0a6a655055ee1f8ab8ef370d03a5f16de936225d3bcf0e792
linear,null,60,620260965,37c9104d7a743933b9e19ba4a3dc806e404db2b6351fddda417d29c1cc0a690d,b4c2e325ca9d5b5c7a014bfe6d4e0551597d6c9083fa195640be1ec342eecd64
linear,null,61,620260966,9769907d4eab5b7aa7812f65ca0a57d65298c8d1906f9108d1a1f4d618bfa37e,35540eb90c50ce836b928384001aa32bcbd948638a149fa60f098b77167cd155
linear,null,62,620260967,84587e6b4c8e778dce48fd242598bb4ad8fa7e510a83555a9f5f15c5f1e2d261,3ae80e14b7f3b7d5954d54fd79c4ce9328ce4ac7740f0273579227eee2ae0236
linear,null,63,620260968,db633d7d3617bbabc1597258daf5ecba87e8adfa85e538c252387228eb80d453,1be2c97223537562466204f8df4b0ea9e02bbb1ef2406be5878f195c823c7e05
linear,null,64,620260969,3539ff96d136c3fa408669d9be1c09e3c2ea5ddfc2e9e5f3ddac95323b6e7b61,7e407c6ee7ba2b9e2bf8df4d6134ae4602bebb5d0c9f0d600018e650fffcbf89
linear,null,65,620260970,111829d47eab420d1f06452f73bdbb4c7e7793224a691f6154af1cda8de3b8a3,931360b95455e006aac010227602de3e1e46a091892e9f3c9025a3d36e42d5ab
linear,null,66,620260971,cf843435fe78c5751eb317155174b3e81f476bbbc44b1120601b27b69a02033a,9504bc07c468bac0bfbb4d4fc8d3674d50929b484a5ee01d07d3aa560dfc3973
linear,null,67,620260972,3f60a49f414d9db99222dff22f65d58efa6ee59b340797331f81a317b0b94823,ff54d9a8e370e31c6f761aa76411ad78a77d2d0fa095672519687730aad62a76
linear,null,68,620260973,6ae10bc622f44f9100822091d64d3ce16699eec46b3eff78ea5f0db0612968f2,cc95a9d36316be0f28000de08357d9301a67a30528c86f546afda6b33c7b70cd
linear,null,69,620260974,0589c04b165dd5567385c8ec4a67fdcf70dc35620cecd55c3de7fd24b76d2359,1727c92a74eaaf6e31bf5930a5f439b3bcbed1c3d184c4fe4b41e04493817072
linear,null,70,620260975,51d83149df88928c20693a722a3b8419252278a1885a642c866016334d5b7245,b86d68e6b3c3ef8abe3f2405de59650e9ee5b8daf05174928389670a89d418cf
linear,null,71,620260976,87691e0c0bf08aeb135154e3302d2a9454ba76f6f44e61f24efb239369fd435e,e8d3fef74d3f77506a12eba4dba0ca46dbc0ca3b5d547cabedd0d4e042b36963
linear,null,72,620260977,f844c9d54a3d3c1df45d1ae34136cb405579ad0c61e6210f55031f477a8bb326,d0a930c5095f5e03425c33dd17ba767ac815fa3fbef42c65fe8ac785f096dbc5
linear,null,73,620260978,b7a6a6ddaaa7e5cef7842750d0e91e8bb7ff64b07a8be0dfe4776d5d276bf648,8510c312d10eabed1d9d48bb75253616fd421d557f343f100aa89420adb6374c
linear,null,74,620260979,e79e59f51c8bba519375f3a2de3c6bb4f5179dd8619f617b11a3cc056c2a4820,be77bf60e36be2b66bfeb406f2db48329b312c579bac250d3f2ad62e144fe33b
linear,null,75,620260980,2e8582c7ff1275da5f222013e42dd63b26a06068b8580def5390f3c11bbbf8ed,a25d94425ce2ad8170338eb7cedb98224516c3978704c044712cc6490e64631f
linear,null,76,620260981,03731d7368d8fab1b9c9980eed74e150024581e4453778974f6729ee087dbd62,1b517ca88d3d63b7677027c10fde1b5bc9394558234e141dc35411e221dfb95a
linear,null,77,620260982,967cb93e1fef060375dec1a3e58cfe372234c308d7742e3c6471fd3049ecdddc,8d23c54fe63774efba1db66bad02494f1732d920c5d098d255a877a696069f34
linear,null,78,620260983,b2ad0c2a9a5aa0f4eb20860534992870560a3ec6a2dd7c5c28acaebd55c6f91f,ac9eda21ad96e0da51e10b567d8368b4102f7091fb0793318af380ead84900a7
linear,null,79,620260984,bf95f86b7e73de4621a325874bf21cb50e5c46939a5e53bbbda6661502928545,ebbc5a7330c4f09e9a2370603bfff28c72f711428fc522de4e94a3ee303f73ac
linear,null,80,620260985,d527415e93d80f4b1ca67f665992560573a3bde0d8d3be8969a7e0ffa5d3eb74,1669fe7b7cd88c0cbb5037eedc56319612f230b3b058b026d7caea5204474427
linear,null,81,620260986,67834772de00e9da942db7814ed16d81e30534f726298fd3458dbc4b8a9567c0,5c33a4db2069a7392de5f478e5b795b508709045fc1f13d508f884e0cc8ab032
linear,null,82,620260987,cd20df1357e93c5d6351991066958269cd89b4559db79d7c6eaeec242ca04974,399294e24923fcdea1cde19b70dcc6079f862752ab356879ef3c4aa6b7232a1b
linear,null,83,620260988,fa49cebf6fee07c33f08a184fd85049c0fa4033596e7d6fde61170b5d829eae3,3f84fe48252718e572cf80b657ab8480a803f1211ee3e17783e7bc7657981ac5
linear,null,84,620260989,c947c74fb84deaf95d33f7ed96432c0fe582db65e0f89a9ffa67fe36a496c744,4138e733c8a04ed8f132054fa757244068522df34faeb006d8131f2fe3b84973
linear,null,85,620260990,2e3eadb0f63cee08760cce36d9b59521421fed86eb939d9255bcc9d5598aafe4,6dc97a3f9594b3f07a40d19e3be8e39c725a9e2fc6bc0862cfeba290ce432427
linear,null,86,620260991,dce3f39245e1c3c5c1fd340587fdfb585b1e68cb48031fe0eac77ed0c27747a4,21c3045302356eb3b6039d37f16a9de3318a09a39c6075a74e79e6616a4e84d9
linear,null,87,620260992,abb7cd47e295ab4abcab7dd60ee227ed8be011671910175d9cef1a414f04e450,c985c88c173efb451c7130f70211f9fa078cc5bb47eae8e78fa1a204577add7e
linear,null,88,620260993,9dfbaa5eac1ade6d23d3bcf4c5ad925b44a55798da2690e60687d6b090979067,0f8538878e1ff08f828b90f6d206165a552b98b203a88890d5bd46d53b6d489d
linear,null,89,620260994,4bbc8322ae59ccb1629c2cdc8226286bdb5f0c9534ef08d00a1fcf58f85306e4,4cc028b61df8d4c190d803ca143168800ccac4f3303a9d7e02f407b1a5d16457
linear,null,90,620260995,00ef3639e9bf5361ceac791929c476e6a84899500a95f5a998647e2cc07640a3,eef4a1fa4bd6a9264bd451c31067bf33d46ccb1acbeeaedd35823de39cf7354c
linear,null,91,620260996,11d7a281c812fcd08ceb8775d89c9d2b796e0d11bf67acd5f77034fb1655cdb6,f4e243a860dfa753be3fc40b0d41116b95ea42d3c8ef9ac46bca6a07c9416018
linear,null,92,620260997,0288f9796ebf044a7dfd5b046197aa1f1924acb09ab747de5152067d45b99cc3,dbac5fc55f09ac31953ede732e7be7348248bc88910900f29b6c880f33fe779d
linear,null,93,620260998,f01ca6b324e70793d3bd88e1ed3d75de85d05382c56b652281d3e27aa90cf6bd,65c479dc9e6ad15905c74a0b5997b6e3b3e4e6763087bd2e7c1c00bdca86d1d5
linear,null,94,620260999,a1de4c1a68b59874ad0a0fe178880831633829a319d7a59f0b818e252b5d4c5f,8f38b0f420635a26963bcba1354a924b9a2d300e6c12197fd8c0759a1b10c8c2
linear,null,95,620261000,8c44623e556e3dedf1a994bf2849480090be5e9f0ea720b55942e364394fc673,b6fd65a34460447c53c9df8424f6b50c810c98610a8e8d3d3383d86be2351899
linear,null,96,620261001,c2c66af1b01b16b87650a6471acd4028c3cf9cf1662d3b515d84baf2ea168b06,a48e654d7d87a112b02baba6abcdfb10cbf0d55573e49f413cd099afed45c9cf
linear,null,97,620261002,d45c8c96389f57a2a0534a18e15be270bdc17f7546b546626599f94f73495933,054c00113d3a0e62d399e7a9bab1b1c8cd4f9f322181024012362e10f16b2b0f
linear,null,98,620261003,93a26ae85af282f1989e8ba3ade56a9476538ab2a1f7391f277508e4b6bfeea5,805429492ddc1c2eb2aaf40f0f00160f0fb7aeac398b59d0d23f4c1b3a99b656
linear,null,99,620261004,18b3b47e9dabf2d56aef740735d25d2ad22e3e0b107d8c4288e02b826c3668aa,dfcdc46805b589fbf69232b1ee7442ee3a160cf244477305d3f13b41e3571d08
linear,null,100,620261005,27eacb2a925d880ef7eb8039626587b0eb1ac4a78312964196ec59519a6c6e99,91f3918d496d96dc997af0fcb5476f50e512b542edaa0ea882a9346671c567dc
linear,null,101,620261006,9161e5bd1d5f70a18699812fb45940c58ba6d86a081798d08f2cab99fac0ec7f,48633392eb0c1188fcc9e95414506853621e66555a6889d59300511a4cde2321
linear,null,102,620261007,8fadcd2346d0ee059020db36b6089d8f80d0f6da9e3ed0baac417040dca7b25c,978543f207367c9e3db4980a9d97a89fa5224686d429b021c55a79572a69957f
linear,null,103,620261008,72a832a451ea1a123aa6a6b2bbe0f384775bb9a41d3c44139c67c3545506fef6,3f7483e1098b162acfebebd8111ca451c22b3ed079a84be24d2bfc6cad9e4ec4
linear,null,104,620261009,e1ddcb97a898b750d34f3507e01a163d57bf38e1ba94b8e11c8313ec620f2670,ef431382aadb4c5fa31809d8839d4482539338982ded4b657f959ee09830be52
linear,null,105,620261010,b8d189ccf1ea46855787133a5dfc7195b983c57c07b2c3e52c694ac1ab7fee07,6bb4fc715c6616a9180ad435cf7302995b39aaf30cb3bfc300b61b58b4b75e8d
linear,null,106,620261011,c9bd95988ee101de24d9012099e8bfa91d9cd2f5bae7c67511e584832e9e8720,8e5287c713b1a71051212d837f9a2fbbf9dd320b7185b3a400f6bccee728bb5f
linear,null,107,620261012,b68d839bf0e20008bc1822dead383a175657b53ed42216e5fdd7818d2a73e30e,7359d2bbf8f95e63b4c47dff712387e2da54f724d39a01793c8fa37d17fc9a36
linear,null,108,620261013,f94d2c6a2c67bf4f9db58480f2b1d60358034fbf5ef200940e243f746d9600a9,f964d9a561f636bc19614a978b3bdcc7fe65212548e56695c6754db0739433e7
linear,null,109,620261014,8494605c514779e0583b906958911132a0d9704615230067e7be702e01cb36bd,f30b0f858ea25b67a0ebd6c9e9bffc08350755c57170adc8ecde2df04a565ef0
linear,null,110,620261015,8da075c4bb6665341f4c3f35709a49c39e634b2a048a19f09a6c5510047cd087,713a7a608ddaad1808a5167b3d5cb78b973cac306599e22f5d7bbd00cc8e5b39
linear,null,111,620261016,0a8e5a459e483172515610dfc3efe226967ac413009844c488f1a5f14a2cd89d,686f7f3a20f695c390ccdafbc560bbb0dbcd051c319df6279d142b494d470d86
linear,null,112,620261017,e73362c4d05d116c8d8f8e7c920a6575645e90d16f96731848774faf45526e20,3be9b6f7b1860a8927f877778c9ddfc933589d5ec089ea42f3a95bea92b95e65
linear,null,113,620261018,d6737c976f437b7b5c5e7e3507fedf68a42511f0a21a0305ae94f222eef1d5e1,d2e687318fc40c3da611e60b58b713c0980ca3838162855803b5aafdd714f9f0
linear,null,114,620261019,3aa2f66460a8935dca30db2a54d147732ae34b1c66a7056f9f205408ba29b02a,686b110570079ae5f16ef4791e877ca97f5262f3ae8726c3ffdadb03da03352a
linear,null,115,620261020,8acdf496156c6fe0937dc842bf7461e742f0403a445b8f41ddf3fa4e4cbc6d70,60138efb6f6e27a1a99dec2fc5be42c0ad815b37b2758b309caa06a20dc41dca
linear,null,116,620261021,d7b22c5226a10c5db8255d0cbef57f7a8ac5f0f02e97ae84f51135c32419c114,6a86f2304e39d22d3cb91cea75b6ac1676bfd39dee76871332154624a0744df1
linear,null,117,620261022,433d0fcd205e1cc9bad84cd815e4a86377cd1350a2e107f2112f538811fdec23,e202037058f03227953b06b07f6b78ff9821a59cd8e1344ea3be32008d6fa36b
linear,null,118,620261023,da26b226a87e82ec551c17e6f8199529440162be9a376df597ee9a12c16d920a,365eb7b59c7e72f9d5f2f521e14a4adf83a2fd82c7ec79c2031fc36058d20db5
linear,null,119,620261024,6813d2c28d6e221fcc3938124a916f47fc302443f6259f42850813a90bed5f5e,186c374e57cb7b893f7cd547c56c0007176ccdc68b9caae4203ec33dce6988fd
