regime,alternative,method,rejections,replications,rate,wilson95_lower,wilson95_upper,mean_statistic
linear,null,gcm_coarse,66,300,0.22,0.1768274459698328,0.27025261791591293,0.6872644754817087
linear,null,gcm_fine,42,300,0.14,0.10527132693072411,0.18383161235094903,0.11902073543319251
linear,null,gcm_spline,30,300,0.1,0.07094791459501532,0.13916646238462152,0.009047241328302617
linear,null,extrapolated,36,300,0.12,0.08795084430363889,0.16165781382701605,-0.0818435286261128
linear,null,kci_gamma,21,300,0.07,0.04623694482717634,0.10463601042593325,85.30071904418492
linear,null,extrapolated_beta2,42,300,0.14,0.10527132693072411,0.18383161235094903,0.10336749038640287
linear,positive_covariance,gcm_coarse,298,300,0.9933333333333333,0.9760224167496928,0.9981698516420882,4.262022789150853
linear,positive_covariance,gcm_fine,287,300,0.9566666666666667,0.9272825343659885,0.9745035519155927,3.9332117877654915
linear,positive_covariance,gcm_spline,284,300,0.9466666666666667,0.9151308582251686,0.9669080874809034,3.623331521037514
linear,positive_covariance,extrapolated,285,300,0.95,0.9191529665272558,0.9694683593706526,3.7826621621049763
linear,positive_covariance,kci_gamma,219,300,0.73,0.6770882626256942,0.7770959706110145,201.11146675824298
linear,positive_covariance,extrapolated_beta2,290,300,0.9666666666666667,0.9397381741959452,0.9817950526611452,4.016731512060248
smooth,null,gcm_coarse,21,300,0.07,0.04623694482717634,0.10463601042593325,0.027372580034985616
smooth,null,gcm_fine,29,300,0.09666666666666666,0.0681502948182893,0.13538170196951116,-0.0819813301391721
smooth,null,gcm_spline,21,300,0.07,0.04623694482717634,0.10463601042593325,-0.08554304072720756
smooth,null,extrapolated,28,300,0.09333333333333334,0.06536421957889091,0.1315853970170732,-0.10107792363839758
smooth,null,kci_gamma,14,300,0.04666666666666667,0.027998933682334005,0.07679736022792105,98.57151288885453
smooth,null,extrapolated_beta2,27,300,0.09,0.06259022560547937,0.12777701079864834,-0.0675492450116042
smooth,positive_covariance,gcm_coarse,294,300,0.98,0.9570603791821394,0.9908023684422963,3.860260124659147
smooth,positive_covariance,gcm_fine,290,300,0.9666666666666667,0.9397381741959452,0.9817950526611452,3.7540124290107406
smooth,positive_covariance,gcm_spline,286,300,0.9533333333333334,0.923202639772079,0.9720010663176659,3.6513369735757064
smooth,positive_covariance,extrapolated,289,300,0.9633333333333334,0.9355461518281071,0.979404694837147,3.7195419058829278
smooth,positive_covariance,kci_gamma,218,300,0.7266666666666667,0.6736074258805682,0.7739944271643042,217.88121320048788
smooth,positive_covariance,extrapolated_beta2,293,300,0.9766666666666667,0.9526280277317246,0.9886523397008747,3.849797639100778
nonlinear,null,gcm_coarse,296,300,0.9866666666666667,0.9662244697474675,0.9948030382606411,3.387939077501807
nonlinear,null,gcm_fine,177,300,0.59,0.5335482149789318,0.6441760502006498,1.7468416165660376
nonlinear,null,gcm_spline,34,300,0.11333333333333333,0.082244501875291,0.15419939587169124,0.1878090285482788
nonlinear,null,extrapolated,63,300,0.21,0.16772180073330237,0.25961112257693425,0.6650284802094294
nonlinear,null,kci_gamma,14,300,0.04666666666666667,0.027998933682334005,0.07679736022792105,61.17206063565062
nonlinear,null,extrapolated_beta2,184,300,0.6133333333333333,0.5571245198072374,0.6666764067151987,1.8032433991152812
nonlinear,positive_covariance,gcm_coarse,300,300,1.0,0.9873570287754538,0.9999999999999998,4.890435627181662
nonlinear,positive_covariance,gcm_fine,298,300,0.9933333333333333,0.9760224167496928,0.9981698516420882,4.217665160224217
nonlinear,positive_covariance,gcm_spline,292,300,0.9733333333333334,0.9482710570494102,0.9864269301913529,3.7317285906201674
nonlinear,positive_covariance,extrapolated,283,300,0.9433333333333334,0.9111340419775253,0.9643225235367106,3.353632467687746
nonlinear,positive_covariance,kci_gamma,239,300,0.7966666666666666,0.7475056887150938,0.8383261483583421,197.17600418566937
nonlinear,positive_covariance,extrapolated_beta2,299,300,0.9966666666666667,0.9813633063054688,0.9994113422781488,4.247812302812498
heavy_tail,null,gcm_coarse,27,300,0.09,0.06259022560547937,0.12777701079864834,0.051345339131389243
heavy_tail,null,gcm_fine,36,300,0.12,0.08795084430363889,0.16165781382701605,0.03018302612783535
heavy_tail,null,gcm_spline,28,300,0.09333333333333334,0.06536421957889091,0.1315853970170732,-0.012706697517278797
heavy_tail,null,extrapolated,32,300,0.10666666666666667,0.07657584904594214,0.14670328831736743,0.0037407138444937407
heavy_tail,null,kci_gamma,21,300,0.07,0.04623694482717634,0.10463601042593325,86.14068284039546
heavy_tail,null,extrapolated_beta2,32,300,0.10666666666666667,0.07657584904594214,0.14670328831736743,0.011169563687497053
heavy_tail,positive_covariance,gcm_coarse,298,300,0.9933333333333333,0.9760224167496928,0.9981698516420882,4.223893312567784
heavy_tail,positive_covariance,gcm_fine,300,300,1.0,0.9873570287754538,0.9999999999999998,4.14952024498581
heavy_tail,positive_covariance,gcm_spline,291,300,0.97,0.9439774608583589,0.9841381461905676,3.967469489812707
heavy_tail,positive_covariance,extrapolated,296,300,0.9866666666666667,0.9662244697474675,0.9948030382606411,4.106388672380162
heavy_tail,positive_covariance,kci_gamma,278,300,0.9266666666666666,0.8914686583942826,0.9510760061607713,282.93771975373653
heavy_tail,positive_covariance,extrapolated_beta2,297,300,0.99,0.9710165066376601,0.9965933815622847,4.231107628546867
smooth,zero_covariance_dependence,gcm_coarse,18,300,0.06,0.03828636952469206,0.09283944515290846,0.12285152029851273
