entities,groups,training_rows,method,replications,rejections,rate,wilson_low,wilson_high,mean_statistic,sd_statistic,mean_score,mean_exact_expectation,mean_nuisance_bias,mean_error_bound,mean_scaled_error_bound,mean_centered_statistic,centered_rejections
16,25,0,distinct,1000,43,0.043,0.03207865341171336,0.057419003844084014,-0.062958907005933,1.0264854163213717,-2.879999999999992e-05,0.0,0.0,0.0,0.0,-0.062958907005933,43
16,25,0,shared,1000,164,0.164,0.14234418773548693,0.18822739396680613,0.6396931471903525,1.0023942707555737,0.001465275,0.0015000000000000002,0.0,0.0,0.0,-0.054229010342878387,41
16,25,32,distinct,1000,136,0.136,0.1161420645496615,0.15864381562782268,0.2846457623663567,1.2644842271283652,0.0007488385849957219,0.0007456976562949,0.0007456976562949,0.0017913011220446553,0.035826022440893106,-0.046491457895710936,48
16,25,32,shared,1000,267,0.267,0.24051036845887877,0.29527290099538994,0.9411162422804971,1.2227757825701833,0.0022429135849957216,0.0022456976562949,0.0007456976562949,0.0017913011220446553,0.035826022440893106,-0.03959525698642949,47
16,25,512,distinct,1000,46,0.046,0.03466249276326498,0.06081220394161907,-0.03691710893775083,1.0275997500124086,2.0116975317200726e-05,4.173301173449319e-05,4.173301173449319e-05,0.0001028822826933993,0.002057645653867986,-0.057367618147319804,42
16,25,512,shared,1000,170,0.17,0.1479915956385524,0.19453406496191405,0.6616464826809756,1.005568368636615,0.001514191975317201,0.0015417330117344931,4.173301173449319e-05,0.0001028822826933993,0.002057645653867986,-0.0491159022949469,45
16,25,8192,distinct,1000,43,0.043,0.03207865341171336,0.057419003844084014,-0.06145515151294677,1.0275027045652494,-2.5039843722099692e-05,2.8294754025718143e-06,2.8294754025718143e-06,6.3243103102705695e-06,0.0001264862062054114,-0.06286023909194416,43
16,25,8192,shared,1000,163,0.163,0.14140399765906392,0.18717523756020027,0.6411017801177487,1.0031847659202071,0.0014690351562779006,0.0015028294754025717,2.8294754025718143e-06,6.3243103102705695e-06,0.0001264862062054114,-0.05408468821965957,43
16,100,0,distinct,1000,42,0.042,0.031220885546165447,0.056284425226603055,-0.007666920176801328,0.9985513616074491,2.033750000000002e-05,0.0,0.0,0.0,0.0,-0.007666920176801328,42
16,100,0,shared,1000,390,0.39,0.3602454063696288,0.4205964804971933,1.3482800961734789,0.9677304016065009,0.0015249250000000001,0.0015000000000000002,0.0,0.0,0.0,-0.0002512769298605315,43
