condition,entities,clusters,method,replications,rejections,rejection_rate,wilson_low,wilson_high,mean_score,empirical_score_sd,mean_reported_se,mean_statistic,sd_statistic
fixed_grid_opposite_boundary,8,6400,distinct_reference_finite,300,300,1.0,0.9873570287754538,0.9999999999999998,0.0230521152983144,1.729662011244851e-05,,,
fixed_grid_opposite_boundary,8,6400,distinct_reference_normal,300,300,1.0,0.9873570287754538,0.9999999999999998,0.0230521152983144,1.729662011244851e-05,1.6475387806985334e-05,1399.4053280706992,18.031215499648464
fixed_grid_opposite_boundary,8,6400,naive_normal,300,20,0.06666666666666667,0.043567515545158274,0.10072305951611496,-1.37217275173156e-07,4.541199276228628e-06,4.3985724578394605e-06,0.01692313334948814,1.0383094568914337
gaussian_alternative,8,25,distinct_reference_finite,300,0,0.0,8.673617379884035e-19,0.012642971224546034,0.02507387510488808,0.005147446962194856,,,
gaussian_alternative,8,25,distinct_reference_normal,300,300,1.0,0.9873570287754538,0.9999999999999998,0.02507387510488808,0.005147446962194856,0.004751384092066585,5.33689287354269,1.0415117541009185
gaussian_alternative,8,25,naive_normal,300,300,1.0,0.9873570287754538,0.9999999999999998,0.03674082521826676,0.00542344978468193,0.005027742068607924,7.4417599615639425,1.3164239440171421
gaussian_alternative,8,100,distinct_reference_finite,300,0,0.0,8.673617379884035e-19,0.012642971224546034,0.025287865241078844,0.0024711711821880093,,,
gaussian_alternative,8,100,distinct_reference_normal,300,300,1.0,0.9873570287754538,0.9999999999999998,0.025287865241078844,0.0024711711821880093,0.002409345926926307,10.52600026182949,0.965813661117116
gaussian_alternative,8,100,naive_normal,300,300,1.0,0.9873570287754538,0.9999999999999998,0.03702365038847113,0.002622223523572813,0.0025437626979303925,14.622794688538912,1.2680198865336514
gaussian_alternative,8,400,distinct_reference_finite,300,0,0.0,8.673617379884035e-19,0.012642971224546034,0.025231163999588316,0.0012048447242949299,,,
gaussian_alternative,8,400,distinct_reference_normal,300,300,1.0,0.9873570287754538,0.9999999999999998,0.025231163999588316,0.0012048447242949299,0.0012072390775154014,20.916641623722608,0.9578589824994707
gaussian_alternative,8,400,naive_normal,300,300,1.0,0.9873570287754538,0.9999999999999998,0.036964539849928445,0.0012894879122122538,0.0012747371084592517,29.034072004580896,1.2895649847594663
gaussian_alternative,32,25,distinct_reference_finite,300,0,0.0,8.673617379884035e-19,0.012642971224546034,0.025224481322631633,0.001807379610117565,,,
gaussian_alternative,32,25,distinct_reference_normal,300,300,1.0,0.9873570287754538,0.9999999999999998,0.025224481322631633,0.001807379610117565,0.0018909819500665865,13.658617431625832,2.2743291239759045
gaussian_alternative,32,25,naive_normal,300,300,1.0,0.9873570287754538,0.9999999999999998,0.02785501014099214,0.0018213640455607349,0.0019061755808354112,14.957971536788204,2.450111967717722
gaussian_alternative,32,100,distinct_reference_finite,300,0,0.0,8.673617379884035e-19,0.012642971224546034,0.02529856959513884,0.00098609334740868,,,
gaussian_alternative,32,100,distinct_reference_normal,300,300,1.0,0.9873570287754538,0.9999999999999998,0.02529856959513884,0.00098609334740868,0.0009493313002142639,26.782833234145,1.9873844112637025
gaussian_alternative,32,100,naive_normal,300,300,1.0,0.9873570287754538,0.9999999999999998,0.027944871624275145,0.0009959421669788774,0.0009568268668959641,29.355194466172524,2.174093842204452
gaussian_alternative,32,400,distinct_reference_finite,300,0,0.0,8.673617379884035e-19,0.012642971224546034,0.025303430189126782,0.00048215513625530604,,,
gaussian_alternative,32,400,distinct_reference_normal,300,300,1.0,0.9873570287754538,0.9999999999999998,0.025303430189126782,0.00048215513625530604,0.0004738544940983077,53.470499199288945,2.0341873112117757
gaussian_alternative,32,400,naive_normal,300,300,1.0,0.9873570287754538,0.9999999999999998,0.027952242813779917,0.0004850217925825181,0.00047769671560431734,58.59421609960387,2.2260730217953673
gaussian_alternative,128,25,distinct_reference_finite,300,0,0.0,8.673617379884035e-19,0.012642971224546034,0.025293527782447287,0.0008703666918150307,,,
gaussian_alternative,128,25,distinct_reference_normal,300,300,1.0,0.9873570287754538,0.9999999999999998,0.025293527782447287,0.0008703666918150307,0.0008819465966596861,29.28547148666569,4.381172534895181
