regime,metric,seed,N,T,beta_hat,fixed_statistic,adaptive_statistic,fixed_reject,adaptive_reject,fixed_mean,adaptive_mean,fixed_se,adaptive_se,fixed_weight_norm_squared,adaptive_weight_norm_squared,spectrum_means
smooth,typeI,505,120,100,2.0,1.3228586303022725,1.6068676436949954,0,0,0.005604503215512497,0.006756549937956571,0.004236660733907651,0.004204795562638793,1.0507812500000016,0.4413481422186647,"[0.010226858043636263, 0.008585437017262746, 0.007612002507734634, 0.006963113327006694, 0.007036693563397757]"
smooth,typeI,506,120,100,2.0,1.4522406489634767,1.8147682649309818,0,1,0.00603173571936153,0.00748371607853412,0.004153399592324195,0.004123786063020413,1.0507812500000016,0.4413481422186647,"[0.012053285850755496, 0.009754829911518338, 0.00826192482121295, 0.00817396242348649, 0.0077628704901243645]"
smooth,typeI,507,120,100,2.0,1.1044223739572505,1.3427404089165413,0,0,0.004958165744040014,0.005960324297651342,0.0044893745916016106,0.004438925244277659,1.0507812500000016,0.4413481422186647,"[0.009003631490723087, 0.007803584499464313, 0.006294709824713417, 0.0063076249076084055, 0.00625096880824557]"
smooth,typeI,508,120,100,2.0,-0.2386156517262242,0.031587994046653106,0,0,-0.0010088331994771865,0.0001333744295613224,0.004227858450101469,0.004222314002096439,1.0507812500000016,0.4413481422186647,"[0.003633276342419655, 0.0021615158852519864, 0.0005357595982196588, 0.0006368073648713096, 0.00039456280314064513]"
smooth,typeI,509,120,100,1.050974822388941,2.135527481441613,2.1553976773239976,1,1,0.008695585090244996,0.008768499978996092,0.00407186756705886,0.004068158777030182,1.0507812500000016,0.9735714339323909,"[0.012802971506465713, 0.009899639386280967, 0.00957656533765556, 0.010524531088070966, 0.009886776879136493]"
smooth,typeI,510,120,100,0.6344091380241635,-0.23060776441009914,-0.5222412733536892,0,0,-0.0011180349320601313,-0.0025502195380359017,0.004848210271324101,0.004883220971140591,1.0507812500000016,2.2663947147255588,"[0.0036772785187820195, 0.001796935215617603, 0.001232446071963307, 0.0008070757085628721, -0.00015447229401573397]"
smooth,typeI,511,120,100,1.1923904555730995,-0.7115550930366363,-0.6210636914301936,0,0,-0.0028888558016665496,-0.0025159592754285297,0.004059918662570529,0.004051048725187501,1.0507812500000016,0.8089991910953536,"[0.0021177108445375663, -3.8831336753539884e-05, -0.00099451281338547, -0.0016300094286090733, -0.0010381291165693068]"
smooth,typeI,512,120,100,2.0,1.2667652553080588,1.5600196281274246,0,0,0.005244277022638171,0.006443298019529194,0.004139896480948902,0.004130267275715902,1.0507812500000016,0.4413481422186647,"[0.011037485609663653, 0.0075714549642636715, 0.0072173138446966715, 0.007310272582355913, 0.007014715815559504]"
smooth,typeI,513,120,100,0.5,-0.23753363344990172,-0.5252489829302479,0,0,-0.0010086229708949795,-0.002274483336779927,0.004246232233498454,0.004330295556387539,1.0507812500000016,3.5115366003409427,"[0.001929459472981979, 0.00030685271350642634, 0.00031642088697537556, -0.0006594710476961225, 0.0003128309383010198]"
smooth,typeI,514,120,100,2.0,-1.44741533769438,-1.126875447325341,0,0,-0.00625908936683453,-0.00488215510844075,0.00432432157089393,0.004332470922166804,1.0507812500000016,0.4413481422186647,"[-0.000516909363892946, -0.002620644279376707, -0.004313691791347453, -0.004213040972324333, -0.004537720090194416]"
smooth,typeI,515,120,100,0.9360163466516993,0.6266276567395239,0.5848069622707639,0,0,0.002335862481909029,0.002181062790109535,0.0037276721778655834,0.0037295431327298545,1.0507812500000016,1.1662108031407976,"[0.006860227641999536, 0.005233749742254255, 0.0040386993768897934, 0.004243101959196418, 0.0033824019589546945]"
smooth,typeI,516,120,100,0.942589191349482,-0.6436697342498688,-0.6756589503689583,0,0,-0.002576928320042324,-0.0027079383754319035,0.004003494622976905,0.004007848003720182,1.0507812500000016,1.1532551336881731,"[0.0022386137935204928, -0.00012585419302951694, -0.0006788864140525535, -0.0014593527640561054, -0.0007448715477362807]"
smooth,typeI,517,120,100,0.681348592094074,-1.3307782083348882,-1.6832165578249432,0,0,-0.005450487827127545,-0.006884481729663992,0.004095714667545816,0.00409007486152592,1.0507812500000016,1.9952299435639107,"[0.00030664077116121676, -0.0015634034430912172, -0.0027099171996217797, -0.0031774142436456964, -0.004240321270818298]"
