suite,setting,regime,signal_delta,legacy_metric,overlap,N,T,rejections,replicates,rate,wilson95_low,wilson95_high
ablation,beta=0.5,large_n,0.0,typeI,0.8,160,160,4,80,0.05,0.01961355453554428,0.1216227620464301
ablation,beta=0.5,large_n,0.15,power,0.8,160,160,80,80,1.0,0.9541818704644728,0.9999999999999999
ablation,beta=0.5,heavy_tail,0.0,typeI,0.8,120,100,5,150,0.03333333333333333,0.01432043189809255,0.07565179617877894
ablation,beta=0.5,heavy_tail,0.15,power,0.8,120,100,127,150,0.8466666666666667,0.7804201682766676,0.8956004622947993
ablation,beta=1.5,smooth,0.0,typeI,0.8,120,100,22,150,0.14666666666666667,0.0988943721258812,0.2120846005608929
ablation,beta=1.5,smooth,0.15,power,0.8,120,100,150,150,1.0,0.9750297556319235,1.0
ablation,beta=1.5,nonlinear,0.0,typeI,0.8,120,100,125,150,0.8333333333333334,0.7655341358309921,0.884485701256957
ablation,beta=1.5,nonlinear,0.15,power,0.8,120,100,150,150,1.0,0.9750297556319235,1.0
ablation,beta=1.5,large_n,0.0,typeI,0.8,160,160,10,80,0.125,0.06933557616004862,0.21502802099159665
ablation,beta=1.5,large_n,0.15,power,0.8,160,160,80,80,1.0,0.9541818704644728,0.9999999999999999
ablation,beta=1.5,heavy_tail,0.0,typeI,0.8,120,100,22,150,0.14666666666666667,0.0988943721258812,0.2120846005608929
ablation,beta=1.5,heavy_tail,0.15,power,0.8,120,100,144,150,0.96,0.915486535783444,0.9815408393979256
ablation,beta=2.0,smooth,0.0,typeI,0.8,120,100,27,150,0.18,0.1267576780776089,0.2492232783179601
ablation,beta=2.0,smooth,0.15,power,0.8,120,100,150,150,1.0,0.9750297556319235,1.0
ablation,beta=2.0,nonlinear,0.0,typeI,0.8,120,100,146,150,0.9733333333333334,0.9334461094878556,0.989582059177032
ablation,beta=2.0,nonlinear,0.15,power,0.8,120,100,150,150,1.0,0.9750297556319235,1.0
ablation,beta=2.0,large_n,0.0,typeI,0.8,160,160,13,80,0.1625,0.09749819402950367,0.2584290434069771
ablation,beta=2.0,large_n,0.15,power,0.8,160,160,80,80,1.0,0.9541818704644728,0.9999999999999999
ablation,beta=2.0,heavy_tail,0.0,typeI,0.8,120,100,22,150,0.14666666666666667,0.0988943721258812,0.2120846005608929
ablation,beta=2.0,heavy_tail,0.15,power,0.8,120,100,148,150,0.9866666666666667,0.9526930912996325,0.9963358708487731
ablation,binning: equal-width,smooth,0.0,typeI,0.8,120,100,17,150,0.11333333333333333,0.0719742391403741,0.17400274983760514
