setting,regime,metric,seed,N,T,reject,statistic,product_mean,cluster_se
deployed,nonlinear,typeI,70797,120,100,0,0.8893857374944045,0.004071420301695459,0.004577789062781179
deployed,nonlinear,typeI,70798,120,100,0,0.4314259394923369,0.001758709091464427,0.0040765028953379965
deployed,nonlinear,typeI,70799,120,100,0,0.19798272561620986,0.0008889217656089468,0.004489895584790181
deployed,nonlinear,typeI,70800,120,100,0,-0.7607655386446783,-0.0036510645664706632,0.00479919815108229
deployed,nonlinear,typeI,70801,120,100,0,-1.1511371176499978,-0.005138963068407712,0.004464249297163405
deployed,nonlinear,typeI,70802,120,100,0,0.17458120778725295,0.0008128163736223382,0.004655806795728251
deployed,nonlinear,typeI,70803,120,100,0,-0.5030420001280229,-0.0021629545375450813,0.0042997493986478555
deployed,nonlinear,typeI,70804,120,100,0,0.2529472188894974,0.0012513978850343655,0.0049472688038568685
deployed,nonlinear,typeI,70805,120,100,0,-0.7774413712982614,-0.0034504610310195066,0.004438226673295669
deployed,nonlinear,typeI,70806,120,100,0,0.7658869121267323,0.0035128348206876605,0.004586623384036084
deployed,nonlinear,typeI,70807,120,100,0,0.2882394173976152,0.0014063034133232621,0.0048789420476218915
deployed,nonlinear,typeI,70808,120,100,0,-0.379499704088017,-0.0015611170299473346,0.004113618569740086
deployed,nonlinear,typeI,70809,120,100,0,1.0794594087076501,0.004914411788496351,0.004552660108248054
deployed,nonlinear,typeI,70810,120,100,0,0.8226150857552107,0.003757572872160988,0.004567838515520666
deployed,nonlinear,typeI,70811,120,100,1,2.4500819361763164,0.01140853528042404,0.004656389287220572
deployed,nonlinear,typeI,70812,120,100,1,2.073295866789239,0.007981749483023878,0.0038497879684603943
deployed,nonlinear,typeI,70813,120,100,0,0.4392526640177141,0.0018196384773563384,0.004142578125110599
deployed,nonlinear,typeI,70814,120,100,0,-1.640218887472795,-0.00698863539336433,0.004260794365154659
deployed,nonlinear,typeI,70815,120,100,1,2.1927506975020017,0.010135974728360773,0.004622492990155129
deployed,nonlinear,typeI,70816,120,100,0,-0.4373128344050624,-0.0020756992816413763,0.00474648608121744
deployed,nonlinear,typeI,70817,120,100,0,1.5717197727492906,0.007342356391432715,0.004671542929430279
deployed,nonlinear,typeI,70818,120,100,0,0.9117478586354936,0.004237938537948981,0.00464814750899597
deployed,nonlinear,typeI,70819,120,100,0,0.25100215446209306,0.0010503499560367401,0.004184625260638415
deployed,nonlinear,typeI,70820,120,100,0,0.9829586248578052,0.0038065373178044056,0.0038725305638933265
deployed,nonlinear,typeI,70821,120,100,1,1.6822358123602617,0.0074367134038588545,0.004420731831540769
deployed,nonlinear,typeI,70822,120,100,0,-0.4367609969248791,-0.0018522361925501307,0.004240846150620694
deployed,nonlinear,typeI,70823,120,100,0,0.7607872105570594,0.003484402017848013,0.0045799955223967065
deployed,nonlinear,typeI,70824,120,100,0,-0.7151437726421126,-0.002890476000096407,0.004041811046494171
deployed,nonlinear,typeI,70825,120,100,0,0.7152721812380655,0.003004871103456002,0.004201017713641353
deployed,nonlinear,typeI,70826,120,100,0,0.49033872130976336,0.0023985589369706767,0.004891636806825677
deployed,nonlinear,typeI,70827,120,100,0,-1.17893883739119,-0.0051189802161350694,0.004342023567111067
deployed,nonlinear,typeI,70828,120,100,0,0.49229210700969445,0.0023843247675055727,0.00484331301183876
deployed,nonlinear,typeI,70829,120,100,0,1.241521313469973,0.004466621981459286,0.003597700605699117
deployed,nonlinear,typeI,70830,120,100,0,-2.2215240717264164,-0.010083355204488149,0.004538935829154466
deployed,nonlinear,typeI,70831,120,100,0,-0.17704602963230293,-0.000753558941200265,0.004256288281444602
deployed,nonlinear,typeI,70832,120,100,1,2.044751575161952,0.00820529101955262,0.004012854724859536
deployed,nonlinear,typeI,70833,120,100,0,1.4790295109593596,0.006450755109335936,0.004361478294744578
deployed,nonlinear,typeI,70834,120,100,0,-0.952344734229921,-0.004150164120409987,0.0043578380509090185
deployed,nonlinear,typeI,70835,120,100,0,-0.04446649974067503,-0.00021062508703469936,0.004736713891649838
deployed,nonlinear,typeI,70836,120,100,1,2.1129037999623375,0.009134231010134242,0.00432306999035974
deployed,nonlinear,typeI,70837,120,100,0,0.981700074953261,0.004275898678116589,0.004355605940358276
deployed,nonlinear,typeI,70838,120,100,0,-1.0323942130666395,-0.0044749307054753554,0.00433451742448551
deployed,nonlinear,typeI,70839,120,100,1,2.1067746528790106,0.009950681551721602,0.004723182680275513
deployed,nonlinear,typeI,70840,120,100,0,-0.41769372149120204,-0.0018449627727112365,0.004417022995041827
deployed,nonlinear,typeI,70841,120,100,0,-0.3867519475334043,-0.0015464759090236368,0.0039986247487223455
deployed,nonlinear,typeI,70842,120,100,0,0.8544108467466871,0.003456363816596487,0.004045318279557396
deployed,nonlinear,typeI,70843,120,100,0,-0.4761437966171038,-0.0020318122363390057,0.004267223999923093
deployed,nonlinear,typeI,70844,120,100,0,-0.2782687578256285,-0.0012144601270866963,0.004364342359438399
deployed,nonlinear,typeI,70845,120,100,0,0.26377604276603306,0.00121103599506354,0.004591152336521015
deployed,nonlinear,typeI,70846,120,100,0,-1.6657268943132428,-0.007670548827536556,0.004604925845721558
deployed,nonlinear,typeI,70847,120,100,0,0.25904460654401346,0.0010392494915261532,0.0040118553533735795
deployed,nonlinear,typeI,70848,120,100,1,2.0379665786559915,0.00996229231503473,0.004888349210125277
deployed,nonlinear,typeI,70849,120,100,1,1.9989420275675573,0.007881474672818453,0.003942823035447978
