setting,design_cells,maximum_zero_signal_rejection,minimum_positive_signal_rejection,legacy_threshold_failed_cells,stronger_prose_threshold_failed_cells
deployed,4,0.14666666666666667,0.9333333333333333,0,1
"ladder: short {8,16,32}",4,0.16,0.9333333333333333,0,2
ladder: long {8..40},4,0.22,0.96,1,1
beta=0.5,4,0.05,0.0,2,2
beta=1.5,4,0.8333333333333334,0.96,1,1
beta=2.0,4,0.9733333333333334,0.9866666666666667,1,3
binning: equal-width,4,0.15333333333333332,0.94,0,2
nuisance: light fit (4 sweeps),4,0.14666666666666667,0.9333333333333333,0,1
nuisance: heavy fit (24 sweeps),4,0.14666666666666667,0.9333333333333333,0,1
