model,fold_scheme,beta,lag,n,periods,calendar_gaps,mean_product,standard_error,statistic,p_one_sided,inference_status,product_mean_q8,product_mean_q12,product_mean_q16,product_mean_q24,product_mean_q32,raw_p_one_sided,raw_statistic,raw_nominal_positive,redundancy_abstain,redundancy_reason,undefined_audit_abstain,policy_abstain,p_policy,policy_nominal_positive,policy_decision,raw_by_reject_recomputed,raw_by_adjusted_p_recomputed,policy_by_reject,policy_by_adjusted_p,policy_family_size,final_label,label_scope,finite_certificate_issued,short_panel_empirical_concern,guard_reason
Elastic net,contiguous,2,12,27272,132,0,0.016557052549486945,0.017484063652400628,0.94697965408136675,0.17182457331152917,computed,0.018139563737050137,0.017464641685749283,0.016961445640204149,0.016799175059079536,0.016510176217382926,0.17182457331152917,0.94697965408136675,False,False,no_exact_sample_redundancy_detected,False,False,0.17182457331152917,False,NOT_POSITIVE,False,1,False,1,10,NULL,operational normal-reference screen; calibration not established,False,False,none
Exponential twelve-month mean,contiguous,2,12,27272,132,0,0.019991519262850466,0.015484388905181425,1.2910757657449985,0.098338703258946725,computed,0.022330754668870714,0.021190375909074913,0.020593191060636354,0.020130796658734015,0.020175904212838998,0.098338703258946725,1.2910757657449985,False,False,no_exact_sample_redundancy_detected,False,False,0.098338703258946725,False,NOT_POSITIVE,False,1,False,1,10,NULL,operational normal-reference screen; calibration not established,False,False,none
Last month,contiguous,2,12,27272,132,0,0.026996210737415764,0.018566793093087928,1.4540050401846698,0.072972454413337162,computed,0.028137689698547689,0.027564659093759235,0.027255027469235076,0.026947532516186607,0.027224336838240465,0.072972454413337162,1.4540050401846698,False,False,no_exact_sample_redundancy_detected,False,False,0.072972454413337162,False,NOT_POSITIVE,False,1,False,1,10,NULL,operational normal-reference screen; calibration not established,False,False,none
LightGBM,contiguous,2,12,27272,132,0,-0.0038736416443502708,0.014394257303731856,-0.26911021267807894,0.6060775641670102,computed,-0.0027383249480900113,-0.0034402503152622644,-0.0034100275279365551,-0.0039652333108127717,-0.0037000894396417485,0.6060775641670102,-0.26911021267807894,False,False,no_exact_sample_redundancy_detected,False,False,0.6060775641670102,False,NOT_POSITIVE,False,1,False,1,10,NULL,operational normal-reference screen; calibration not established,False,False,none
Ridge,contiguous,2,12,27272,132,0,0.01643100499365837,0.017434906681596009,0.94242001369601014,0.17298882231054957,computed,0.018083240424603606,0.017454694016323963,0.016920330621863912,0.016613653679254322,0.016370592013874891,0.17298882231054957,0.94242001369601014,False,False,no_exact_sample_redundancy_detected,False,False,0.17298882231054957,False,NOT_POSITIVE,False,1,False,1,10,NULL,operational normal-reference screen; calibration not established,False,False,none
Seasonal twelve-month lag,contiguous,2,12,27272,132,0,-0.025147455157849285,0.02285291551835247,-1.1004046786789257,0.86442207956323669,computed,-0.024388311602885675,-0.024806977785390177,-0.025047848139487877,-0.025074677144583321,-0.025027590059780145,0.86442207956323669,-1.1004046786789257,False,False,no_exact_sample_redundancy_detected,False,False,0.86442207956323669,False,NOT_POSITIVE,False,1,False,1,10,NULL,operational normal-reference screen; calibration not established,False,False,none
Small MLP,contiguous,2,12,27272,132,0,-0.009038984597523031,0.0079477504358549181,-1.1373010099493306,0.87229376364684752,computed,-0.0082093755403397882,-0.008453378962746649,-0.0088044768398635124,-0.0090721139574966997,-0.0089739882870197643,0.87229376364684752,-1.1373010099493306,False,False,no_exact_sample_redundancy_detected,False,False,0.87229376364684752,False,NOT_POSITIVE,False,1,False,1,10,NULL,operational normal-reference screen; calibration not established,False,False,none
Trailing three-month return,contiguous,2,12,27272,132,0,-0.0046208150310993916,0.02269923140559528,-0.2035670260606435,0.58065406853125456,computed,-0.0028119242472813685,-0.0039433440308119317,-0.0041951558692951219,-0.0046040990174084969,-0.0042707260461996169,0.58065406853125456,-0.2035670260606435,False,False,no_exact_sample_redundancy_detected,False,False,0.58065406853125456,False,NOT_POSITIVE,False,1,False,1,10,NULL,operational normal-reference screen; calibration not established,False,False,none
Trailing twelve-month return,contiguous,2,12,27272,132,0,0.00017568939318863742,0.00020433535585394604,0.85980907442281274,0.19494714814485409,computed,0.002204370757973014,0.0013180077790392643,0.00075238330339136793,0.00038025511121571348,0.00018058728423116674,0.19494714814485409,0.85980907442281274,False,True,exact_observed_baseline_copy,False,True,1,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,False,1,False,1,10,ABSTAIN,operational normal-reference screen; calibration not established,False,False,exact_observed_baseline_copy
Training portfolio mean,contiguous,2,12,27272,132,0,-0.01548277303336683,0.0073333780542954134,-2.1112743566108709,0.98262563157473293,computed,-0.015521624479108057,-0.015513805822346634,-0.015483398325176501,-0.015473979305809415,-0.015498332366254804,0.98262563157473293,-2.1112743566108709,False,False,no_exact_sample_redundancy_detected,False,False,0.98262563157473293,False,NOT_POSITIVE,False,1,False,1,10,NULL,operational normal-reference screen; calibration not established,False,False,none
