model,resolution_q,beta,weight,mean_residual_product,weighted_mean_contribution,combined_mean,standard_error,statistic,normal_p_one_sided
Elastic net,8,2,-0.20463945033686862,0.018139563737050137,-0.0037120703525005344,0.016557052549486945,0.017484063652400628,0.94697965408136675,0.17182457331152917
Elastic net,12,2,0.15424254552731625,0.017464641685749283,0.002693790790332449,0.016557052549486945,0.017484063652400628,0.94697965408136675,0.17182457331152917
Elastic net,16,2,0.27985124407978113,0.016961445640204149,0.0047466816638027107,0.016557052549486945,0.017484063652400628,0.94697965408136675,0.17182457331152917
Elastic net,24,2,0.36957174304582741,0.016799175059079536,0.0062085004083160143,0.016557052549486945,0.017484063652400628,0.94697965408136675,0.17182457331152917
Elastic net,32,2,0.40097391768394358,0.016510176217382926,0.0066201500395363039,0.016557052549486945,0.017484063652400628,0.94697965408136675,0.17182457331152917
Exponential twelve-month mean,8,2,-0.20463945033686862,0.022330754668870714,-0.0045697533610451653,0.019991519262850466,0.015484388905181425,1.2910757657449985,0.098338703258946725
Exponential twelve-month mean,12,2,0.15424254552731625,0.021190375909074913,0.003268457520896433,0.019991519262850466,0.015484388905181425,1.2910757657449985,0.098338703258946725
Exponential twelve-month mean,16,2,0.27985124407978113,0.020593191060636354,0.0057630301378917108,0.019991519262850466,0.015484388905181425,1.2910757657449985,0.098338703258946725
Exponential twelve-month mean,24,2,0.36957174304582741,0.020130796658734015,0.0074397736100694483,0.019991519262850466,0.015484388905181425,1.2910757657449985,0.098338703258946725
Exponential twelve-month mean,32,2,0.40097391768394358,0.020175904212838998,0.0080900113550380348,0.019991519262850466,0.015484388905181425,1.2910757657449985,0.098338703258946725
Last month,8,2,-0.20463945033686862,0.028137689698547689,-0.0057580813536601697,0.026996210737415764,0.018566793093087928,1.4540050401846698,0.072972454413337162
Last month,12,2,0.15424254552731625,0.027564659093759235,0.0042516431852141108,0.026996210737415764,0.018566793093087928,1.4540050401846698,0.072972454413337162
Last month,16,2,0.27985124407978113,0.027255027469235076,0.0076273533446940441,0.026996210737415764,0.018566793093087928,1.4540050401846698,0.072972454413337162
Last month,24,2,0.36957174304582741,0.026947532516186607,0.0099590465627911948,0.026996210737415764,0.018566793093087928,1.4540050401846698,0.072972454413337162
Last month,32,2,0.40097391768394358,0.027224336838240465,0.010916248998376584,0.026996210737415764,0.018566793093087928,1.4540050401846698,0.072972454413337162
LightGBM,8,2,-0.20463945033686862,-0.0027383249480900113,0.00056036931222087417,-0.0038736416443502708,0.014394257303731856,-0.26911021267807894,0.6060775641670102
LightGBM,12,2,0.15424254552731625,-0.0034402503152622644,-0.00053063296587720391,-0.0038736416443502708,0.014394257303731856,-0.26911021267807894,0.6060775641670102
LightGBM,16,2,0.27985124407978113,-0.0034100275279365551,-0.00095430044603934548,-0.0038736416443502708,0.014394257303731856,-0.26911021267807894,0.6060775641670102
LightGBM,24,2,0.36957174304582741,-0.0039652333108127717,-0.0014654381862604531,-0.0038736416443502708,0.014394257303731856,-0.26911021267807894,0.6060775641670102
LightGBM,32,2,0.40097391768394358,-0.0037000894396417485,-0.0014836393583941394,-0.0038736416443502708,0.014394257303731856,-0.26911021267807894,0.6060775641670102
Ridge,8,2,-0.20463945033686862,0.018083240424603606,-0.0037005443808003245,0.01643100499365837,0.017434906681596009,0.94242001369601014,0.17298882231054957
Ridge,12,2,0.15424254552731625,0.017454694016323963,0.0026922564364782234,0.01643100499365837,0.017434906681596009,0.94242001369601014,0.17298882231054957
Ridge,16,2,0.27985124407978113,0.016920330621863912,0.0047351755747698327,0.01643100499365837,0.017434906681596009,0.94242001369601014,0.17298882231054957
Ridge,24,2,0.36957174304582741,0.016613653679254322,0.0061399369486017435,0.01643100499365837,0.017434906681596009,0.94242001369601014,0.17298882231054957
Ridge,32,2,0.40097391768394358,0.016370592013874891,0.0065641804146088943,0.01643100499365837,0.017434906681596009,0.94242001369601014,0.17298882231054957
Seasonal twelve-month lag,8,2,-0.20463945033686862,-0.024388311602885675,0.0049908106810587997,-0.025147455157849285,0.02285291551835247,-1.1004046786789257,0.86442207956323669
Seasonal twelve-month lag,12,2,0.15424254552731625,-0.024806977785390177,-0.0038262914004581674,-0.025147455157849285,0.02285291551835247,-1.1004046786789257,0.86442207956323669
Seasonal twelve-month lag,16,2,0.27985124407978113,-0.025047848139487877,-0.0070096714633571134,-0.025147455157849285,0.02285291551835247,-1.1004046786789257,0.86442207956323669
Seasonal twelve-month lag,24,2,0.36957174304582741,-0.025074677144583321,-0.0092668921386350276,-0.025147455157849285,0.02285291551835247,-1.1004046786789257,0.86442207956323669
Seasonal twelve-month lag,32,2,0.40097391768394358,-0.025027590059780145,-0.010035410836457769,-0.025147455157849285,0.02285291551835247,-1.1004046786789257,0.86442207956323669
Small MLP,8,2,-0.20463945033686862,-0.0082093755403397882,0.001679962098184068,-0.009038984597523031,0.0079477504358549181,-1.1373010099493306,0.87229376364684752
Small MLP,12,2,0.15424254552731625,-0.008453378962746649,-0.0013038706895211075,-0.009038984597523031,0.0079477504358549181,-1.1373010099493306,0.87229376364684752
Small MLP,16,2,0.27985124407978113,-0.0088044768398635124,-0.0024639437971074236,-0.009038984597523031,0.0079477504358549181,-1.1373010099493306,0.87229376364684752
Small MLP,24,2,0.36957174304582741,-0.0090721139574966997,-0.0033527969683824345,-0.009038984597523031,0.0079477504358549181,-1.1373010099493306,0.87229376364684752
Small MLP,32,2,0.40097391768394358,-0.0089739882870197643,-0.0035983352406961369,-0.009038984597523031,0.0079477504358549181,-1.1373010099493306,0.87229376364684752
Trailing three-month return,8,2,-0.20463945033686862,-0.0028119242472813685,0.00057543063235257225,-0.0046208150310993916,0.02269923140559528,-0.2035670260606435,0.58065406853125456
Trailing three-month return,12,2,0.15424254552731625,-0.0039433440308119317,-0.00060823142120238014,-0.0046208150310993916,0.02269923140559528,-0.2035670260606435,0.58065406853125456
Trailing three-month return,16,2,0.27985124407978113,-0.0041951558692951219,-0.0011740195891308356,-0.0046208150310993916,0.02269923140559528,-0.2035670260606435,0.58065406853125456
Trailing three-month return,24,2,0.36957174304582741,-0.0046040990174084969,-0.0017015448990192394,-0.0046208150310993916,0.02269923140559528,-0.2035670260606435,0.58065406853125456
Trailing three-month return,32,2,0.40097391768394358,-0.0042707260461996169,-0.0017124497540995189,-0.0046208150310993916,0.02269923140559528,-0.2035670260606435,0.58065406853125456
Trailing twelve-month return,8,2,-0.20463945033686862,0.002204370757973014,-0.00045110122025026402,0.00017568939318863742,0.00020433535585394604,0.85980907442281274,0.19494714814485409
Trailing twelve-month return,12,2,0.15424254552731625,0.0013180077790392643,0.0002032928748638207,0.00017568939318863742,0.00020433535585394604,0.85980907442281274,0.19494714814485409
Trailing twelve-month return,16,2,0.27985124407978113,0.00075238330339136793,0.00021055540347892973,0.00017568939318863742,0.00020433535585394604,0.85980907442281274,0.19494714814485409
Trailing twelve-month return,24,2,0.36957174304582741,0.00038025511121571348,0.00014053154425407619,0.00017568939318863742,0.00020433535585394604,0.85980907442281274,0.19494714814485409
Trailing twelve-month return,32,2,0.40097391768394358,0.00018058728423116674,7.2410790842074776e-05,0.00017568939318863742,0.00020433535585394604,0.85980907442281274,0.19494714814485409
Training portfolio mean,8,2,-0.20463945033686862,-0.015521624479108057,0.0031763367017399575,-0.01548277303336683,0.0073333780542954134,-2.1112743566108709,0.98262563157473293
Training portfolio mean,12,2,0.15424254552731625,-0.015513805822346634,-0.0023928889008552447,-0.01548277303336683,0.0073333780542954134,-2.1112743566108709,0.98262563157473293
Training portfolio mean,16,2,0.27985124407978113,-0.015483398325176501,-0.0043330482838834436,-0.01548277303336683,0.0073333780542954134,-2.1112743566108709,0.98262563157473293
Training portfolio mean,24,2,0.36957174304582741,-0.015473979305809415,-0.0057187455039030477,-0.01548277303336683,0.0073333780542954134,-2.1112743566108709,0.98262563157473293
Training portfolio mean,32,2,0.40097391768394358,-0.015498332366254804,-0.0062144270464650521,-0.01548277303336683,0.0073333780542954134,-2.1112743566108709,0.98262563157473293
