baseline,candidate,weight,convex_weight,calibration_loss
seasonal_day,persistence,0.40000000000000002,0.40000000000000002,0.019234403420545124
seasonal_day,seasonal_day,0,0,0.025907935494366454
seasonal_day,seasonal_week,0.70000000000000007,0.70000000000000007,0.010793383015732117
seasonal_day,ridge_full,0.90000000000000002,0.90000000000000002,0.011352476475826255
seasonal_day,hist_gradient_boosting,1,1,0.0019716232483288285
seasonal_day,extra_trees,1.05,1,0.0016758361573017346
seasonal_day,category_copy,0,0,0.025907935494366454
seasonal_day,independent_noise,0.050000000000000003,0.050000000000000003,0.025308423779056326
ridge,persistence,0,0,0.011561925886800686
ridge,seasonal_day,0.10000000000000001,0.10000000000000001,0.011339305067950323
ridge,seasonal_week,0.40000000000000002,0.40000000000000002,0.01013569897515121
ridge,ridge_full,0,0,0.011561925886800686
ridge,hist_gradient_boosting,1.1000000000000001,1,0.0019012927766398114
ridge,extra_trees,1.1000000000000001,1,0.001585101746925619
ridge,category_copy,0,0,0.011561925886800686
ridge,independent_noise,0,0,0.011561925886800686
