categories,validation_pairs,mass,fit_error,replicate,true_bias,aggregate_upper,rectangle_upper
2,512,balanced,exact,0,0.0,0.012015037557843177,0.011434771386134237
2,512,balanced,same_direction,0,0.0025000000000000014,0.016599206675673342,0.020299928410264942
2,512,balanced,opposite_direction,0,-0.0225,0.012373386447628674,-0.002449137208669753
2,512,balanced,exact,1,0.0,0.01090406914725697,0.01125714512302458
2,512,balanced,same_direction,1,0.0025000000000000014,0.01839934772526038,0.02358980849343032
2,512,balanced,opposite_direction,1,-0.0225,0.012606043061035957,-0.0029546080354682256
2,512,balanced,exact,2,0.0,0.015218725999950026,0.013897463887365093
2,512,balanced,same_direction,2,0.0025000000000000014,0.011682770254448341,0.017003656797763687
2,512,balanced,opposite_direction,2,-0.0225,0.014114820508741553,-0.0018663633673368111
2,512,balanced,exact,3,0.0,0.013506656874139801,0.011874230102512678
2,512,balanced,same_direction,3,0.0025000000000000014,0.019245998338595225,0.021760914268269087
2,512,balanced,opposite_direction,3,-0.0225,0.013083657896077792,-0.0026525338744115374
2,512,balanced,exact,4,0.0,0.013078249098434873,0.011822628777241433
2,512,balanced,same_direction,4,0.0025000000000000014,0.020530039016785497,0.024339290911880203
2,512,balanced,opposite_direction,4,-0.0225,0.009321076199898453,-0.0017352519056315506
2,512,balanced,exact,5,0.0,0.014622480229850462,0.01284715872102624
2,512,balanced,same_direction,5,0.0025000000000000014,0.019224274660646558,0.026715818415356748
2,512,balanced,opposite_direction,5,-0.0225,0.007716949797785273,-0.003644828912817477
2,512,balanced,exact,6,0.0,0.011107478180741766,0.012821257712314509
2,512,balanced,same_direction,6,0.0025000000000000014,0.016423120754215332,0.018600014684552864
2,512,balanced,opposite_direction,6,-0.0225,0.011055738934592742,-0.002700310492869149
2,512,balanced,exact,7,0.0,0.015118203490770437,0.012442525899628104
2,512,balanced,same_direction,7,0.0025000000000000014,0.015389335990358004,0.019592403299208833
2,512,balanced,opposite_direction,7,-0.0225,0.01426459872771246,-0.0036504602967050814
2,512,balanced,exact,8,0.0,0.014487591550009777,0.01594919585472442
2,512,balanced,same_direction,8,0.0025000000000000014,0.02184098149251229,0.018092098706462344
2,512,balanced,opposite_direction,8,-0.0225,0.015522217280515753,-0.0009211328882166845
2,512,balanced,exact,9,0.0,0.010026844198541031,0.012713691427023294
2,512,balanced,same_direction,9,0.0025000000000000014,0.017778309282412995,0.023660709566297327
2,512,balanced,opposite_direction,9,-0.0225,0.012166025559639537,-0.0035784329660433142
2,512,balanced,exact,10,0.0,0.011632366946446494,0.01136786888665374
2,512,balanced,same_direction,10,0.0025000000000000014,0.015447720494180299,0.020379270870038838
2,512,balanced,opposite_direction,10,-0.0225,0.012077395905845629,-0.0024813043771300183
2,512,balanced,exact,11,0.0,0.011561424108455653,0.011800502671412031
2,512,balanced,same_direction,11,0.0025000000000000014,0.016779658684336004,0.01941184876000389
2,512,balanced,opposite_direction,11,-0.0225,0.01461520291163009,-0.0013644996691348544
2,512,balanced,exact,12,0.0,0.012310458786322713,0.010587856958073585
