task,baseline,primary,comparison,nominal_hours,observed_hours,availability_weighted_gain,alpha,radius,conditional_average_gain_lower,positive_conditional_gain_certified
appliances,ridge,reference_u,ungated,1008,1008,-0.0035270829985513045,0.012500000000000001,0.093244288248769458,-0.096771371247320756,False
appliances,ridge,reference_u,convex,1008,1008,-0.0035270829985513045,0.012500000000000001,0.093244288248769458,-0.096771371247320756,False
metro,ridge,reference_u,ungated,8760,8713,-0.0038590670743414578,0.012500000000000001,0.031630091716280846,-0.035489158790622304,False
metro,ridge,reference_u,convex,8760,8713,-0.003827914748026115,0.012500000000000001,0.031630091716280846,-0.035458006464306961,False
