task,baseline,method,selected,confirmation_rows,clipping_scale,bounded_mse,raw_mse,baseline_bounded_mse,gain_vs_baseline,gain_vs_ungated,gain_vs_convex,raw_mae,bounded_mae,raw_gain_vs_baseline,raw_gain_vs_ungated
appliances,seasonal_day,reference_u,baseline,1008,2477.0999999999981,0.041298396921980812,259901.75050595234,0.041298396921980812,0,-0.023549498831073906,-0.024021519961043247,277.02192460317457,0.11114419190899759,0,-145867.08290014486
appliances,seasonal_day,reference_betting,baseline,1008,2477.0999999999981,0.041298396921980812,259901.75050595234,0.041298396921980812,0,-0.023549498831073906,-0.024021519961043247,277.02192460317457,0.11114419190899759,0,-145867.08290014486
appliances,seasonal_day,known_forecast_u,extra_trees,1008,2477.0999999999981,0.017748898090906903,114034.66760580741,0.041298396921980812,0.023549498831073906,0,-0.00047202112996933969,204.33542446580725,0.081800806443183771,145867.08290014486,0
appliances,seasonal_day,known_forecast_pairs,extra_trees,1008,2477.0999999999981,0.017748898090906903,114034.66760580741,0.041298396921980812,0.023549498831073906,0,-0.00047202112996933969,204.33542446580725,0.081800806443183771,145867.08290014486,0
appliances,seasonal_day,loss_gain,extra_trees,1008,2477.0999999999981,0.017748898090906903,114034.66760580741,0.041298396921980812,0.023549498831073906,0,-0.00047202112996933969,204.33542446580725,0.081800806443183771,145867.08290014486,0
appliances,seasonal_day,ungated,extra_trees,1008,2477.0999999999981,0.017748898090906903,114034.66760580741,0.041298396921980812,0.023549498831073906,0,-0.00047202112996933969,204.33542446580725,0.081800806443183771,145867.08290014486,0
appliances,seasonal_day,convex,extra_trees,1008,2477.0999999999981,0.017276876960937562,111262.58745113514,0.041298396921980812,0.024021519961043247,0.00047202112996933969,0,201.23924364936275,0.080550884834672029,148639.16305481715,2772.0801546722751
appliances,seasonal_day,baseline,baseline,1008,2477.0999999999981,0.041298396921980812,259901.75050595234,0.041298396921980812,0,-0.023549498831073906,-0.024021519961043247,277.02192460317457,0.11114419190899759,0,-145867.08290014486
appliances,ridge,reference_u,baseline,1008,2477.0999999999981,0.020803959959488867,132473.15326478585,0.020803959959488867,0,-0.0035270829985513045,-0.0035270829985513045,264.9603512599578,0.10627496041119097,0,-21210.565813650705
appliances,ridge,reference_betting,baseline,1008,2477.0999999999981,0.020803959959488867,132473.15326478585,0.020803959959488867,0,-0.0035270829985513045,-0.0035270829985513045,264.9603512599578,0.10627496041119097,0,-21210.565813650705
appliances,ridge,known_forecast_u,extra_trees,1008,2477.0999999999981,0.017276876960937562,111262.58745113514,0.020803959959488867,0.0035270829985513045,0,0,201.23924364936275,0.080550884834672029,21210.565813650705,0
appliances,ridge,known_forecast_pairs,extra_trees,1008,2477.0999999999981,0.017276876960937562,111262.58745113514,0.020803959959488867,0.0035270829985513045,0,0,201.23924364936275,0.080550884834672029,21210.565813650705,0
appliances,ridge,loss_gain,baseline,1008,2477.0999999999981,0.020803959959488867,132473.15326478585,0.020803959959488867,0,-0.0035270829985513045,-0.0035270829985513045,264.9603512599578,0.10627496041119097,0,-21210.565813650705
appliances,ridge,ungated,extra_trees,1008,2477.0999999999981,0.017276876960937562,111262.58745113514,0.020803959959488867,0.0035270829985513045,0,0,201.23924364936275,0.080550884834672029,21210.565813650705,0
appliances,ridge,convex,extra_trees,1008,2477.0999999999981,0.017276876960937562,111262.58745113514,0.020803959959488867,0.0035270829985513045,0,0,201.23924364936275,0.080550884834672029,21210.565813650705,0
appliances,ridge,baseline,baseline,1008,2477.0999999999981,0.020803959959488867,132473.15326478585,0.020803959959488867,0,-0.0035270829985513045,-0.0035270829985513045,264.9603512599578,0.10627496041119097,0,-21210.565813650705
metro,seasonal_day,reference_u,baseline,8713,6729.1999999999971,0.022417207734206961,1016372.8879008377,0.022417207734206961,0,-0.020978743681323495,-0.021013643533552832,552.15624928268107,0.081880224711078461,0,-950299.18748080847
metro,seasonal_day,reference_betting,baseline,8713,6729.1999999999971,0.022417207734206961,1016372.8879008377,0.022417207734206961,0,-0.020978743681323495,-0.021013643533552832,552.15624928268107,0.081880224711078461,0,-950299.18748080847
