method,mean,radius,lower,p,bias,variance,width,exact_target,query_calls,distinct_labels,archive_rows,delta,task,baseline,candidate,weight,five_gate_seconds,p_by
loss_gain,0,0.00052536914535554176,-0.00052536914535554176,1,0,0,2,0,32768,4361,4362,0,metro,seasonal_day,seasonal_day,0,0.15727051720023155,1
reference_u,0.013372799413719444,0.0051805962484786482,-0.030559810882496229,1,0.038752014047737024,0.0039233326900572178,1.1978565631683429,0.012386290321703903,32768,4361,4362,0.00022996057818659661,metro,seasonal_day,seasonal_week,0.69999999999999996,0.15524559840559959,1
reference_betting,0.012472819700619553,,,1,0.038752014047737024,0.0039233326900572178,1.1978565631683429,0.012386290321703903,32768,4361,4362,0.00022996057818659661,metro,seasonal_day,seasonal_week,0.69999999999999996,0.15524639189243317,1
known_forecast_u,0.012198373076934643,0.0014393046908011031,0.01075906838613354,5.6319539305190169e-31,0,0.0023886595513013917,0.76552942666203672,0.012386290321703903,32768,4361,4362,0,metro,seasonal_day,seasonal_week,0.69999999999999996,0.15524674206972122,2.4490953949285548e-30
known_forecast_pairs,0.011987787901854445,0.0014393187185082056,0.010548469183346239,2.5020742237883426e-30,0,0.0023886595513013917,0.76552942666203672,0.012386290321703903,32768,4361,4362,0,metro,seasonal_day,seasonal_week,0.69999999999999996,0.15524709597229958,1.088044848173102e-29
loss_gain,0.012933880724628862,0.0014628666290388457,0.011471014095590017,5.2705929740648536e-28,0,0.0039036034866348542,2,0.012904642719206041,32768,4361,4362,0,metro,seasonal_day,seasonal_week,0.69999999999999996,0.15524744242429733,2.8649437523309663e-27
reference_u,0.011353254192123066,0.005103507106075344,-0.03210363698166542,1,0.038353384067713145,0.0037539710920045468,1.1888069528728888,0.010734588048250287,32768,4361,4362,0.00022996057818659661,metro,seasonal_day,ridge_full,0.90000000000000002,0.18401001021265984,1
reference_betting,0.010641662599968633,,,1,0.038353384067713145,0.0037539710920045468,1.1888069528728888,0.010734588048250287,32768,4361,4362,0.00022996057818659661,metro,seasonal_day,ridge_full,0.90000000000000002,0.18401076272130013,1
known_forecast_u,0.010526499401595888,0.0011152898770028141,0.0094112095245930741,1.0336128463959384e-33,0,0.0013501035227648946,0.638744227012773,0.010734588048250287,32768,4361,4362,0,metro,seasonal_day,ridge_full,0.90000000000000002,0.18401111662387848,5.6184241150522071e-33
known_forecast_pairs,0.010485819533627816,0.0011153015814737563,0.0093705179521540588,1.4791274508686443e-33,0,0.0013501035227648946,0.638744227012773,0.010734588048250287,32768,4361,4362,0,metro,seasonal_day,ridge_full,0.90000000000000002,0.18401146680116653,8.0401142150788441e-33
loss_gain,0.015559353235232873,0.00145552970944563,0.014103823525787243,9.6015977557999576e-35,0,0.0038427428348738807,2,0.015640832305759061,32768,4361,4362,0,metro,seasonal_day,ridge_full,0.90000000000000002,0.18401181697845459,6.9588722782512064e-34
reference_u,0.015238815523990625,0.0052213917153209489,-0.029415145068113838,1,0.039432568876783515,0.0040531237872849079,1.1965043836652192,0.01440735534211913,32768,4361,4362,0.00022996057818659661,metro,seasonal_day,hist_gradient_boosting,1,0.18304966762661934,1
reference_betting,0.014533217165829164,,,1,0.039432568876783515,0.0040531237872849079,1.1965043836652192,0.01440735534211913,32768,4361,4362,0.00022996057818659661,metro,seasonal_day,hist_gradient_boosting,1,0.18305044621229172,1
known_forecast_u,0.014182409235357667,0.0011647262867151402,0.013017682948642527,5.3683364653198028e-49,0,0.0016105223489568871,0.59601459989212802,0.01440735534211913,32768,4361,4362,0,metro,seasonal_day,hist_gradient_boosting,1,0.18305078521370888,5.836148643011956e-48
known_forecast_pairs,0.014171500630766765,0.0011647372082002521,0.013006763422566514,5.9697094883582109e-49,0,0.0016105223489568871,0.59601459989212802,0.01440735534211913,32768,4361,4362,0,metro,seasonal_day,hist_gradient_boosting,1,0.18305112794041634,6.4899270294865687e-48
loss_gain,0.019349327187096203,0.0015596522159253366,0.017789674971170864,3.8313575005705739e-43,0,0.0047512108930629852,2,0.019428849035617337,32768,4361,4362,0,metro,seasonal_day,hist_gradient_boosting,1,0.1830514669418335,4.1652329399060091e-42
reference_u,0.01505868078463154,0.0052241451060266687,-0.029381978781428026,1,0.039216514460032895,0.0040417641573390348,1.1996146337511151,0.014228441189936006,32768,4361,4362,0.00022996057818659661,metro,seasonal_day,extra_trees,1.05,0.1841740757226944,1
reference_betting,0.014094039047427207,,,1,0.039216514460032895,0.0040417641573390348,1.1996146337511151,0.014228441189936006,32768,4361,4362,0.00022996057818659661,metro,seasonal_day,extra_trees,1.05,0.1841748058795929,1
known_forecast_u,0.014066809696917537,0.0011248667851227719,0.012941942911794766,5.443582798095154e-52,0,0.0015483902089036649,0.55171973707534883,0.014228441189936006,32768,4361,4362,0,metro,seasonal_day,extra_trees,1.05,0.18417514860630035,1.1835904312429749e-50
known_forecast_pairs,0.014028463290963482,0.0011248768949403761,0.012903586396023107,8.0596420451135805e-52,0,0.0015483902089036649,0.55171973707534883,0.014228441189936006,32768,4361,4362,0,metro,seasonal_day,extra_trees,1.05,0.18417549878358841,1.7523964560946954e-50
loss_gain,0.019370183705831726,0.0015545874833228117,0.017815596222508914,2.9029877032481114e-43,0,0.004704792856449252,2,0.019430740763339251,32768,4361,4362,0,metro,seasonal_day,extra_trees,1.05,0.18417584896087646,4.1652329399060091e-42
reference_u,9.2531474532513484e-07,0.0052832743719878131,-0.043681942375993696,1,0.038399593318751209,0.0030319401244036379,1.3994959750939602,0,32768,4361,4362,0.00022996057818659661,metro,seasonal_day,category_copy,0,0.086790658533573151,1
reference_betting,0.00022399734163636804,,,1,0.038399593318751209,0.0030319401244036379,1.3994959750939602,0,32768,4361,4362,0.00022996057818659661,metro,seasonal_day,category_copy,0,0.086791511625051498,1
known_forecast_u,0,0,0,1,0,0,0,0,32768,4361,4362,0,metro,seasonal_day,category_copy,0,0.086791872978210449,1
known_forecast_pairs,0,0,0,1,0,0,0,0,32768,4361,4362,0,metro,seasonal_day,category_copy,0,0.086792219430208206,1
loss_gain,0,0.00052536914535554176,-0.00052536914535554176,1,0,0,2,0,32768,4361,4362,0,metro,seasonal_day,category_copy,0,0.08679257333278656,1
reference_u,-0.0011877164741679104,0.004535890900481428,-0.043129378617006511,1,0.037405771242357173,0.0033085593071873576,0.99473288098264434,-0.00068422451024470617,32768,4361,4362,0.00022996057818659661,metro,seasonal_day,independent_noise,0.050000000000000003,0.18486916273832321,1
