rule,baseline,candidate,adjusted_or_nominal_p,eligible,resulting_choice,status
BH_full16_without_harmonic_penalty,ridge_lags_calendar,ridge_lags_calendar,1,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BH_full16_without_harmonic_penalty,ridge_lags_calendar,hist_gradient_boosting,0.00055186965663183167,True,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BH_full16_without_harmonic_penalty,ridge_lags_calendar,mirror_ridge_control,1,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BH_full16_without_harmonic_penalty,ridge_lags_calendar,exact_baseline_copy,1,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BH_full16_without_harmonic_penalty,ridge_lags_calendar,noise_control,0.44815950125455456,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BY_drop_five_guards_from_family,seasonal_24h,persistence_1h,0.067186857955576967,False,baseline,posthoc_arithmetic_only_not_new_confirmation
BY_drop_five_guards_from_family,seasonal_24h,seasonal_24h,1,False,baseline,posthoc_arithmetic_only_not_new_confirmation
BY_drop_five_guards_from_family,seasonal_24h,seasonal_168h,0.092029023410838962,False,baseline,posthoc_arithmetic_only_not_new_confirmation
BY_drop_five_guards_from_family,seasonal_24h,ridge_lags_calendar,0.067186857955576967,False,baseline,posthoc_arithmetic_only_not_new_confirmation
BY_drop_five_guards_from_family,seasonal_24h,hist_gradient_boosting,0.067186857955576967,False,baseline,posthoc_arithmetic_only_not_new_confirmation
BY_drop_five_guards_from_family,seasonal_24h,mirror_ridge_control,1,False,baseline,posthoc_arithmetic_only_not_new_confirmation
BY_drop_five_guards_from_family,seasonal_24h,exact_baseline_copy,1,False,baseline,posthoc_arithmetic_only_not_new_confirmation
BY_drop_five_guards_from_family,seasonal_24h,noise_control,1,False,baseline,posthoc_arithmetic_only_not_new_confirmation
BY_drop_five_guards_from_family,ridge_lags_calendar,persistence_1h,1,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BY_drop_five_guards_from_family,ridge_lags_calendar,seasonal_24h,0.72833237695396769,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BY_drop_five_guards_from_family,ridge_lags_calendar,seasonal_168h,1,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BY_drop_five_guards_from_family,ridge_lags_calendar,ridge_lags_calendar,1,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BY_drop_five_guards_from_family,ridge_lags_calendar,hist_gradient_boosting,0.001145772837954049,True,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BY_drop_five_guards_from_family,ridge_lags_calendar,mirror_ridge_control,1,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BY_drop_five_guards_from_family,ridge_lags_calendar,exact_baseline_copy,1,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BY_drop_five_guards_from_family,ridge_lags_calendar,noise_control,0.93045337325198429,False,hist_gradient_boosting,posthoc_arithmetic_only_not_new_confirmation
BY_separate_families_of_eight,seasonal_24h,persistence_1h,0.058635102851508532,False,baseline,posthoc_arithmetic_only_not_new_confirmation
BY_separate_families_of_eight,seasonal_24h,seasonal_24h,1,False,baseline,posthoc_arithmetic_only_not_new_confirmation
BY_separate_families_of_eight,seasonal_24h,seasonal_168h,0.075295574218541897,False,baseline,posthoc_arithmetic_only_not_new_confirmation
