baseline,gate_minus_ungated_mse,gate_minus_convex_mse,best_frozen_augmentation_ex_post,best_frozen_augmentation_mse,selected_gate_ex_post_opportunity_loss,selected_ungated_ex_post_opportunity_loss,candidate_level_sum_missed_gain_nonadditive,candidate_level_sum_avoided_harm_nonadditive,blocked_beneficial_candidate_count,blocked_harmful_candidate_count,guarded_zero_augmentation_count,max_absolute_selected_gate_minus_ungated_prediction
seasonal_24h,299789.5226076211,293683.23258707818,hist_gradient_boosting,34124.815577701549,299789.5226076211,0,844998.93731796206,0,4,0,2,1940.3217680037574
ridge_lags_calendar,0,-5623.721169155775,hist_gradient_boosting,31123.036063052539,0,0,0,1140.4212556949715,0,2,3,0
