alpha,baseline,blocks,candidate,gate,guard,moment_se,mse_augment_select,mse_baseline_select,mse_convex_select,p_by,p_raw,predicted_gain,t,theta_select,v_select,gamma0,gamma1,se_hac,se_iid_weeks,t_statistic,p_nominal_before_guard,p_iid_weeks_t7,p_normal_same_hac_se,family_original_index,guard_raw_baseline_copy,guard_zero_residual_variance,positive_weeks,week_1_mean,week_2_mean,week_3_mean,week_4_mean,week_5_mean,week_6_mean,week_7_mean,week_8_mean,by_order,by_rank_threshold_q05,by_adjustment_source_order,by_rank_critical_t7,nominal_p05_pass,gate_reason
0.63847381374017598,seasonal_24h,8,persistence_1h,False,False,44249.011860148828,72037.035782508188,161641.01641036704,74893.413683143139,0.10940386956247669,0.0080902572922580771,89603.980627858822,0.64311261123192087,139328.60134124412,216647.28526214376,12329934492.00704,1375890862.1900997,44249.011860148828,41969.265101307923,3.1487392708700255,0.0080902572922580771,0.0063844666072837165,0.0008198821191899142,1,False,False,8,329316.44557937712,60242.414281468802,53806.297203362956,56538.568521187859,42736.245798431162,107553.20240376783,146998.56152246433,317437.07541989308,4,0.0036974273965867436,4,3.726272425683177,True,passes_nominal_p05_but_fails_full16_BY
0.29462575868782059,seasonal_24h,8,seasonal_24h,False,True,9.1624267204989871e-12,161641.01641036704,161641.01641036704,156904.13878794908,1,1,0,0,-3.7222589471723361e-11,4.2783420417001446e-25,7.9704009842302276e-22,-2.0938965456342594e-22,9.1624267204989887e-12,1.067065467547746e-11,-4.062525202896925,0.99760286403212861,0.99492413816861991,0.99997572764770803,2,True,True,1,2.9207499029347379e-11,-6.9383612910281453e-11,-5.0621208177995194e-11,-4.6349341041604026e-11,-5.8238750759493121e-11,-3.0444660470886873e-11,-4.5342321510627979e-11,-2.6608319932245657e-11,12,0.011092282189760232,,2.9249047586076338,False,exact_copy_and_zero_variance
0.34542775142153748,seasonal_24h,8,seasonal_168h,False,False,25650.669261160594,138341.65219575167,161641.01641036704,135797.801560869,0.14985566492569996,0.013852011025750153,23299.364214615358,0.32794769671770213,71045.976074262493,216638.13097433941,6173375552.2137871,-1567677717.3956454,25650.669261160594,29696.982896809535,2.7697513601268091,0.013852011025750153,0.024000892109329017,0.0028049549657120382,3,False,False,7,269114.63729783153,-4006.7069964072543,72975.920560961094,60684.983529309764,50136.36483435399,66117.735991248614,29153.200954863281,24191.672421938929,5,0.0046217842457334296,5,3.5580474801551443,True,passes_nominal_p05_but_fails_full16_BY
1,seasonal_24h,8,ridge_lags_calendar,False,False,37057.853726232162,39220.608996398769,161641.01641036704,38771.708568308866,0.10940386956247669,0.0065754181251141443,122420.40741396826,1.0015647789609745,122229.14581817409,122038.18303692235,9081811681.7531643,531179977.81056792,37057.853726232162,36019.462361643884,3.2983331069616608,0.0065754181251141443,0.0057727525305249737,0.00048630339097381804,4,False,False,8,299487.27709734841,48816.467080768103,55116.094938336872,53440.476287214427,41129.322979213946,96099.75396646501,122415.29962496643,261328.47457107954,2,0.0018487136982933718,4,4.2707126960194444,True,passes_nominal_p05_but_fails_full16_BY
1,seasonal_24h,8,hist_gradient_boosting,False,False,38057.966580496846,30215.213417151401,161641.01641036704,32179.826614384107,0.10940386956247669,0.0066773834802304737,131425.80299321565,1.0505457341529274,125102.40984338152,119083.25908748151,9482049673.6163273,656812068.07918,38057.966580496854,36804.59923436652,3.2871543354471116,0.0066773834802304841,0.0057282805553142127,0.00050602675579104479,5,False,False,8,286986.58105465875,45290.455853659769,54679.334001583004,55973.357075352731,49581.412679178808,93603.820219015499,125755.27068944754,288949.04717415606,3,0.002773070547440058,4,3.9480080138091229,True,passes_nominal_p05_but_fails_full16_BY
0,seasonal_24h,8,mirror_ridge_control,False,False,37057.85372623217,161641.01641036704,161641.01641036704,161641.01641036704,1,0.9934245818748858,0,0,-122229.14581817403,122038.18303692226,9081811681.7531719,531179977.81056666,37057.85372623217,36019.462361643906,-3.2983331069616586,0.9934245818748858,0.994227247469475,0.99951369660902623,6,False,False,0,-299487.27709734841,-48816.467080767965,-55116.094938336792,-53440.476287214376,-41129.322979213866,-96099.753966464967,-122415.29962496637,-261328.47457107954,11,0.010167925340613546,,2.9861868942188492,False,nonpositive_selection_moment
0.29462575868782059,seasonal_24h,8,exact_baseline_copy,False,True,9.1624267204989871e-12,161641.01641036704,161641.01641036704,156904.13878794908,1,1,0,0,-3.7222589471723361e-11,4.2783420417001446e-25,7.9704009842302276e-22,-2.0938965456342594e-22,9.1624267204989887e-12,1.067065467547746e-11,-4.062525202896925,0.99760286403212861,0.99492413816861991,0.99997572764770803,7,True,True,1,2.9207499029347379e-11,-6.9383612910281453e-11,-5.0621208177995194e-11,-4.6349341041604026e-11,-5.8238750759493121e-11,-3.0444660470886873e-11,-4.5342321510627979e-11,-2.6608319932245657e-11,13,0.012016639038906917,,2.8687978515100423,False,exact_copy_and_zero_variance
0.24798527300952911,seasonal_24h,8,noise_control,False,False,668.99804061010627,161641.01641036704,161641.01641036704,157610.55925688925,1,0.5617780824834574,0,0,-107.88293335895992,9670.7847492335859,2965556.7409494049,167351.9074317239,668.99804061010616,650.88475400240566,-0.16126046237829622,0.5617780824834574,0.56347965294855107,0.5640558689539632,8,False,False,3,-62.14784768841006,-126.89777003853933,-1192.9658727180649,1062.1989594676447,1506.6979680110808,2630.0005498254509,-3084.3399062197609,-1595.6095475110812,9,0.0083192116423201727,,3.1287650143695669,False,nonpositive_selection_moment
0,ridge_lags_calendar,8,persistence_1h,False,False,2669.6422047769383,38297.168552391217,38297.168552391217,38297.168552391217,1,0.96808702042611894,0,0,-5870.5205230350175,52704.959037635985,44516504.746506631,5372421.7641772795,2669.6422047769383,2521.8050436289432,-2.1989915025056805,0.96808702042611894,0.97361173898184128,0.98606073673716121,9,False,False,1,-681.63016697741807,-11404.608194743501,-13529.400110373457,-7258.9547445395274,-12986.058501287713,-4233.8223670426241,-4522.0012535583974,7652.3111542424995,10,0.0092435684914668591,,3.0536810506841134,False,nonpositive_selection_moment
0.041041256614070751,ridge_lags_calendar,8,seasonal_24h,False,False,4001.7831215216088,38144.944300066301,38297.168552391217,38029.701229133214,1,0.13155243085788002,152.22425232491963,0.031261269327847799,4869.4200714785748,155765.27045051413,85094340.241036579,27005536.820830014,4001.7831215216083,3486.5935123194504,1.2168125866918702,0.13155243085787999,0.10260738390841409,0.11183776499736864,10,False,False,6,18499.709705919067,10930.343547536948,6208.225673924464,4505.2460563980439,11716.595507354312,3109.4263555809325,-1894.8294117915252,-14119.356863093641,6,0.005546141094880116,,3.422856471207179,False,fails_nominal_p05
