regime,alternative,replication,sample_sha256,fold_sha256,method,statistic,pvalue,reject,seconds,partial_distance_covariance,partial_distance_correlation
linear,null,3,5ef36ced13f479dfc5606bf49201b652a6e96d93940102b2ce223ce83f74ac27,bcffa846cb06f8c6445037950960d0a7f6ce8fa9567cf4a63fdf1c5a8179b7ad,extrapolated,-1.560236889933559,0.9406480445074794,0,0.0028122439980506897,-0.007306328865871513,-0.013762887471219542
linear,null,3,5ef36ced13f479dfc5606bf49201b652a6e96d93940102b2ce223ce83f74ac27,bcffa846cb06f8c6445037950960d0a7f6ce8fa9567cf4a63fdf1c5a8179b7ad,kci_gamma,73.8571971753352,0.49372166724244904,0,0.09795023500919342,-0.007306328865871513,-0.013762887471219542
linear,null,4,e57097d90fdbf3d805b401a08b63026187d5003cfb11bfa735cd4e41a4dcec47,ca0081d2ff7363af9f8f07d499284204919560f8f3f1f76f1bb1dbf603b0f646,gcm_coarse,1.025003382444083,0.1526807958391237,0,0.0006371885538101196,-0.0035037066187513883,-0.005787197793958987
linear,null,4,e57097d90fdbf3d805b401a08b63026187d5003cfb11bfa735cd4e41a4dcec47,ca0081d2ff7363af9f8f07d499284204919560f8f3f1f76f1bb1dbf603b0f646,gcm_fine,0.29086865301594594,0.38557588825520833,0,0.0005883872509002686,-0.0035037066187513883,-0.005787197793958987
linear,null,4,e57097d90fdbf3d805b401a08b63026187d5003cfb11bfa735cd4e41a4dcec47,ca0081d2ff7363af9f8f07d499284204919560f8f3f1f76f1bb1dbf603b0f646,gcm_spline,-0.12148148471290694,0.5483451604289757,0,0.003396235406398773,-0.0035037066187513883,-0.005787197793958987
linear,null,4,e57097d90fdbf3d805b401a08b63026187d5003cfb11bfa735cd4e41a4dcec47,ca0081d2ff7363af9f8f07d499284204919560f8f3f1f76f1bb1dbf603b0f646,extrapolated,-0.021408978089669278,0.5085402941359233,0,0.0027399472892284393,-0.0035037066187513883,-0.005787197793958987
linear,null,4,e57097d90fdbf3d805b401a08b63026187d5003cfb11bfa735cd4e41a4dcec47,ca0081d2ff7363af9f8f07d499284204919560f8f3f1f76f1bb1dbf603b0f646,kci_gamma,99.27224017670227,0.19816108078061956,0,0.09733478352427483,-0.0035037066187513883,-0.005787197793958987
linear,null,5,60dc6ea2ce6a3d84e4690fd89f47f67b9de98a07bb1c4ad15f52a78ba9d3aa2d,a58261f88856a54b42b50c8507f24c5df390f747636ea78b7c6648e9e1d62468,gcm_coarse,0.7460073459561909,0.22783148875395398,0,0.0006482973694801331,0.010031640557266965,0.01596742436458209
linear,null,5,60dc6ea2ce6a3d84e4690fd89f47f67b9de98a07bb1c4ad15f52a78ba9d3aa2d,a58261f88856a54b42b50c8507f24c5df390f747636ea78b7c6648e9e1d62468,gcm_fine,0.9338726028474877,0.1751848063735878,0,0.0005958005785942078,0.010031640557266965,0.01596742436458209
linear,null,5,60dc6ea2ce6a3d84e4690fd89f47f67b9de98a07bb1c4ad15f52a78ba9d3aa2d,a58261f88856a54b42b50c8507f24c5df390f747636ea78b7c6648e9e1d62468,gcm_spline,0.3722498644081571,0.3548534114780706,0,0.0034052953124046326,0.010031640557266965,0.01596742436458209
linear,null,5,60dc6ea2ce6a3d84e4690fd89f47f67b9de98a07bb1c4ad15f52a78ba9d3aa2d,a58261f88856a54b42b50c8507f24c5df390f747636ea78b7c6648e9e1d62468,extrapolated,0.7299032679202502,0.2327246573196981,0,0.0027862638235092163,0.010031640557266965,0.01596742436458209
linear,null,5,60dc6ea2ce6a3d84e4690fd89f47f67b9de98a07bb1c4ad15f52a78ba9d3aa2d,a58261f88856a54b42b50c8507f24c5df390f747636ea78b7c6648e9e1d62468,kci_gamma,94.76398870188287,0.24585385480870847,0,0.09661560133099556,0.010031640557266965,0.01596742436458209
linear,null,6,e1317d5f097774aae46819bc455984da941d496294ba9349d106f8af8b914901,70c848bb41b1a22656a063e95b51ef310c8cb956da3f158ff1fa4590930442f8,gcm_coarse,1.3120200467755767,0.09475668535273374,0,0.0006469301879405975,0.014087741228342745,0.024935890435559577
linear,null,6,e1317d5f097774aae46819bc455984da941d496294ba9349d106f8af8b914901,70c848bb41b1a22656a063e95b51ef310c8cb956da3f158ff1fa4590930442f8,gcm_fine,1.6002649950732877,0.054769904455607116,0,0.0005815513432025909,0.014087741228342745,0.024935890435559577
linear,null,6,e1317d5f097774aae46819bc455984da941d496294ba9349d106f8af8b914901,70c848bb41b1a22656a063e95b51ef310c8cb956da3f158ff1fa4590930442f8,gcm_spline,0.6095909252259621,0.27106641225607553,0,0.003381013870239258,0.014087741228342745,0.024935890435559577
linear,null,6,e1317d5f097774aae46819bc455984da941d496294ba9349d106f8af8b914901,70c848bb41b1a22656a063e95b51ef310c8cb956da3f158ff1fa4590930442f8,extrapolated,1.7637802207389264,0.03888449441223315,1,0.0027461759746074677,0.014087741228342745,0.024935890435559577
linear,null,6,e1317d5f097774aae46819bc455984da941d496294ba9349d106f8af8b914901,70c848bb41b1a22656a063e95b51ef310c8cb956da3f158ff1fa4590930442f8,kci_gamma,51.05594198757581,0.7934731679799121,0,0.09649964049458504,0.014087741228342745,0.024935890435559577
linear,null,7,1c3ca4f976ac418bb60a31b98b774de34e242f4b072477f959452ff6ae9cf60f,f18a863033e95152cda939b3eba09ef6910144e5f305cde3d9345feb83264896,gcm_coarse,1.728667433900933,0.04193431652507903,1,0.0006420128047466278,0.02201701208696579,0.03660107770163014
linear,null,7,1c3ca4f976ac418bb60a31b98b774de34e242f4b072477f959452ff6ae9cf60f,f18a863033e95152cda939b3eba09ef6910144e5f305cde3d9345feb83264896,gcm_fine,1.7465640653707437,0.040356492533975524,1,0.00058765709400177,0.02201701208696579,0.03660107770163014
