method,label,worst_false_positive_rate,minimum_positive_covariance_power,zero_covariance_dependence_rejection,total_seconds
gcm_coarse,GCM (8 bins),0.9866666666666667,0.98,0.06,1.7669569551944733
gcm_fine,GCM (32 bins),0.59,0.9566666666666667,0.09666666666666666,1.5561835765838623
gcm_spline,GCM (splines),0.11333333333333333,0.9466666666666667,0.05,9.109003566205502
extrapolated,Extrapolation,0.21,0.9433333333333334,0.09333333333333334,7.378181453794241
kci_gamma,KCI (gamma),0.07,0.7266666666666667,1.0,261.3156192190945
