entities,times,lookback,injected_association,method,replications,rejections,rejection_rate,wilson_low,wilson_high,mean_statistic,sd_statistic,mean_score,exact_mean_score,mean_score_mc_se,mean_reported_se,empirical_mean_score_sd,reported_se_over_empirical_sd,undefined_statistics
25,20,1,0.0,standard,500,43,0.086,0.06447314240360771,0.11383981149855754,0.10057749025537085,1.1392250619080404,0.00565578482483332,0.0046875000000000016,0.0031526520068099685,0.06366370855351104,0.0704954419662822,0.9030897144238239,0
25,20,1,0.0,directional,500,37,0.074,0.054161184751011976,0.10033475332223055,0.03443442978594679,1.0851287288609694,0.0006856988643075792,0.0,0.0032439592162371335,0.06872661430946936,0.0725371332374317,0.9474680241981774,0
25,20,1,0.0,gapped_complementary,500,46,0.092,0.06968272368045207,0.12053873813617456,0.2111263207317552,1.145718066009644,0.013198695852785288,0.012244897959183673,0.0032209234228433993,0.06436528437684316,0.0720220372379914,0.8936887492386938,0
25,20,1,0.1,standard,500,261,0.522,0.47821548941356756,0.5654490396061242,1.7703464594088278,1.1506557553259973,0.11174635644941852,0.11093750000000002,0.003167367133932837,0.06437465659439325,0.07082448221172505,0.9089322587908164,0
25,20,1,0.1,directional,500,214,0.428,0.38534175538940585,0.4717561496370578,1.4969298760120233,1.121658129934003,0.10039418775861063,0.10000000000000002,0.003255447295477457,0.06940526486673705,0.07279401449855438,0.9534474138408093,0
25,20,1,0.3,standard,500,500,1.0,0.9923756595384479,1.0,4.774567992416728,1.2014450731042743,0.3239274996985889,0.3234375,0.0033295003492907773,0.06909938936930407,0.07444989112123472,0.9281328465179639,0
25,20,1,0.3,directional,500,496,0.992,0.9796129641658948,0.9968846848199377,4.155196066135848,1.2243277876406429,0.2998111655472167,0.29999999999999993,0.0034104706227828544,0.07390401534353912,0.07626044147808506,0.9691002820220611,0
25,20,5,0.0,standard,500,13,0.026,0.015256383923327248,0.04397149083422428,-0.6461523081417301,1.126894881806989,-0.042765442198111486,-0.04505208333333335,0.0032697586915209037,0.0665549126254379,0.07311402704261506,0.9102892470503078,0
25,20,5,0.0,directional,500,41,0.082,0.06101908946846894,0.10935485915738875,0.03475968444251709,1.069211849719538,0.0013509247456551827,0.0,0.0034979178205331637,0.07568597566974924,0.07821582026420064,0.9676555895481761,0
25,20,5,0.0,gapped_complementary,500,107,0.214,0.18030299998759533,0.2520581227564126,0.787756318549818,1.0831347922967256,0.06646491222462765,0.06553287981859408,0.003958048080690155,0.0814800174037421,0.08850464566635759,0.9206298357591675,0
