design,signal,training_rows,validation_pairs,groups,peers,replications,rejections,rate,wilson_low,wilson_high,normal_rejections,budget_failures,coverage_failures,mean_bias_budget,mean_sampling_radius,mean_lower_bound,mean_p,target,total_observations
eight_balanced,0.0,32,512,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,458,0,0,0.21343089558239603,0.026247331388567254,-0.23888784277105338,1.0,0.0,7456
eight_balanced,0.0,32,512,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,491,0,0,0.21343089558239603,0.013123665694283627,-0.22578035624267398,1.0,0.0,26656
eight_balanced,0.0,32,8192,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,458,0,0,0.03784854243100064,0.026247331388567254,-0.06330548961965796,1.0,0.0,22816
eight_balanced,0.0,32,8192,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,491,0,0,0.03784854243100064,0.013123665694283627,-0.05019800309127859,1.0,0.0,42016
eight_balanced,0.0,512,512,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,83,0,0,0.1417750651090223,0.019097506710654775,-0.16081529702597505,1.0,0.0,7936
eight_balanced,0.0,512,512,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,142,0,0,0.1417750651090223,0.009548753355327387,-0.1512916661224937,1.0,0.0,27136
eight_balanced,0.0,512,8192,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,83,0,0,0.011280962964931533,0.019097506710654775,-0.030321194881884294,1.0,0.0,23296
eight_balanced,0.0,512,8192,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,142,0,0,0.011280962964931533,0.009548753355327387,-0.020797563978402926,1.0,0.0,42496
eight_balanced,0.0,8192,512,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,60,0,0,0.13646488213670518,0.018201914191382822,-0.15463287875543694,1.0,0.0,15616
eight_balanced,0.0,8192,512,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,59,0,0,0.13646488213670518,0.009100957095691411,-0.14555629687137292,1.0,0.0,34816
eight_balanced,0.0,8192,8192,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,60,0,0,0.008411084317204288,0.018201914191382822,-0.026579080935936028,1.0,0.0,30976
eight_balanced,0.0,8192,8192,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,59,0,0,0.008411084317204288,0.009100957095691411,-0.017502499051872015,1.0,0.0,50176
eight_balanced,0.25,32,512,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,982,0,0,0.2152932407309375,0.025847523810295103,-0.2235702030773448,1.0,0.013214285714285713,7456
eight_balanced,0.25,32,512,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,986,0,0,0.2152932407309375,0.012923761905147551,-0.21062681101288064,1.0,0.013214285714285713,26656
eight_balanced,0.25,32,8192,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,982,0,0,0.038319968890391555,0.025847523810295103,-0.046596931236798866,1.0,0.013214285714285713,22816
eight_balanced,0.25,32,8192,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,986,0,0,0.038319968890391555,0.012923761905147551,-0.03365353917233473,1.0,0.013214285714285713,42016
eight_balanced,0.25,512,512,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.1418702563072327,0.01906557666011761,-0.14754716838523602,1.0,0.013214285714285713,7936
eight_balanced,0.25,512,512,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.1418702563072327,0.009532788330058805,-0.13799335201504012,1.0,0.013214285714285713,27136
eight_balanced,0.25,512,8192,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.011290292408357508,0.01906557666011761,-0.016967204486360816,0.9531739987174486,0.013214285714285713,23296
eight_balanced,0.25,512,8192,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.011290292408357508,0.009532788330058805,-0.007413388116164949,0.83693600866618,0.013214285714285713,42496
eight_balanced,0.25,8192,512,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.13657881582502762,0.018189494035184352,-0.14156063723026308,1.0,0.013214285714285713,15616
eight_balanced,0.25,8192,512,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.13657881582502762,0.009094747017592176,-0.13244617789586882,1.0,0.013214285714285713,34816
eight_balanced,0.25,8192,8192,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.00843149816122411,0.018189494035184352,-0.013413319566459556,0.8104535377632145,0.013214285714285713,30976
eight_balanced,0.25,8192,8192,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.00843149816122411,0.009094747017592176,-0.004298860232065314,0.4374863124260817,0.013214285714285713,50176
eight_balanced,0.5,32,512,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.2173706646806005,0.025372540059824714,-0.2084110352596823,1.0,0.026428571428571426,7456
eight_balanced,0.5,32,512,400,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.2173706646806005,0.012686270029912357,-0.19568770536922353,1.0,0.026428571428571426,26656
eight_balanced,0.5,32,8192,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.03908782274407522,0.025372540059824714,-0.030128193323157002,0.9742641606844654,0.026428571428571426,22816
eight_balanced,0.5,32,8192,400,64,1000,1,0.001,0.00017654637062607809,0.0056425585979579355,1000,0,0,0.03908782274407522,0.012686270029912357,-0.017404863432698255,0.9242286753365152,0.026428571428571426,42016
eight_balanced,0.5,512,512,100,64,1000,0,0.0,2.168404344971009e-19,0.0038267584855551234,1000,0,0,0.14280231498586454,0.018940657524842395,-0.13493540543508648,1.0,0.026428571428571426,7936
