model,fold_scheme,beta,lag,n,periods,calendar_gaps,mean_product,standard_error,statistic,p_one_sided,inference_status,product_mean_q8,product_mean_q12,product_mean_q16,product_mean_q24,product_mean_q32,raw_p_one_sided,raw_statistic,raw_nominal_positive,redundancy_abstain,redundancy_reason,undefined_audit_abstain,policy_abstain,p_policy,policy_nominal_positive,policy_decision,raw_by_reject_recomputed,raw_by_adjusted_p_recomputed,policy_by_reject,policy_by_adjusted_p,policy_family_size,final_label,label_scope,finite_certificate_issued,short_panel_empirical_concern,guard_reason
Croston SBA,contiguous,2,2,112000,28,0,-0.016164966702066887,0.001881619142788107,-8.5909875885479643,1,computed,-0.017206435888449109,-0.01513680293742454,-0.017132459062469019,-0.015880785035456819,-0.016678675554966202,1,-8.5909875885479643,False,False,no_exact_sample_redundancy_detected,False,False,1,False,NOT_POSITIVE,False,1,False,1,10,NULL,operational normal-reference screen; calibration not established,False,True,none
Eight week mean,contiguous,2,2,112000,28,0,0.036028685081427571,0.0093808411536916436,3.8406667900190592,6.135028571319296e-05,computed,0.030151016488015187,0.033961471563141624,0.032077129489518075,0.039547626170955155,0.033338724485173908,6.135028571319296e-05,3.8406667900190592,True,False,no_exact_sample_redundancy_detected,False,False,6.135028571319296e-05,True,NOMINAL_POSITIVE,True,0.00029948839870970711,True,0.00029948839870970711,10,RETAIN,operational normal-reference screen; calibration not established,False,True,none
Exponential smoothing,contiguous,2,2,112000,28,0,0.041595793878583365,0.0096967749942340857,4.2896523744561605,8.9476500483701796e-06,computed,0.031969398572766851,0.038116589962755437,0.035680878652090117,0.04652765281623801,0.037603817781354833,8.9476500483701796e-06,4.2896523744561605,True,False,no_exact_sample_redundancy_detected,False,False,8.9476500483701796e-06,True,NOMINAL_POSITIVE,True,5.2414765878587536e-05,True,5.2414765878587536e-05,10,RETAIN,operational normal-reference screen; calibration not established,False,True,none
Four week mean,contiguous,2,2,112000,28,0,0.06097165474591551,0.010098253610320605,6.0378415019802372,7.8094682129394496e-10,computed,0.05198989102899032,0.057772550605814578,0.055128190549069159,0.066334386245277446,0.056753927726755818,7.8094682129394496e-10,6.0378415019802372,True,False,no_exact_sample_redundancy_detected,False,False,7.8094682129394496e-10,True,NOMINAL_POSITIVE,True,7.6245614920246137e-09,True,7.6245614920246137e-09,10,RETAIN,operational normal-reference screen; calibration not established,False,True,none
Last week,contiguous,2,2,112000,28,0,0.026879263144797574,0.013924618855058966,1.9303410329994091,0.026782298007846747,computed,0.0081460797708153149,0.020084863456970185,0.015631122089790395,0.036467909015330043,0.018944958679558224,0.026782298007846747,1.9303410329994091,True,True,exact_observed_baseline_copy,False,True,1,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,False,0.098055625791625425,False,1,10,ABSTAIN,operational normal-reference screen; calibration not established,False,True,exact_observed_baseline_copy
Past price and calendar,contiguous,2,2,112000,28,0,0.010072913102355072,0.0013123186072952194,7.6756612657623222,8.2283736497465952e-15,computed,0.0099135933415326286,0.0092984015283376093,0.010155868836577412,0.010180585951458645,0.01013239682295339,8.2283736497465952e-15,7.6756612657623222,True,False,no_exact_sample_redundancy_detected,False,False,8.2283736497465952e-15,True,NOMINAL_POSITIVE,True,2.410064520189667e-13,True,2.410064520189667e-13,10,RETAIN,operational normal-reference screen; calibration not established,False,True,none
Past price calendar and history,contiguous,2,2,112000,28,0,0.052490274829756919,0.011142883006162055,4.7106547561102099,1.2346110906100208e-06,computed,0.039591902838960469,0.048051444071653293,0.044450662830453097,0.059687961780212115,0.046592072011337297,1.2346110906100208e-06,4.7106547561102099,True,False,no_exact_sample_redundancy_detected,False,False,1.2346110906100208e-06,True,NOMINAL_POSITIVE,True,9.0403417259846861e-06,True,9.0403417259846861e-06,10,RETAIN,operational normal-reference screen; calibration not established,False,True,none
Ridge with history,contiguous,2,2,112000,28,0,0.04378539869072634,0.011994271404345017,3.650525923139003,0.00013085194660203046,computed,0.028259043938370254,0.038341205425401856,0.034394803615563109,0.051686117939746916,0.037227637129571584,0.00013085194660203046,3.650525923139003,True,False,no_exact_sample_redundancy_detected,False,False,0.00013085194660203046,True,NOMINAL_POSITIVE,True,0.00054751599652470904,True,0.00054751599652470904,10,RETAIN,operational normal-reference screen; calibration not established,False,True,none
Theta,contiguous,2,2,112000,28,0,0.06015029139272824,0.0094545310496526088,6.3620597443527744,9.9532988368633787e-11,computed,0.051261570316655687,0.057140385210567454,0.054266083759463381,0.065480900674192641,0.055965313101329336,9.9532988368633787e-11,6.3620597443527744,True,False,no_exact_sample_redundancy_detected,False,False,9.9532988368633787e-11,True,NOMINAL_POSITIVE,True,1.457644815771599e-09,True,1.457644815771599e-09,10,RETAIN,operational normal-reference screen; calibration not established,False,True,none
Training series mean,contiguous,2,2,112000,28,0,1.8130587039258942e-15,4.3173836274192276e-13,,1,undefined_rank_or_scale,3.6977138649381667e-15,-1.2461506560083629e-14,-3.6959229522111306e-13,-7.52666459029535e-13,9.628730276905716e-13,1,,False,False,no_exact_sample_redundancy_detected,True,True,1,False,ABSTAIN_UNDEFINED_AUDIT,False,1,False,1,10,ABSTAIN,operational normal-reference screen; calibration not established,False,True,undefined_rank_or_scale
