screen,model,ordered_rank,family_size,harmonic_factor,pvalue,rank_cutoff,passes_own_rank_cutoff,step_up_last_passing_rank,step_up_cutoff,retained_by_step_up,final_label
raw,Past price and calendar,1,10,2.9289682539682538,8.2283736497465952e-15,0.0017070857607370277,True,7,0.011949600325159194,True,RETAIN
raw,Theta,2,10,2.9289682539682538,9.9532988368633787e-11,0.0034141715214740555,True,7,0.011949600325159194,True,RETAIN
raw,Four week mean,3,10,2.9289682539682538,7.8094682129394496e-10,0.0051212572822110832,True,7,0.011949600325159194,True,RETAIN
raw,Past price calendar and history,4,10,2.9289682539682538,1.2346110906100208e-06,0.006828343042948111,True,7,0.011949600325159194,True,RETAIN
raw,Exponential smoothing,5,10,2.9289682539682538,8.9476500483701796e-06,0.0085354288036851387,True,7,0.011949600325159194,True,RETAIN
raw,Eight week mean,6,10,2.9289682539682538,6.135028571319296e-05,0.010242514564422166,True,7,0.011949600325159194,True,RETAIN
raw,Ridge with history,7,10,2.9289682539682538,0.00013085194660203046,0.011949600325159194,True,7,0.011949600325159194,True,RETAIN
raw,Last week,8,10,2.9289682539682538,0.026782298007846747,0.013656686085896222,False,7,0.011949600325159194,False,ABSTAIN
raw,Croston SBA,9,10,2.9289682539682538,1,0.01536377184663325,False,7,0.011949600325159194,False,NULL
raw,Training series mean,10,10,2.9289682539682538,1,0.017070857607370277,False,7,0.011949600325159194,False,ABSTAIN
guarded,Past price and calendar,1,10,2.9289682539682538,8.2283736497465952e-15,0.0017070857607370277,True,7,0.011949600325159194,True,RETAIN
guarded,Theta,2,10,2.9289682539682538,9.9532988368633787e-11,0.0034141715214740555,True,7,0.011949600325159194,True,RETAIN
guarded,Four week mean,3,10,2.9289682539682538,7.8094682129394496e-10,0.0051212572822110832,True,7,0.011949600325159194,True,RETAIN
guarded,Past price calendar and history,4,10,2.9289682539682538,1.2346110906100208e-06,0.006828343042948111,True,7,0.011949600325159194,True,RETAIN
guarded,Exponential smoothing,5,10,2.9289682539682538,8.9476500483701796e-06,0.0085354288036851387,True,7,0.011949600325159194,True,RETAIN
guarded,Eight week mean,6,10,2.9289682539682538,6.135028571319296e-05,0.010242514564422166,True,7,0.011949600325159194,True,RETAIN
guarded,Ridge with history,7,10,2.9289682539682538,0.00013085194660203046,0.011949600325159194,True,7,0.011949600325159194,True,RETAIN
guarded,Croston SBA,8,10,2.9289682539682538,1,0.013656686085896222,False,7,0.011949600325159194,False,NULL
guarded,Last week,9,10,2.9289682539682538,1,0.01536377184663325,False,7,0.011949600325159194,False,ABSTAIN
guarded,Training series mean,10,10,2.9289682539682538,1,0.017070857607370277,False,7,0.011949600325159194,False,ABSTAIN
