domain,model,cluster,n,spearman_manual,spearman_scipy,status,baseline_spearman_manual,baseline_spearman_scipy,baseline_status
electricity,dlinear,2013-01-01,48,0.98848076505107585,0.98848076505107574,defined,0.99456639860899809,0.99456639860899787,defined
electricity,dlinear,2013-01-02,48,0.99673983916539888,0.99673983916539866,defined,0.99402303846989781,0.99402303846989781,defined
electricity,dlinear,2013-01-03,48,0.99869593566615955,0.99869593566615955,defined,0.99347967833079764,0.99347967833079753,defined
electricity,dlinear,2013-01-04,48,0.98902412519017602,0.98902412519017591,defined,0.99565311888719843,0.99565311888719832,defined
electricity,dlinear,2013-01-05,48,0.99467507063681804,0.99467507063681804,defined,0.99413171049771787,0.99413171049771765,defined
electricity,dlinear,2013-01-06,48,0.98522060421647473,0.9852206042164745,defined,0.96685503151488805,0.96685503151488794,defined
electricity,dlinear,2013-01-07,48,0.99695718322103888,0.99695718322103877,defined,0.96761573570962833,0.96761573570962822,defined
electricity,dlinear,2013-01-08,48,0.99445772658117804,0.99445772658117793,defined,0.99402303846989781,0.99402303846989781,defined
electricity,dlinear,2013-01-09,48,0.99326233427515753,0.99326233427515742,defined,0.99500108672027821,0.99500108672027809,defined
electricity,dlinear,2013-01-10,48,0.9973918713323191,0.99739187133231899,defined,0.99543577483155832,0.99543577483155821,defined
electricity,dlinear,2013-01-11,48,0.98935014127363619,0.98935014127363619,defined,0.99576179091501849,0.99576179091501849,defined
electricity,dlinear,2013-01-12,48,0.99510975874809826,0.99510975874809815,defined,0.99141490980221691,0.99141490980221669,defined
electricity,dlinear,2013-01-13,48,0.9871767007172354,0.98717670071723518,defined,0.99489241469245815,0.99489241469245804,defined
electricity,dlinear,2013-01-14,48,0.99663116713757882,0.99663116713757871,defined,0.99641382308193871,0.9964138230819386,defined
electricity,dlinear,2013-01-15,48,0.9976092153879591,0.99760921538795888,defined,0.99826124755487933,0.99826124755487933,defined
electricity,dlinear,2013-01-16,48,0.99673983916539888,0.99673983916539866,defined,0.99684851119321882,0.99684851119321882,defined
electricity,dlinear,2013-01-17,48,0.9985872636383395,0.99858726363833938,defined,0.99728319930449905,0.99728319930449894,defined
electricity,dlinear,2013-01-18,48,0.99315366224733759,0.99315366224733748,defined,0.99663116713757882,0.99663116713757871,defined
electricity,dlinear,2013-01-19,48,0.99695718322103888,0.99695718322103877,defined,0.99467507063681804,0.99467507063681804,defined
electricity,dlinear,2013-01-20,48,0.98989350141273635,0.98989350141273624,defined,0.99673983916539888,0.99673983916539866,defined
electricity,dlinear,2013-01-21,48,0.99706585524885893,0.99706585524885882,defined,0.99804390349923933,0.99804390349923922,defined
electricity,dlinear,2013-01-22,48,0.99706585524885893,0.99706585524885882,defined,0.9976092153879591,0.99760921538795888,defined
electricity,dlinear,2013-01-23,48,0.99771788741577916,0.99771788741577905,defined,0.99728319930449905,0.99728319930449894,defined
electricity,dlinear,2013-01-24,48,0.9976092153879591,0.99760921538795888,defined,0.99717452727667899,0.99717452727667888,defined
electricity,dlinear,2013-01-25,48,0.99576179091501849,0.99576179091501849,defined,0.99282764616387742,0.99282764616387731,defined
electricity,dlinear,2013-01-26,48,0.99478374266463809,0.99478374266463798,defined,0.9959791349706586,0.99597913497065838,defined
electricity,dlinear,2013-01-27,48,0.99641382308193871,0.9964138230819386,defined,0.99826124755487933,0.99826124755487933,defined
electricity,dlinear,2013-01-28,48,0.99880460769397961,0.9988046076939795,defined,0.9976092153879591,0.99760921538795888,defined
electricity,dlinear,2013-01-29,48,0.99880460769397961,0.9988046076939795,defined,0.99750054336013905,0.99750054336013894,defined
electricity,dlinear,2013-01-30,48,0.99880460769397961,0.9988046076939795,defined,0.99793523147141927,0.99793523147141916,defined
electricity,dlinear,2013-01-31,48,0.99869593566615955,0.99869593566615955,defined,0.99836991958269938,0.99836991958269927,defined
electricity,dlinear,2013-02-01,48,0.99695718322103888,0.99695718322103877,defined,0.99663116713757882,0.99663116713757871,defined
electricity,dlinear,2013-02-02,48,0.99673983916539888,0.99673983916539866,defined,0.99554444685937837,0.99554444685937837,defined
electricity,dlinear,2013-02-03,48,0.99815257552705938,0.99815257552705916,defined,0.99891327972179966,0.99891327972179955,defined
electricity,dlinear,2013-02-04,48,0.99836991958269938,0.99836991958269927,defined,0.99804390349923933,0.99804390349923922,defined
electricity,dlinear,2013-02-05,48,0.99869593566615955,0.99869593566615955,defined,0.99782655944359921,0.9978265594435991,defined
electricity,dlinear,2013-02-06,48,0.99804390349923933,0.99804390349923922,defined,0.99695718322103888,0.99695718322103877,defined
electricity,dlinear,2013-02-07,48,0.99891327972179966,0.99891327972179955,defined,0.99815257552705938,0.99815257552705916,defined
electricity,dlinear,2013-02-08,48,0.99793523147141927,0.99793523147141916,defined,0.99641382308193871,0.9964138230819386,defined
electricity,dlinear,2013-02-09,48,0.99510975874809826,0.99510975874809815,defined,0.99815257552705938,0.99815257552705916,defined
electricity,dlinear,2013-02-10,48,0.99434905455335798,0.99434905455335776,defined,0.99293631819169748,0.99293631819169736,defined
electricity,dlinear,2013-02-11,48,0.98424255596609433,0.98424255596609422,defined,0.9783742664638122,0.97837426646381198,defined
electricity,dlinear,2013-02-12,48,0.98663334057813523,0.98663334057813501,defined,0.99695718322103888,0.99695718322103877,defined
electricity,dlinear,2013-02-13,48,0.99771788741577916,0.99771788741577905,defined,0.99826124755487933,0.99826124755487933,defined
electricity,dlinear,2013-02-14,48,0.99923929580525972,0.99923929580525961,defined,0.99826124755487933,0.99826124755487933,defined
electricity,dlinear,2013-02-15,48,0.99532710280373837,0.99532710280373826,defined,0.99728319930449905,0.99728319930449894,defined
electricity,dlinear,2013-02-16,48,0.99543577483155832,0.99543577483155821,defined,0.99750054336013905,0.99750054336013894,defined
electricity,dlinear,2013-02-17,48,0.99413171049771787,0.99413171049771765,defined,0.99250163008041725,0.99250163008041703,defined
electricity,dlinear,2013-02-18,48,0.99891327972179966,0.99891327972179955,defined,0.97478808954575091,0.9747880895457508,defined
electricity,dlinear,2013-02-19,48,0.99902195174961961,0.99902195174961961,defined,0.9973918713323191,0.99739187133231899,defined
electricity,dlinear,2013-02-20,48,0.99923929580525972,0.99923929580525961,defined,0.99923929580525972,0.99923929580525961,defined
electricity,dlinear,2013-02-21,48,0.9985872636383395,0.99858726363833938,defined,0.99804390349923933,0.99804390349923922,defined
electricity,dlinear,2013-02-22,48,0.99271897413605736,0.99271897413605736,defined,0.99782655944359921,0.9978265594435991,defined
electricity,dlinear,2013-02-23,48,0.99663116713757882,0.99663116713757871,defined,0.99793523147141927,0.99793523147141916,defined
electricity,dlinear,2013-02-24,48,0.99510975874809826,0.99510975874809815,defined,0.9976092153879591,0.99760921538795888,defined
electricity,dlinear,2013-02-25,48,0.99836991958269938,0.99836991958269927,defined,0.99804390349923933,0.99804390349923922,defined
electricity,dlinear,2013-02-26,48,0.9985872636383395,0.99858726363833938,defined,0.99804390349923933,0.99804390349923922,defined
electricity,dlinear,2013-02-27,48,0.99891327972179966,0.99891327972179955,defined,0.99836991958269938,0.99836991958269927,defined
electricity,dlinear,2013-02-28,48,0.99836991958269938,0.99836991958269927,defined,0.99793523147141927,0.99793523147141916,defined
electricity,dlinear,2013-03-01,48,0.99717452727667899,0.99717452727667888,defined,0.99771788741577916,0.99771788741577905,defined
electricity,dlinear,2013-03-02,48,0.99532710280373837,0.99532710280373826,defined,0.99826124755487933,0.99826124755487933,defined
