domain,model,n_rows,clusters_total,clusters_defined,clusters_undefined,mean_cluster_spearman,baseline_clusters_defined,baseline_mean_cluster_spearman,paired_clusters_defined,paired_mean_spearman_difference,original_scale_mae,mae_status,mae_units,baseline_original_scale_mae,exact_baseline_copy,audit_beta,audit_raw_T,audit_raw_p,audit_raw_BY_p,audit_guarded_p,audit_guarded_BY_p,audit_final_label,audit_label_scope,audit_abstention_reason,cohort_sha256,audit_family_size,undefined_fewer_than_two_rows,undefined_constant_prediction,undefined_constant_outcome,undefined_constant_prediction_and_outcome
portfolios,Exponential twelve-month mean,27272,132,132,0,0.08238922633797463,132,0.079192016493576642,132,0.003197209844397998,2.8508669554524149,computed,percentage points of return,11.791534754631686,False,2,1.2910757657451699,0.098338703258916998,1,0.098338703258916901,1,null,operational screen; calibration not established,none,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,10,0,0,0,0
portfolios,Last month,27272,132,132,0,0.05099817172068026,132,0.079192016493576642,132,-0.028193844772896381,3.769197830617141,computed,percentage points of return,11.791534754631686,False,2,1.4540050401801183,0.072972454413968102,1,0.072972454413968102,1,null,operational screen; calibration not established,none,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,10,0,0,0,0
portfolios,LightGBM,27272,132,132,0,0.045043165817219961,132,0.079192016493576642,132,-0.034148850676356701,2.7512386639308986,computed,percentage points of return,11.791534754631686,False,2,-0.26911021267788099,0.60607756416693404,1,0.60607756416693404,1,null,operational screen; calibration not established,none,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,10,0,0,0,0
portfolios,Ridge,27272,132,132,0,0.056214794946525835,132,0.079192016493576642,132,-0.022977221547050793,2.7578914415294822,computed,percentage points of return,11.791534754631686,False,2,0.94242001369609196,0.17298882231052853,1,0.17298882231052851,1,null,operational screen; calibration not established,none,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,10,0,0,0,0
portfolios,Seasonal twelve-month lag,27272,132,132,0,0.0037492261719687674,132,0.079192016493576642,132,-0.075442790321607861,3.8343524715575046,computed,percentage points of return,11.791534754631686,False,2,-1.100404678678665,0.86442207956317996,1,0.86442207956317996,1,null,operational screen; calibration not established,none,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,10,0,0,0,0
portfolios,Small MLP,27272,132,132,0,0.016815132996317338,132,0.079192016493576642,132,-0.062376883497259297,2.9368319055691301,computed,percentage points of return,11.791534754631686,False,2,-1.137301009949647,0.87229376364691369,1,0.8722937636469138,1,null,operational screen; calibration not established,none,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,10,0,0,0,0
portfolios,Trailing three-month return,27272,132,132,0,0.032417959306823632,132,0.079192016493576642,132,-0.046774057186752996,5.6151749928425119,computed,percentage points of return,11.791534754631686,False,2,-0.2035670260604521,0.58065406853117985,1,0.58065406853117985,1,null,operational screen; calibration not established,none,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,10,0,0,0,0
portfolios,Trailing twelve-month return,27272,132,132,0,0.079192016493576642,132,0.079192016493576642,132,0,11.791534754631686,computed,percentage points of return,11.791534754631686,True,2,0.85980907442531662,0.19494714814416386,1,1,1,abstain,operational screen; calibration not established,exact_observed_baseline_copy,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,10,0,0,0,0
portfolios,Training portfolio mean,27272,132,132,0,0.047194966807735356,132,0.079192016493576642,132,-0.031997049685841286,2.7585160166287803,computed,percentage points of return,11.791534754631686,False,2,-2.1112743566108398,0.9826256315747316,1,0.9826256315747316,1,null,operational screen; calibration not established,none,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,10,0,0,0,0
ratings,Alternating least squares,12088,279,252,27,0.27358344596833317,252,0.31577549457095366,252,-0.04219204860262047,0.71899960052014489,computed,rating points,0.69274958309605128,False,2,12.743562925312736,1.6928609265726409e-37,1.6527786374380712e-36,1.6928609265725269e-37,1.6527786374380712e-36,retain,operational screen; calibration not established,none,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,10,18,0,9,0
ratings,Global mean,12088,279,0,279,,252,0.31577549457095366,0,,0.74747284338371656,computed,rating points,0.69274958309605128,False,2,,1,1,1,1,abstain,operational screen; calibration not established,zero_within_cluster_forecast_rank_variation,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,10,18,252,0,9
ratings,Item mean,12088,279,252,27,0.31577549457095366,252,0.31577549457095366,252,0,0.69274958309605128,computed,rating points,0.69274958309605128,True,2,2.6118208231587663,0.0045030720816899086,0.01648669396575057,1,1,abstain,operational screen; calibration not established,exact_observed_baseline_copy,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,10,18,0,9,0
ratings,Item nearest neighbours,12088,279,252,27,0.394732003758899,252,0.31577549457095366,252,0.078956509187945362,0.58110038296601219,computed,rating points,0.69274958309605128,False,2,12.92678700964048,1.5891269132321515e-38,2.3272511401916762e-37,1.5891269132320891e-38,2.3272511401916762e-37,retain,operational screen; calibration not established,none,57d505e90caac55bd3eec2cdbc640cb18291d68483dee03a7368e2cf5aac17de,10,18,0,9,0
