model,fold_scheme,beta,lag,n,periods,calendar_gaps,mean_product,standard_error,statistic,p_one_sided,inference_status,product_mean_q8,product_mean_q12,product_mean_q16,product_mean_q24,product_mean_q32,raw_p_one_sided,raw_statistic,raw_nominal_positive,redundancy_abstain,redundancy_reason,undefined_audit_abstain,policy_abstain,p_policy,policy_nominal_positive,policy_decision,raw_by_reject_recomputed,raw_by_adjusted_p_recomputed,policy_by_reject,policy_by_adjusted_p,policy_family_size,final_label,label_scope,finite_certificate_issued,short_panel_empirical_concern,guard_reason
Alternating least squares,contiguous,2,0,12088,279,0,0.18936057708658732,0.014859311967678663,12.743562925287275,1.692860927125186e-37,computed,0.19439965739391593,0.19127314594162176,0.19004663744024533,0.19023365739859704,0.18991306808317021,1.692860927125186e-37,12.743562925287275,True,False,no_exact_sample_redundancy_detected,False,False,1.692860927125186e-37,True,NOMINAL_POSITIVE,True,1.6527786379776452e-36,True,1.6527786379776452e-36,10,RETAIN,operational normal-reference screen; calibration not established,False,False,none
Global mean,contiguous,2,0,12088,279,0,0,0,,1,undefined_rank_or_scale,0,0,0,0,0,1,,False,True,zero_within_cluster_forecast_rank_variation,True,True,1,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,False,1,False,1,10,ABSTAIN,operational normal-reference screen; calibration not established,False,False,zero_within_cluster_forecast_rank_variation
Item mean,contiguous,2,0,12088,279,0,0.00088247640771474335,0.00033787785131759117,2.6118208230383591,0.0045030720832757781,computed,0.0095943606022818595,0.0054814690550437362,0.0026058441408775006,0.002200524980558147,0.0011419315567498596,0.0045030720832757781,2.6118208230383591,True,True,exact_observed_baseline_copy,False,True,1,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,True,0.016486693971556804,False,1,10,ABSTAIN,operational normal-reference screen; calibration not established,False,False,exact_observed_baseline_copy
Item nearest neighbours,contiguous,2,0,12088,279,0,0.18235442203648225,0.014106708952613756,12.926787009573539,1.5891269146153602e-38,computed,0.18981735710542724,0.18573932984792718,0.1834228963390975,0.18330855731582243,0.18323597272211392,1.5891269146153602e-38,12.926787009573539,True,False,no_exact_sample_redundancy_detected,False,False,1.5891269146153602e-38,True,NOMINAL_POSITIVE,True,2.3272511422174552e-37,True,2.3272511422174552e-37,10,RETAIN,operational normal-reference screen; calibration not established,False,False,none
SVD (32 factors),contiguous,2,0,12088,279,0,0.04669961500024733,0.0046349535020303086,10.075530418976349,3.5438661395123164e-24,computed,0.05535211582580396,0.051094797676464902,0.048413568706814333,0.048061381460710519,0.046973439213266965,3.5438661395123164e-24,10.075530418976349,True,False,no_exact_sample_redundancy_detected,False,False,3.5438661395123164e-24,True,NOMINAL_POSITIVE,True,2.0759742837889211e-23,True,2.0759742837889211e-23,10,RETAIN,operational normal-reference screen; calibration not established,False,False,none
SVD (40 factors),contiguous,2,0,12088,279,0,0.049141735162553442,0.0046278559178981405,10.618683043371934,1.2198939851568829e-26,computed,0.057694515972066901,0.053463913774350627,0.050724630165240696,0.05047868955513525,0.049507087682888182,1.2198939851568829e-26,10.618683043371934,True,False,no_exact_sample_redundancy_detected,False,False,1.2198939851568829e-26,True,NOMINAL_POSITIVE,True,8.9325768893283256e-26,True,8.9325768893283256e-26,10,RETAIN,operational normal-reference screen; calibration not established,False,False,none
SVD interaction,contiguous,2,0,12088,279,0,0.23013257810076954,0.016924449717104662,13.597640215633511,2.0678143699057074e-42,computed,0.22844708405118161,0.22840899792367617,0.22876357935063651,0.22997693881144396,0.23103429935730649,2.0678143699057074e-42,13.597640215633511,True,False,no_exact_sample_redundancy_detected,False,False,2.0678143699057074e-42,True,NOMINAL_POSITIVE,True,6.0565626445531843e-41,True,6.0565626445531843e-41,10,RETAIN,operational normal-reference screen; calibration not established,False,False,none
Slope One,contiguous,2,0,12088,279,0,0.029485022165769727,0.004108473677993405,7.1766365021888934,3.5723657269859738e-13,computed,0.038348328066057237,0.034130649643118495,0.031064427426091178,0.030873687718922078,0.029839206210336606,3.5723657269859738e-13,7.1766365021888934,True,False,no_exact_sample_redundancy_detected,False,False,3.5723657269859738e-13,True,NOMINAL_POSITIVE,True,1.7438909676510234e-12,True,1.7438909676510234e-12,10,RETAIN,operational normal-reference screen; calibration not established,False,False,none
User and item bias,contiguous,2,0,12088,279,0,0.00088247640771474335,0.00033787785131759117,2.6118208230383591,0.0045030720832757781,computed,0.0095943606022818595,0.0054814690550437362,0.0026058441408775006,0.002200524980558147,0.0011419315567498596,0.0045030720832757781,2.6118208230383591,True,True,same_observed_baseline_weak_order,False,True,1,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,True,0.016486693971556804,False,1,10,ABSTAIN,operational normal-reference screen; calibration not established,False,False,same_observed_baseline_weak_order
User mean,contiguous,2,0,12088,279,0,0,0,,1,undefined_rank_or_scale,0,0,0,0,0,1,,False,True,zero_within_cluster_forecast_rank_variation,True,True,1,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,False,1,False,1,10,ABSTAIN,operational normal-reference screen; calibration not established,False,False,zero_within_cluster_forecast_rank_variation
