design,signal,fit,training_rows,validation_pairs,groups,peers,total_observations,replications,target,learning_lcb_gain,sampling_lcb_gain,total_lcb_gain,lcb_additivity_max_error,interaction,interaction_plus,interaction_minus,interaction_ci_lower,interaction_ci_upper,learning_average_delta,learning_average_ci_lower,learning_average_ci_upper,sampling_average_delta,sampling_average_ci_lower,sampling_average_ci_upper,average_ci_method,interaction_ci_method
eight_rare,-0.125,estimated,8192,512,25,64,10816,1000,-0.0068275510204081,0.007595672957136609,0.021707917087958439,0.029303590045095043,2.3245294578089215e-16,0,0,0,-0.0043724395646712729,0.0043724395646712729,0,0,0.042946940834673757,0,-0.085893881669347513,0.085893881669347513,pointwise bounded Hoeffding on paired per-replication factor averages; widths1 and2,paired ternary contrast; Bonferroni of two97.5%CP marginal intervals; pointwise
eight_rare,-0.125,estimated,8192,512,100,64,15616,1000,-0.0068275510204081,0.007595672957136609,0.01376435204842009,0.021360025005556692,2.2724877535296173e-16,0,0,0,-0.0043724395646712729,0.0043724395646712729,0,0,0.042946940834673757,0,-0.085893881669347513,0.085893881669347513,pointwise bounded Hoeffding on paired per-replication factor averages; widths1 and2,paired ternary contrast; Bonferroni of two97.5%CP marginal intervals; pointwise
eight_rare,-0.125,estimated,8192,512,400,64,34816,1000,-0.0068275510204081,0.007595672957136609,0.007608040010190417,0.015203712967327025,2.2638141361497333e-16,0,0,0,-0.0043724395646712729,0.0043724395646712729,0,0,0.042946940834673757,0,-0.085893881669347513,0.085893881669347513,pointwise bounded Hoeffding on paired per-replication factor averages; widths1 and2,paired ternary contrast; Bonferroni of two97.5%CP marginal intervals; pointwise
eight_rare,-0.125,estimated,8192,512,1600,64,111616,1000,-0.0068275510204081,0.007595672957136609,0.0039854382265128866,0.01158111118364949,2.1423834928313568e-16,0,0,0,-0.0043724395646712729,0.0043724395646712729,0,0,0.042946940834673757,0,-0.085893881669347513,0.085893881669347513,pointwise bounded Hoeffding on paired per-replication factor averages; widths1 and2,paired ternary contrast; Bonferroni of two97.5%CP marginal intervals; pointwise
eight_rare,-0.125,estimated,8192,8192,25,64,26176,1000,-0.0068275510204081,0.00062735229777197566,0.021707917087958439,0.022335269385730414,2.0469737016526324e-16,0,0,0,-0.0043724395646712729,0.0043724395646712729,0,0,0.042946940834673757,0,-0.085893881669347513,0.085893881669347513,pointwise bounded Hoeffding on paired per-replication factor averages; widths1 and2,paired ternary contrast; Bonferroni of two97.5%CP marginal intervals; pointwise
eight_rare,-0.125,estimated,8192,8192,100,64,30976,1000,-0.0068275510204081,0.00062735229777197566,0.01376435204842009,0.014391704346192068,2.0643209364124004e-16,0,0,0,-0.0043724395646712729,0.0043724395646712729,0,0,0.042946940834673757,0,-0.085893881669347513,0.085893881669347513,pointwise bounded Hoeffding on paired per-replication factor averages; widths1 and2,paired ternary contrast; Bonferroni of two97.5%CP marginal intervals; pointwise
eight_rare,-0.125,estimated,8192,8192,400,64,50176,1000,-0.0068275510204081,0.00062735229777197566,0.007608040010190417,0.0082353923079623928,2.0209528495129803e-16,0,0,0,-0.0043724395646712729,0.0043724395646712729,0,0,0.042946940834673757,0,-0.085893881669347513,0.085893881669347513,pointwise bounded Hoeffding on paired per-replication factor averages; widths1 and2,paired ternary contrast; Bonferroni of two97.5%CP marginal intervals; pointwise
eight_rare,-0.125,estimated,8192,8192,1600,64,126976,1000,-0.0068275510204081,0.00062735229777197566,0.0039854382265128866,0.0046127905242848606,2.0383000842727483e-16,0,0,0,-0.0043724395646712729,0.0043724395646712729,0,0,0.042946940834673757,0,-0.085893881669347513,0.085893881669347513,pointwise bounded Hoeffding on paired per-replication factor averages; widths1 and2,paired ternary contrast; Bonferroni of two97.5%CP marginal intervals; pointwise
eight_rare,0,estimated,8192,512,25,64,10816,1000,0,0.0062144270394960321,0.021559031060849342,0.027773458100345372,2.2898349882893854e-16,0,0,0,-0.0043724395646712729,0.0043724395646712729,0,0,0.042946940834673757,0,-0.085893881669347513,0.085893881669347513,pointwise bounded Hoeffding on paired per-replication factor averages; widths1 and2,paired ternary contrast; Bonferroni of two97.5%CP marginal intervals; pointwise
eight_rare,0,estimated,8192,512,100,64,15616,1000,0,0.0062144270394960321,0.013681438833230239,0.019895865872726261,2.1684043449710089e-16,0,0,0,-0.0043724395646712729,0.0043724395646712729,0,0,0.042946940834673757,0,-0.085893881669347513,0.085893881669347513,pointwise bounded Hoeffding on paired per-replication factor averages; widths1 and2,paired ternary contrast; Bonferroni of two97.5%CP marginal intervals; pointwise
eight_rare,0,estimated,8192,512,400,64,34816,1000,0,0.0062144270394960321,0.0075665496943116079,0.013780976733807635,2.1163626406917047e-16,0,0,0,-0.0043724395646712729,0.0043724395646712729,0,0,0.042946940834673757,0,-0.085893881669347513,0.085893881669347513,pointwise bounded Hoeffding on paired per-replication factor averages; widths1 and2,paired ternary contrast; Bonferroni of two97.5%CP marginal intervals; pointwise
eight_rare,0,estimated,8192,512,1600,64,111616,1000,0,0.0062144270394960321,0.0039647674938499827,0.010179194533346014,2.2681509448396753e-16,0,0,0,-0.0043724395646712729,0.0043724395646712729,0,0,0.042946940834673757,0,-0.085893881669347513,0.085893881669347513,pointwise bounded Hoeffding on paired per-replication factor averages; widths1 and2,paired ternary contrast; Bonferroni of two97.5%CP marginal intervals; pointwise
eight_rare,0,estimated,8192,8192,25,64,26176,1000,0,0.00052077665323649433,0.021559031060849342,0.022079807714085839,2.0816681711721685e-16,0,0,0,-0.0043724395646712729,0.0043724395646712729,0,0,0.042946940834673757,0,-0.085893881669347513,0.085893881669347513,pointwise bounded Hoeffding on paired per-replication factor averages; widths1 and2,paired ternary contrast; Bonferroni of two97.5%CP marginal intervals; pointwise
eight_rare,0,estimated,8192,8192,100,64,30976,1000,0,0.00052077665323649433,0.013681438833230239,0.01420221548646673,2.0122792321330962e-16,0,0,0,-0.0043724395646712729,0.0043724395646712729,0,0,0.042946940834673757,0,-0.085893881669347513,0.085893881669347513,pointwise bounded Hoeffding on paired per-replication factor averages; widths1 and2,paired ternary contrast; Bonferroni of two97.5%CP marginal intervals; pointwise
eight_rare,0,estimated,8192,8192,400,64,50176,1000,0,0.00052077665323649433,0.0075665496943116079,0.008087326347548102,2.0209528495129803e-16,0,0,0,-0.0043724395646712729,0.0043724395646712729,0,0,0.042946940834673757,0,-0.085893881669347513,0.085893881669347513,pointwise bounded Hoeffding on paired per-replication factor averages; widths1 and2,paired ternary contrast; Bonferroni of two97.5%CP marginal intervals; pointwise
eight_rare,0,estimated,8192,8192,1600,64,126976,1000,0,0.00052077665323649433,0.0039647674938499827,0.0044855441470864768,2.0296264668928643e-16,0,0,0,-0.0043724395646712729,0.0043724395646712729,0,0,0.042946940834673757,0,-0.085893881669347513,0.085893881669347513,pointwise bounded Hoeffding on paired per-replication factor averages; widths1 and2,paired ternary contrast; Bonferroni of two97.5%CP marginal intervals; pointwise
eight_rare,0.125,estimated,8192,512,25,64,10816,1000,0.0068275510204081,0.0052672886174434308,0.021498316824732605,0.02676560544217603,2.1857515797307769e-16,0,0,0,-0.0043724395646712729,0.0043724395646712729,0,0,0.042946940834673757,0,-0.085893881669347513,0.085893881669347513,pointwise bounded Hoeffding on paired per-replication factor averages; widths1 and2,paired ternary contrast; Bonferroni of two97.5%CP marginal intervals; pointwise
eight_rare,0.125,estimated,8192,512,100,64,15616,1000,0.0068275510204081,0.0052672886174434308,0.013658189576247048,0.018925478193690479,2.1163626406917047e-16,0,0,0,-0.0043724395646712729,0.0043724395646712729,0,0,0.042946940834673757,0,-0.085893881669347513,0.085893881669347513,pointwise bounded Hoeffding on paired per-replication factor averages; widths1 and2,paired ternary contrast; Bonferroni of two97.5%CP marginal intervals; pointwise
eight_rare,0.125,estimated,8192,512,400,64,34816,1000,0.0068275510204081,0.0052672886174434308,0.0075555194795608911,0.012822808097004319,2.1857515797307769e-16,0,0,0,-0.0043724395646712729,0.0043724395646712729,0,0,0.042946940834673757,0,-0.085893881669347513,0.085893881669347513,pointwise bounded Hoeffding on paired per-replication factor averages; widths1 and2,paired ternary contrast; Bonferroni of two97.5%CP marginal intervals; pointwise
eight_rare,0.125,estimated,8192,512,1600,64,111616,1000,0.0068275510204081,0.0052672886174434308,0.0039595941883108889,0.0092268828057543179,2.1553939189011828e-16,0,0,0,-0.0043724395646712729,0.0043724395646712729,0,0,0.042946940834673757,0,-0.085893881669347513,0.085893881669347513,pointwise bounded Hoeffding on paired per-replication factor averages; widths1 and2,paired ternary contrast; Bonferroni of two97.5%CP marginal intervals; pointwise
eight_rare,0.125,estimated,8192,8192,25,64,26176,1000,0.0068275510204081,0.000432598502056568,0.021498316824732605,0.021930915326789171,2.0469737016526324e-16,0,0,0,-0.0043724395646712729,0.0043724395646712729,0,0,0.042946940834673757,0,-0.085893881669347513,0.085893881669347513,pointwise bounded Hoeffding on paired per-replication factor averages; widths1 and2,paired ternary contrast; Bonferroni of two97.5%CP marginal intervals; pointwise
eight_rare,0.125,estimated,8192,8192,100,64,30976,1000,0.0068275510204081,0.000432598502056568,0.013658189576247048,0.014090788078303617,2.0469737016526324e-16,0,0,0,-0.0043724395646712729,0.0043724395646712729,0,0,0.042946940834673757,0,-0.085893881669347513,0.085893881669347513,pointwise bounded Hoeffding on paired per-replication factor averages; widths1 and2,paired ternary contrast; Bonferroni of two97.5%CP marginal intervals; pointwise
