design,signal,fit,training_rows,validation_pairs,groups,peers,total_observations,method,replications,rejections,power,power_ci_lower,power_ci_upper,target,mean,bias,bias_allowance,absolute_allowance,signed_allowance,radius,lower,coverage_failures,allowance_failures,display_order
two_balanced,0.25,opposed_shifts,8192,8192,100,64,30976,absolute_range,1000,0,0,0,0.0036820838968656712,0.01,-0.012499413729037619,-0.022495441290143973,0.035430231071751049,0.035430231071751049,-0.012441890294791931,0.021460695259901956,-0.069390340060690739,0,0,0
two_balanced,0.25,opposed_shifts,8192,8192,100,64,30976,absolute_variance,1000,0,0,0,0.0036820838968656712,0.01,-0.012499413729037619,-0.022495441290143973,0.035430231071751049,0.035430231071751049,-0.012441890294791931,0.0053944831129784498,-0.05332412791376713,0,0,0
two_balanced,0.25,opposed_shifts,8192,8192,100,64,30976,signed_range,1000,0,0,0,0.0036820838968656712,0.01,-0.012499413729037619,-0.022495441290143973,-0.012441890294791931,0.035430231071751049,-0.012441890294791931,0.021460695259901956,-0.021518218694147637,0,0,0
two_balanced,0.25,opposed_shifts,8192,8192,100,64,30976,signed_variance,1000,0,0,0,0.0036820838968656712,0.01,-0.012499413729037619,-0.022495441290143973,-0.012441890294791931,0.035430231071751049,-0.012441890294791931,0.0053944831129784498,-0.005452006547224139,0,0,0
two_balanced,0.25,opposed_shifts,8192,8192,400,64,50176,absolute_range,1000,0,0,0,0.0036820838968656712,0.01,-0.012496703882051947,-0.022495441290143973,0.035430231071751049,0.035430231071751049,-0.012441890294791931,0.010730347629950954,-0.05865728258375405,0,0,1
two_balanced,0.25,opposed_shifts,8192,8192,400,64,50176,absolute_variance,1000,0,0,0,0.0036820838968656712,0.01,-0.012496703882051947,-0.022495441290143973,0.035430231071751049,0.035430231071751049,-0.012441890294791931,0.0018729693060376403,-0.049799904259840676,0,0,1
two_balanced,0.25,opposed_shifts,8192,8192,400,64,50176,signed_range,1000,0,0,0,0.0036820838968656712,0.01,-0.012496703882051947,-0.022495441290143973,-0.012441890294791931,0.035430231071751049,-0.012441890294791931,0.010730347629950954,-0.010785161217210966,0,0,1
two_balanced,0.25,opposed_shifts,8192,8192,400,64,50176,signed_variance,1000,0,0,0,0.0036820838968656712,0.01,-0.012496703882051947,-0.022495441290143973,-0.012441890294791931,0.035430231071751049,-0.012441890294791931,0.0018729693060376403,-0.0019277828932976568,0,0,1
two_balanced,0.5,opposed_shifts,8192,8192,100,64,30976,absolute_range,1000,0,0,0,0.0036820838968656712,0.02,-0.0024926988509060589,-0.02249464392368819,0.035429958729617225,0.035429958729617225,-0.012446155950974725,0.02145326298978199,-0.059375920570305371,0,0,2
two_balanced,0.5,opposed_shifts,8192,8192,100,64,30976,absolute_variance,1000,0,0,0,0.0036820838968656712,0.02,-0.0024926988509060589,-0.02249464392368819,0.035429958729617225,0.035429958729617225,-0.012446155950974725,0.0055890526253439439,-0.043511710205867235,0,0,2
two_balanced,0.5,opposed_shifts,8192,8192,100,64,30976,signed_range,1000,0,0,0,0.0036820838968656712,0.02,-0.0024926988509060589,-0.02249464392368819,-0.012446155950974725,0.035429958729617225,-0.012446155950974725,0.02145326298978199,-0.011499805889713326,0,0,2
two_balanced,0.5,opposed_shifts,8192,8192,100,64,30976,signed_variance,1000,1000,1,0.99631791610313436,1,0.02,-0.0024926988509060589,-0.02249464392368819,-0.012446155950974725,0.035429958729617225,-0.012446155950974725,0.0055890526253439439,0.0043644044747246213,0,0,2
two_balanced,0.5,opposed_shifts,8192,8192,400,64,50176,absolute_range,1000,0,0,0,0.0036820838968656712,0.02,-0.0024836349731161139,-0.02249464392368819,0.035429958729617225,0.035429958729617225,-0.012446155950974725,0.010726631494890969,-0.048640225197624405,0,0,3
two_balanced,0.5,opposed_shifts,8192,8192,400,64,50176,absolute_variance,1000,0,0,0,0.0036820838968656712,0.02,-0.0024836349731161139,-0.02249464392368819,0.035429958729617225,0.035429958729617225,-0.012446155950974725,0.0019719301367412574,-0.039885523839474614,0,0,3
two_balanced,0.5,opposed_shifts,8192,8192,400,64,50176,signed_range,1000,70,0.070000000000000007,0.054971524919169942,0.087616233489284642,0.02,-0.0024836349731161139,-0.02249464392368819,-0.012446155950974725,0.035429958729617225,-0.012446155950974725,0.010726631494890969,-0.00076411051703236281,0,0,3
two_balanced,0.5,opposed_shifts,8192,8192,400,64,50176,signed_variance,1000,1000,1,0.99631791610313436,1,0.02,-0.0024836349731161139,-0.02249464392368819,-0.012446155950974725,0.035429958729617225,-0.012446155950974725,0.0019719301367412574,0.0079905908411172545,0,0,3
