design,signal,fit,training_rows,validation_pairs,groups,peers,total_observations,method,replications,rejections,power,power_ci_lower,power_ci_upper,target,mean,bias,bias_allowance,absolute_allowance,signed_allowance,radius,lower,coverage_failures,allowance_failures
eight_rare,-0.125,estimated,8192,512,100,64,15616,absolute_range,300,0,0,0,0.012220974694293552,-0.0068275510204081,-0.006821171654584385,-4.6143791324800529e-06,0.13235275817848219,0.13235275817848219,0.12498668181260814,0.018940792844257065,-0.15811472267732374,0,0
eight_rare,-0.125,estimated,8192,512,100,64,15616,absolute_variance,300,0,0,0,0.012220974694293552,-0.0068275510204081,-0.006821171654584385,-4.6143791324800529e-06,0.13235275817848219,0.13235275817848219,0.12498668181260814,0.0051721026133944737,-0.14434603244646102,0,0
eight_rare,-0.125,estimated,8192,512,100,64,15616,signed_range,300,0,0,0,0.012220974694293552,-0.0068275510204081,-0.006821171654584385,-4.6143791324800529e-06,0.12498668181260814,0.13235275817848219,0.12498668181260814,0.018940792844257065,-0.15074864631144969,0,0
eight_rare,-0.125,estimated,8192,512,100,64,15616,signed_variance,300,0,0,0,0.012220974694293552,-0.0068275510204081,-0.006821171654584385,-4.6143791324800529e-06,0.12498668181260814,0.13235275817848219,0.12498668181260814,0.0051721026133944737,-0.13697995608058708,0,0
eight_rare,-0.125,estimated,8192,512,400,64,34816,absolute_range,300,0,0,0,0.012220974694293552,-0.0068275510204081,-0.0068265206291151133,-4.6143791324800529e-06,0.13235275817848219,0.13235275817848219,0.12498668181260814,0.0094703964221285082,-0.14864967522972591,0,0
eight_rare,-0.125,estimated,8192,512,400,64,34816,absolute_variance,300,0,0,0,0.012220974694293552,-0.0068275510204081,-0.0068265206291151133,-4.6143791324800529e-06,0.13235275817848219,0.13235275817848219,0.12498668181260814,0.0018594890114743156,-0.14103876781907165,0,0
eight_rare,-0.125,estimated,8192,512,400,64,34816,signed_range,300,0,0,0,0.012220974694293552,-0.0068275510204081,-0.0068265206291151133,-4.6143791324800529e-06,0.12498668181260814,0.13235275817848219,0.12498668181260814,0.0094703964221285082,-0.14128359886385183,0,0
eight_rare,-0.125,estimated,8192,512,400,64,34816,signed_variance,300,0,0,0,0.012220974694293552,-0.0068275510204081,-0.0068265206291151133,-4.6143791324800529e-06,0.12498668181260814,0.13235275817848219,0.12498668181260814,0.0018594890114743156,-0.13367269145319766,0,0
eight_rare,-0.125,estimated,8192,8192,100,64,30976,absolute_range,300,0,0,0,0.012220974694293552,-0.0068275510204081,-0.006821171654584385,-4.6143791324800529e-06,0.0089195854079264451,0.0089195854079264451,0.0082898626714643375,0.018940792844257065,-0.034681549906768,0,0
eight_rare,-0.125,estimated,8192,8192,100,64,30976,absolute_variance,300,0,0,0,0.012220974694293552,-0.0068275510204081,-0.006821171654584385,-4.6143791324800529e-06,0.0089195854079264451,0.0089195854079264451,0.0082898626714643375,0.0051721026133944737,-0.02091285967590531,0,0
