design,signal,fit,training_rows,validation_pairs,groups,peers,total_observations,contrast,before,after,replications,before_rejections,after_rejections,after_only,before_only,both,neither,delta,ci_lower,ci_upper,confidence,ci_method
eight_rare,0.25,estimated,8192,8192,100,64,30976,independent_betting_minus_signed_variance,signed_variance,independent_betting,300,130,296,166,0,130,4,0.55333333333333334,0.47249840436217361,0.61832115787692554,0.94999999999999996,paired discordant multinomial; Bonferroni of two 97.5% exact CP marginals; pointwise
eight_rare,0.25,estimated,8192,8192,100,64,30976,independent_betting_minus_absolute_variance,absolute_variance,independent_betting,300,73,296,223,0,73,4,0.74333333333333329,0.6678141245154674,0.79818130850179281,0.94999999999999996,paired discordant multinomial; Bonferroni of two 97.5% exact CP marginals; pointwise
eight_rare,0.25,estimated,8192,8192,100,64,30976,independent_bernstein_minus_signed_variance,signed_variance,independent_bernstein,300,130,129,25,26,104,145,-0.0033333333333333335,-0.078803291680579063,0.072232918670055005,0.94999999999999996,paired discordant multinomial; Bonferroni of two 97.5% exact CP marginals; pointwise
eight_rare,0.25,estimated,8192,8192,100,64,30976,pooled_variance_minus_signed_variance,signed_variance,pooled_variance,300,130,138,10,2,128,160,0.026666666666666668,-0.012425105392166689,0.064141986116405841,0.94999999999999996,paired discordant multinomial; Bonferroni of two 97.5% exact CP marginals; pointwise
eight_rare,0.25,estimated,8192,8192,400,64,50176,independent_betting_minus_signed_variance,signed_variance,independent_betting,300,300,300,0,0,300,0,0,-0.014500594315008102,0.014500594315008102,0.94999999999999996,paired discordant multinomial; Bonferroni of two 97.5% exact CP marginals; pointwise
eight_rare,0.25,estimated,8192,8192,400,64,50176,independent_betting_minus_absolute_variance,absolute_variance,independent_betting,300,300,300,0,0,300,0,0,-0.014500594315008102,0.014500594315008102,0.94999999999999996,paired discordant multinomial; Bonferroni of two 97.5% exact CP marginals; pointwise
eight_rare,0.25,estimated,8192,8192,400,64,50176,independent_bernstein_minus_signed_variance,signed_variance,independent_bernstein,300,300,300,0,0,300,0,0,-0.014500594315008102,0.014500594315008102,0.94999999999999996,paired discordant multinomial; Bonferroni of two 97.5% exact CP marginals; pointwise
eight_rare,0.25,estimated,8192,8192,400,64,50176,pooled_variance_minus_signed_variance,signed_variance,pooled_variance,300,300,300,0,0,300,0,0,-0.014500594315008102,0.014500594315008102,0.94999999999999996,paired discordant multinomial; Bonferroni of two 97.5% exact CP marginals; pointwise
two_balanced,-0.125,estimated,8192,512,100,64,15616,independent_betting_minus_signed_variance,signed_variance,independent_betting,300,0,0,0,0,0,300,0,-0.014500594315008102,0.014500594315008102,0.94999999999999996,paired discordant multinomial; Bonferroni of two 97.5% exact CP marginals; pointwise
two_balanced,-0.125,estimated,8192,512,100,64,15616,independent_betting_minus_absolute_variance,absolute_variance,independent_betting,300,0,0,0,0,0,300,0,-0.014500594315008102,0.014500594315008102,0.94999999999999996,paired discordant multinomial; Bonferroni of two 97.5% exact CP marginals; pointwise
two_balanced,-0.125,estimated,8192,512,100,64,15616,independent_bernstein_minus_signed_variance,signed_variance,independent_bernstein,300,0,0,0,0,0,300,0,-0.014500594315008102,0.014500594315008102,0.94999999999999996,paired discordant multinomial; Bonferroni of two 97.5% exact CP marginals; pointwise
two_balanced,-0.125,estimated,8192,512,100,64,15616,pooled_variance_minus_signed_variance,signed_variance,pooled_variance,300,0,0,0,0,0,300,0,-0.014500594315008102,0.014500594315008102,0.94999999999999996,paired discordant multinomial; Bonferroni of two 97.5% exact CP marginals; pointwise
two_balanced,-0.125,estimated,8192,512,400,64,34816,independent_betting_minus_signed_variance,signed_variance,independent_betting,300,0,0,0,0,0,300,0,-0.014500594315008102,0.014500594315008102,0.94999999999999996,paired discordant multinomial; Bonferroni of two 97.5% exact CP marginals; pointwise
two_balanced,-0.125,estimated,8192,512,400,64,34816,independent_betting_minus_absolute_variance,absolute_variance,independent_betting,300,0,0,0,0,0,300,0,-0.014500594315008102,0.014500594315008102,0.94999999999999996,paired discordant multinomial; Bonferroni of two 97.5% exact CP marginals; pointwise
two_balanced,-0.125,estimated,8192,512,400,64,34816,independent_bernstein_minus_signed_variance,signed_variance,independent_bernstein,300,0,0,0,0,0,300,0,-0.014500594315008102,0.014500594315008102,0.94999999999999996,paired discordant multinomial; Bonferroni of two 97.5% exact CP marginals; pointwise
two_balanced,-0.125,estimated,8192,512,400,64,34816,pooled_variance_minus_signed_variance,signed_variance,pooled_variance,300,0,0,0,0,0,300,0,-0.014500594315008102,0.014500594315008102,0.94999999999999996,paired discordant multinomial; Bonferroni of two 97.5% exact CP marginals; pointwise
two_balanced,-0.125,estimated,8192,8192,100,64,30976,independent_betting_minus_signed_variance,signed_variance,independent_betting,300,0,0,0,0,0,300,0,-0.014500594315008102,0.014500594315008102,0.94999999999999996,paired discordant multinomial; Bonferroni of two 97.5% exact CP marginals; pointwise
two_balanced,-0.125,estimated,8192,8192,100,64,30976,independent_betting_minus_absolute_variance,absolute_variance,independent_betting,300,0,0,0,0,0,300,0,-0.014500594315008102,0.014500594315008102,0.94999999999999996,paired discordant multinomial; Bonferroni of two 97.5% exact CP marginals; pointwise
two_balanced,-0.125,estimated,8192,8192,100,64,30976,independent_bernstein_minus_signed_variance,signed_variance,independent_bernstein,300,0,0,0,0,0,300,0,-0.014500594315008102,0.014500594315008102,0.94999999999999996,paired discordant multinomial; Bonferroni of two 97.5% exact CP marginals; pointwise
two_balanced,-0.125,estimated,8192,8192,100,64,30976,pooled_variance_minus_signed_variance,signed_variance,pooled_variance,300,0,0,0,0,0,300,0,-0.014500594315008102,0.014500594315008102,0.94999999999999996,paired discordant multinomial; Bonferroni of two 97.5% exact CP marginals; pointwise
two_balanced,-0.125,estimated,8192,8192,400,64,50176,independent_betting_minus_signed_variance,signed_variance,independent_betting,300,0,0,0,0,0,300,0,-0.014500594315008102,0.014500594315008102,0.94999999999999996,paired discordant multinomial; Bonferroni of two 97.5% exact CP marginals; pointwise
two_balanced,-0.125,estimated,8192,8192,400,64,50176,independent_betting_minus_absolute_variance,absolute_variance,independent_betting,300,0,0,0,0,0,300,0,-0.014500594315008102,0.014500594315008102,0.94999999999999996,paired discordant multinomial; Bonferroni of two 97.5% exact CP marginals; pointwise
two_balanced,-0.125,estimated,8192,8192,400,64,50176,independent_bernstein_minus_signed_variance,signed_variance,independent_bernstein,300,0,0,0,0,0,300,0,-0.014500594315008102,0.014500594315008102,0.94999999999999996,paired discordant multinomial; Bonferroni of two 97.5% exact CP marginals; pointwise
two_balanced,-0.125,estimated,8192,8192,400,64,50176,pooled_variance_minus_signed_variance,signed_variance,pooled_variance,300,0,0,0,0,0,300,0,-0.014500594315008102,0.014500594315008102,0.94999999999999996,paired discordant multinomial; Bonferroni of two 97.5% exact CP marginals; pointwise
two_balanced,0,estimated,8192,512,100,64,15616,independent_betting_minus_signed_variance,signed_variance,independent_betting,300,0,0,0,0,0,300,0,-0.014500594315008102,0.014500594315008102,0.94999999999999996,paired discordant multinomial; Bonferroni of two 97.5% exact CP marginals; pointwise
two_balanced,0,estimated,8192,512,100,64,15616,independent_betting_minus_absolute_variance,absolute_variance,independent_betting,300,0,0,0,0,0,300,0,-0.014500594315008102,0.014500594315008102,0.94999999999999996,paired discordant multinomial; Bonferroni of two 97.5% exact CP marginals; pointwise
two_balanced,0,estimated,8192,512,100,64,15616,independent_bernstein_minus_signed_variance,signed_variance,independent_bernstein,300,0,0,0,0,0,300,0,-0.014500594315008102,0.014500594315008102,0.94999999999999996,paired discordant multinomial; Bonferroni of two 97.5% exact CP marginals; pointwise
two_balanced,0,estimated,8192,512,100,64,15616,pooled_variance_minus_signed_variance,signed_variance,pooled_variance,300,0,0,0,0,0,300,0,-0.014500594315008102,0.014500594315008102,0.94999999999999996,paired discordant multinomial; Bonferroni of two 97.5% exact CP marginals; pointwise
two_balanced,0,estimated,8192,512,400,64,34816,independent_betting_minus_signed_variance,signed_variance,independent_betting,300,0,0,0,0,0,300,0,-0.014500594315008102,0.014500594315008102,0.94999999999999996,paired discordant multinomial; Bonferroni of two 97.5% exact CP marginals; pointwise
two_balanced,0,estimated,8192,512,400,64,34816,independent_betting_minus_absolute_variance,absolute_variance,independent_betting,300,0,0,0,0,0,300,0,-0.014500594315008102,0.014500594315008102,0.94999999999999996,paired discordant multinomial; Bonferroni of two 97.5% exact CP marginals; pointwise
