domain,model,configuration,evaluation_rows,family_size,beta,lag,frequency,calendar_direction,mean_product,standard_error,statistic,raw_statistic,standard_error_abstain,calendar_gaps,observed_groups,original_policy_abstain,original_guard_reason,forecast_pooled_fallback_rows,outcome_pooled_fallback_rows,forecast_unseen_entity_rows,outcome_unseen_entity_rows,cohort_sha256,guard_reason,normal_p_one_sided,guarded_p,BY_adjusted_p,final_label,display_name,full_evaluation_rows,support_fraction,forecast_pooled_fallback_fraction,outcome_pooled_fallback_fraction,forecast_unseen_entity_fraction,outcome_unseen_entity_fraction
electricity,naive_1,complementary_middle,21024,11,2,14,D,True,0.02084333225889972,0.0029893254887660365,6.9725870726454877,6.9725870726454877,False,0,438,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,1.5558247330350596e-12,1.5558247330350596e-12,1.3485960185243026e-11,RETAIN,One-day persistence,34992,0.6008230452674898,0.0,0.0,0.0,0.0
electricity,naive_1,directional_middle,21024,11,2,14,D,True,0.01975021574513294,0.0029940234750669144,6.5965467236997988,6.5965467236997988,False,0,438,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,2.1042245723061055e-11,2.1042245723061055e-11,1.2167755375141349e-10,RETAIN,One-day persistence,34992,0.6008230452674898,0.0,0.0,0.0,0.0
electricity,ridge_lag,complementary_middle,21024,11,2,14,D,True,0.017215283900690125,0.0026500660424355958,6.4961716519593136,6.4961716519593136,False,0,438,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,4.1194824460790416e-11,4.1194824460790416e-11,2.2807274804479008e-10,RETAIN,Ridge lag regression,34992,0.6008230452674898,0.0,0.0,0.0,0.0
electricity,ridge_lag,directional_middle,21024,11,2,14,D,True,0.017959357129477466,0.0027849559960789277,6.4487040925469925,6.4487040925469925,False,0,438,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,5.6405286812196134e-11,5.6405286812196134e-11,2.6767250364715139e-10,RETAIN,Ridge lag regression,34992,0.6008230452674898,0.0,0.0,0.0,0.0
electricity,seasonal_naive_7,complementary_middle,21024,11,2,14,D,True,-0.00020799387755528648,7.7907440570386459e-05,-2.6697562650305753,-2.6697562650305753,False,0,438,True,exact_observed_baseline_copy,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,exact_observed_baseline_copy,0.99620468375171978,1,1,ABSTAIN,Seven-day persistence,34992,0.6008230452674898,0.0,0.0,0.0,0.0
electricity,seasonal_naive_7,directional_middle,21024,11,2,14,D,True,0.0043233207098276449,0.0013542599013591343,3.1923862660991169,3.1923862660991169,False,0,438,True,exact_observed_baseline_copy,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,exact_observed_baseline_copy,0.00070551250420761472,1,1,ABSTAIN,Seven-day persistence,34992,0.6008230452674898,0.0,0.0,0.0,0.0
electricity,ses,complementary_middle,21024,11,2,14,D,True,0.010565948567184666,0.0016785562892383957,6.2946644297396244,6.2946644297396244,False,0,438,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,1.5403278340435705e-10,1.5403278340435705e-10,7.3096589181191225e-10,RETAIN,Exponential smoothing,34992,0.6008230452674898,0.0,0.0,0.0,0.0
electricity,ses,directional_middle,21024,11,2,14,D,True,0.0069736121889163285,0.00088400791118203317,7.888630973439712,7.888630973439712,False,0,438,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,1.5275973890117441e-15,1.5275973890117441e-15,2.5372362109436923e-14,RETAIN,Exponential smoothing,34992,0.6008230452674898,0.0,0.0,0.0,0.0
electricity,theta,complementary_middle,21024,11,2,14,D,True,0.019572924050606164,0.0027284932977766564,7.1735283596098194,7.1735283596098194,False,0,438,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,3.6544551647179072e-13,3.6544551647179072e-13,1.2139606995781775e-11,RETAIN,Theta,34992,0.6008230452674898,0.0,0.0,0.0,0.0
electricity,theta,directional_middle,21024,11,2,14,D,True,0.019215014903659372,0.0028165458847686821,6.8221913257548321,6.8221913257548321,False,0,438,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,4.4831069789520159e-12,4.4831069789520159e-12,3.7230691301096446e-11,RETAIN,Theta,34992,0.6008230452674898,0.0,0.0,0.0,0.0
portfolios,Elastic net,complementary_middle,16377,10,2,12,M,True,0.024813659235188721,0.023588600332600997,1.0519343617389036,1.0519343617389036,False,0,79,False,none,0,0,0,0,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,no_guard,0.1464148327152392,0.1464148327152392,1,NOT_RETAINED,Elastic net,27272,0.6005060134936931,0.0,0.0,0.0,0.0
portfolios,Elastic net,directional_middle,16377,10,2,12,M,True,0.022154865574349453,0.024322402032702219,0.91088312513548431,0.91088312513548431,False,0,79,False,none,0,0,0,11,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,no_guard,0.18117847893115874,0.18117847893115874,1,NOT_RETAINED,Elastic net,27272,0.6005060134936931,0.0,0.0,0.0,0.0006716736887097759
portfolios,Exponential twelve-month mean,complementary_middle,16377,10,2,12,M,True,0.030191718462469326,0.017329668970322912,1.7421982216840204,1.7421982216840204,False,0,79,False,none,0,0,0,0,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,no_guard,0.040736882531743908,0.040736882531743908,1,NOT_RETAINED,12-month exponential mean,27272,0.6005060134936931,0.0,0.0,0.0,0.0
portfolios,Exponential twelve-month mean,directional_middle,16377,10,2,12,M,True,0.021038901305964731,0.018433326481505592,1.1413513088412635,1.1413513088412635,False,0,79,False,none,0,0,0,11,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,no_guard,0.12686187919382053,0.12686187919382053,1,NOT_RETAINED,12-month exponential mean,27272,0.6005060134936931,0.0,0.0,0.0,0.0006716736887097759
portfolios,Last month,complementary_middle,16377,10,2,12,M,True,0.028589681956844235,0.020317645858219654,1.4071355587329557,1.4071355587329557,False,0,79,False,none,0,0,0,0,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,no_guard,0.079693597868971233,0.079693597868971233,1,NOT_RETAINED,Last month,27272,0.6005060134936931,0.0,0.0,0.0,0.0
portfolios,Last month,directional_middle,16377,10,2,12,M,True,0.021020115793266077,0.024047643569384283,0.8741029337289149,0.8741029337289149,False,0,79,False,none,0,0,0,11,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,no_guard,0.19103109998973278,0.19103109998973278,1,NOT_RETAINED,Last month,27272,0.6005060134936931,0.0,0.0,0.0,0.0006716736887097759
portfolios,LightGBM,complementary_middle,16377,10,2,12,M,True,-0.0016536299730910236,0.01970504528285311,-0.08391911560487382,-0.08391911560487382,False,0,79,False,none,0,0,0,0,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,no_guard,0.53343962944249301,0.53343962944249301,1,NOT_RETAINED,LightGBM,27272,0.6005060134936931,0.0,0.0,0.0,0.0
portfolios,LightGBM,directional_middle,16377,10,2,12,M,True,-0.0050721591447735704,0.021087946146468313,-0.24052409416945644,-0.24052409416945644,False,0,79,False,none,0,0,0,11,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,no_guard,0.59503800652078664,0.59503800652078664,1,NOT_RETAINED,LightGBM,27272,0.6005060134936931,0.0,0.0,0.0,0.0006716736887097759
portfolios,Ridge,complementary_middle,16377,10,2,12,M,True,0.026442619985652675,0.022854082939467855,1.1570195161927761,1.1570195161927761,False,0,79,False,none,0,0,0,0,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,no_guard,0.12363219344872012,0.12363219344872012,1,NOT_RETAINED,Ridge,27272,0.6005060134936931,0.0,0.0,0.0,0.0
portfolios,Ridge,directional_middle,16377,10,2,12,M,True,0.023585814521635537,0.023375841170825667,1.0089824939036602,1.0089824939036602,False,0,79,False,none,0,0,0,11,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,no_guard,0.1564915149703206,0.1564915149703206,1,NOT_RETAINED,Ridge,27272,0.6005060134936931,0.0,0.0,0.0,0.0006716736887097759
portfolios,Seasonal twelve-month lag,complementary_middle,16377,10,2,12,M,True,-0.036036871289717796,0.027717113813013877,-1.3001668042650814,-1.3001668042650814,False,0,79,False,none,0,0,0,0,aa8dd6c200532a87b899ff8e4c5d043573af8142b3b0e96db13bd1ea65a0e4d2,no_guard,0.9032280973272695,0.9032280973272695,1,NOT_RETAINED,12-month seasonal lag,27272,0.6005060134936931,0.0,0.0,0.0,0.0
