design,signal,training_rows,validation_pairs,groups,peers,replications_max,rejections_max,rate_max,wilson_low_max,wilson_high_max,normal_rejections_max,budget_failures_max,coverage_failures_max,mean_bias_budget_max,mean_sampling_radius_max,mean_lower_bound_max,mean_p_max,target_max,total_observations_max,replications_weighted,rejections_weighted,rate_weighted,wilson_low_weighted,wilson_high_weighted,normal_rejections_weighted,budget_failures_weighted,coverage_failures_weighted,mean_bias_budget_weighted,mean_sampling_radius_weighted,mean_lower_bound_weighted,mean_p_weighted,target_weighted,total_observations_weighted
eight_balanced,0.0,32,512,100,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,458,0,0,0.2815877066714289,0.0262473313885672,-0.3070446538600863,1.0,0.0,7456,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,458,0,0,0.213430895582396,0.0262473313885672,-0.2388878427710533,1.0,0.0,7456
eight_balanced,0.0,32,512,400,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,491,0,0,0.2815877066714289,0.0131236656942836,-0.2939371673317069,1.0,0.0,26656,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,491,0,0,0.213430895582396,0.0131236656942836,-0.2257803562426739,1.0,0.0,26656
eight_balanced,0.0,32,8192,100,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,458,0,0,0.0811255288922964,0.0262473313885672,-0.1065824760809537,1.0,0.0,22816,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,458,0,0,0.0378485424310006,0.0262473313885672,-0.0633054896196579,1.0,0.0,22816
eight_balanced,0.0,32,8192,400,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,491,0,0,0.0811255288922964,0.0131236656942836,-0.0934749895525743,1.0,0.0,42016,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,491,0,0,0.0378485424310006,0.0131236656942836,-0.0501980030912785,1.0,0.0,42016
eight_balanced,0.0,512,512,100,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,83,0,0,0.1597230810109025,0.0190975067106547,-0.1787633129278553,1.0,0.0,7936,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,83,0,0,0.1417750651090223,0.0190975067106547,-0.160815297025975,1.0,0.0,7936
eight_balanced,0.0,512,512,400,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,142,0,0,0.1597230810109025,0.0095487533553273,-0.1692396820243739,1.0,0.0,27136,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,142,0,0,0.1417750651090223,0.0095487533553273,-0.1512916661224937,1.0,0.0,27136
eight_balanced,0.0,512,8192,100,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,83,0,0,0.0147798985425737,0.0190975067106547,-0.0338201304595264,1.0,0.0,23296,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,83,0,0,0.0112809629649315,0.0190975067106547,-0.0303211948818842,1.0,0.0,23296
eight_balanced,0.0,512,8192,400,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,142,0,0,0.0147798985425737,0.0095487533553273,-0.0242964995560451,1.0,0.0,42496,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,142,0,0,0.0112809629649315,0.0095487533553273,-0.0207975639784029,1.0,0.0,42496
eight_balanced,0.0,8192,512,100,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,60,0,0,0.1526334554762417,0.0182019141913828,-0.1708014520949734,1.0,0.0,15616,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,60,0,0,0.1364648821367051,0.0182019141913828,-0.1546328787554369,1.0,0.0,15616
eight_balanced,0.0,8192,512,400,64,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,59,0,0,0.1526334554762417,0.0091009570956914,-0.1617248702109094,1.0,0.0,34816,1000,0,0.0,2.1684043449710093e-19,0.0038267584855551,59,0,0,0.1364648821367051,0.0091009570956914,-0.1455562968713729,1.0,0.0,34816
