study,clusters,condition,ladder,beta,replications,rejections,rejection_rate,wilson_95_lower,wilson_95_upper,mean_product_mean,mean_product_empirical_sd,standard_error_mean,statistic_mean,statistic_sd,undefined_results,mean_product_mc95_lower,mean_product_mc95_upper,reported_se_over_empirical_sd,statistic_quantile_0.025,statistic_quantile_0.05,statistic_quantile_0.5,statistic_quantile_0.95,statistic_quantile_0.975,nuisance_r2_q8_mean,nuisance_r2_q12_mean,nuisance_r2_q16_mean,nuisance_r2_q24_mean,nuisance_r2_q32_mean,nuisance_r2_q4_mean,nuisance_r2_q6_mean,nuisance_r2_q48_mean,nuisance_r2_q64_mean
cluster_count_exponent,25,high_overlap_conditional_null,primary,0.5,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-0.014053617271534508,0.0010178833149718945,0.0009229479639086415,-15.576527735995166,2.712524751335723,0,-0.0141692676188815,-0.013937966924187516,0.9067325795925102,-21.685635808058873,-20.169170704624072,-15.173510309589531,-11.675025350701612,-11.225979764427713,0.9574805121337179,0.9656054425032042,0.9685987058302767,0.9702931920721823,0.9709016792950481,,,,
cluster_count_exponent,25,high_overlap_conditional_null,primary,1.0,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-0.00468541236827085,0.0007864745019471301,0.0006948921696204442,-6.883156207708727,1.5628646728833986,0,-0.00477477039977788,-0.00459605433676382,0.883553335677191,-10.262530982292235,-9.834869125071172,-6.688197762328011,-4.639899516398278,-4.257296471140715,0.9574805121337179,0.9656054425032042,0.9685987058302767,0.9702931920721823,0.9709016792950481,,,,
cluster_count_exponent,25,high_overlap_conditional_null,primary,2.0,300,23,0.07666666666666666,0.051627611786607464,0.1124101038501748,-5.295205924238409e-05,0.0007396113830201818,0.0006478696518059003,-0.08127226997052592,1.1828296714477482,0,-0.00013698557476418558,3.1081456279417416e-05,0.8759595467018683,-2.4182299541694228,-2.050871760143177,-0.018251758160472926,1.8912010044434286,2.199109131659585,0.9574805121337179,0.9656054425032042,0.9685987058302767,0.9702931920721823,0.9709016792950481,,,,
cluster_count_exponent,25,high_overlap_shared_noise_alternative,primary,0.5,300,133,0.44333333333333336,0.38818691756565193,0.4999126191731299,0.0016176516523601075,0.0012059105663466709,0.001130683260668327,1.4528962351927042,1.088624464498414,0,0.0014806379359389363,0.0017546653687812786,0.9376178401801002,-0.45885312177964244,-0.21848657157996954,1.46173628271166,3.2668314502257756,3.785930733818101,0.9574805121337179,0.9656054425032042,0.9685987058302767,0.9702931920721823,0.9709016792950481,,,,
cluster_count_exponent,25,high_overlap_shared_noise_alternative,primary,1.0,300,300,1.0,0.9873570287754538,0.9999999999999998,0.010817996196868575,0.0009047000490716468,0.0008408310085505646,13.15768676245953,2.2348894164905517,0,0.010715205559296462,0.010920786834440688,0.9294030760950868,9.43476390869292,9.756727237317536,12.926938439579827,16.976080216499,17.93080943673021,0.9574805121337179,0.9656054425032042,0.9685987058302767,0.9702931920721823,0.9709016792950481,,,,
cluster_count_exponent,25,high_overlap_shared_noise_alternative,primary,2.0,300,300,1.0,0.9873570287754538,0.9999999999999998,0.015368190421686533,0.0008432258537511933,0.0007793930758592115,20.179180605532352,3.2369513767005103,0,0.015272384388279863,0.015463996455093203,0.9242993112604245,14.738583788569134,15.334655072253113,19.774229297097552,25.311084267670505,26.745826390819772,0.9574805121337179,0.9656054425032042,0.9685987058302767,0.9702931920721823,0.9709016792950481,,,,
cluster_count_exponent,25,independent_forecast_null,primary,0.5,300,25,0.08333333333333333,0.057080874056394275,0.12012160196406074,-0.00018995799360213908,0.021886458965791823,0.018334365498141138,0.013920132307054271,1.2257285341334405,0,-0.002676664027937136,0.002296748040732858,0.8377036014275974,-2.38236134057217,-1.9237316654952135,0.005405144558671202,2.0856968761093344,2.3825738372782324,-0.05404751343890446,-0.056967404820095005,-0.05955064761021178,-0.06538249022898797,-0.07095591443853581,,,,
cluster_count_exponent,25,independent_forecast_null,primary,1.0,300,25,0.08333333333333333,0.057080874056394275,0.12012160196406074,-0.00029947187754027243,0.020719322292159476,0.01773199344085453,0.007319492665571087,1.1945691004962875,0,-0.0026535696259140035,0.0020546258708334583,0.8558191812849305,-2.3446996278038683,-1.8470516321374726,-0.00980856391694783,1.996022142855135,2.413423278249422,-0.05404751343890446,-0.056967404820095005,-0.05955064761021178,-0.06538249022898797,-0.07095591443853581,,,,
cluster_count_exponent,25,independent_forecast_null,primary,2.0,300,25,0.08333333333333333,0.057080874056394275,0.12012160196406074,-0.00035227219649419016,0.020257042798903252,0.01756084120879781,0.003669320230373603,1.1777852978329149,0,-0.0026538464550139294,0.0019493020620255492,0.8669005334652589,-2.2735585482694205,-1.773628119204785,-0.04150098907999237,1.9540327733659748,2.417361269194175,-0.05404751343890446,-0.056967404820095005,-0.05955064761021178,-0.06538249022898797,-0.07095591443853581,,,,
cluster_count_exponent,50,high_overlap_conditional_null,primary,0.5,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-0.013730497855648584,0.0006471530419619421,0.0006345587836202035,-21.843883043564073,2.3903120776778977,0,-0.013804026395697036,-0.013656969315600133,0.9805389799241966,-27.445965106514297,-26.474770626035163,-21.6522117178491,-18.521641374470825,-17.91017640679696,0.9585003508988788,0.9664579429247336,0.9693850811609771,0.9711505523995125,0.9718201958894255,,,,
