replication,seed,study,condition,clusters,entities,n,ladder,beta,reject,mean_product,standard_error,statistic,p_one_sided,inference_status,weight_l1,nuisance_r2_q8,nuisance_r2_q12,nuisance_r2_q16,nuisance_r2_q24,nuisance_r2_q32,product_mean_q8,product_mean_q12,product_mean_q16,product_mean_q24,product_mean_q32,nuisance_r2_q4,nuisance_r2_q6,product_mean_q4,product_mean_q6,nuisance_r2_q48,nuisance_r2_q64,product_mean_q48,product_mean_q64
0,202609058430000,cluster_count_exponent,high_overlap_conditional_null,25,80,2000,primary,0.5,False,-0.013350014219747967,0.0010468127267327294,-12.753011000750348,1.0,computed,3.6588587946020055,0.9601031930084241,0.9671505808638817,0.9699282947472817,0.9709581785231576,0.9718539372386369,0.014732412851707956,0.007102660577639283,0.0037295574261479295,0.002298579879665695,0.001190350950939669,,,,,,,,
0,202609058430000,cluster_count_exponent,high_overlap_conditional_null,25,80,2000,primary,1.0,False,-0.004114997839251041,0.0007970585919784744,-5.162729416211063,0.9999998783125911,computed,1.9921874999999993,0.9601031930084241,0.9671505808638817,0.9699282947472817,0.9709581785231576,0.9718539372386369,0.014732412851707956,0.007102660577639283,0.0037295574261479295,0.002298579879665695,0.001190350950939669,,,,,,,,
0,202609058430000,cluster_count_exponent,high_overlap_conditional_null,25,80,2000,primary,2.0,False,0.0004512107218519568,0.0007404104009783689,0.6094062445040381,0.2711275999267778,computed,1.409278900673737,0.9601031930084241,0.9671505808638817,0.9699282947472817,0.9709581785231576,0.9718539372386369,0.014732412851707956,0.007102660577639283,0.0037295574261479295,0.002298579879665695,0.001190350950939669,,,,,,,,
0,202609058430000,cluster_count_exponent,high_overlap_shared_noise_alternative,25,80,2000,primary,0.5,True,0.0024437252784050333,0.001093505480744512,2.23476271627027,0.012716465384104984,computed,3.6588587946020055,0.9601031930084241,0.9671505808638817,0.9699282947472817,0.9709581785231576,0.9718539372386369,0.029011100993103677,0.021485347486938793,0.018370652792229478,0.017256161248814104,0.01618191991790236,,,,,,,,
0,202609058430000,cluster_count_exponent,high_overlap_shared_noise_alternative,25,80,2000,primary,1.0,True,0.011102944283944345,0.0007587825139435287,14.63257795206739,8.703234370538965e-49,computed,1.9921874999999993,0.9601031930084241,0.9671505808638817,0.9699282947472817,0.9709581785231576,0.9718539372386369,0.029011100993103677,0.021485347486938793,0.018370652792229478,0.017256161248814104,0.01618191991790236,,,,,,,,
0,202609058430000,cluster_count_exponent,high_overlap_shared_noise_alternative,25,80,2000,primary,2.0,True,0.01538410638162461,0.0007116237882316609,21.618313828228143,6.040552868296317e-104,computed,1.409278900673737,0.9601031930084241,0.9671505808638817,0.9699282947472817,0.9709581785231576,0.9718539372386369,0.029011100993103677,0.021485347486938793,0.018370652792229478,0.017256161248814104,0.01618191991790236,,,,,,,,
0,202609058430000,cluster_count_exponent,independent_forecast_null,25,80,2000,primary,0.5,False,0.008186265342180256,0.01853329077990715,0.4417059786843353,0.3293509913795302,computed,3.6588587946020055,-0.038043538865214055,-0.04674474565717279,-0.04415971198166835,-0.05326118987880579,-0.061122100496691756,0.006236841022991356,0.0076177723244742965,0.007322967209415731,0.006133120733940145,0.007961466034267985,,,,,,,,
0,202609058430000,cluster_count_exponent,independent_forecast_null,25,80,2000,primary,1.0,False,0.007654794882602914,0.017761770725519998,0.4309702563384941,0.33324499883020386,computed,1.9921874999999993,-0.038043538865214055,-0.04674474565717279,-0.04415971198166835,-0.05326118987880579,-0.061122100496691756,0.006236841022991356,0.0076177723244742965,0.007322967209415731,0.006133120733940145,0.007961466034267985,,,,,,,,
0,202609058430000,cluster_count_exponent,independent_forecast_null,25,80,2000,primary,2.0,False,0.007406990705922363,0.01746891715932604,0.4240097218600657,0.33577936160837407,computed,1.409278900673737,-0.038043538865214055,-0.04674474565717279,-0.04415971198166835,-0.05326118987880579,-0.061122100496691756,0.006236841022991356,0.0076177723244742965,0.007322967209415731,0.006133120733940145,0.007961466034267985,,,,,,,,
0,202609058430000,cluster_count_exponent,high_overlap_conditional_null,50,80,4000,primary,0.5,False,-0.01376374018403898,0.0006487533078579044,-21.215676309204476,1.0,computed,3.6588587946020055,0.9592901332599845,0.9673261897867882,0.9702355981840983,0.9716805773543022,0.9728585840207178,0.015393702529054039,0.0069746763569293315,0.004215602575187144,0.0022968922397557357,0.0013130346975041216,,,,,,,,
0,202609058430000,cluster_count_exponent,high_overlap_conditional_null,50,80,4000,primary,1.0,False,-0.004230191098221453,0.0004953719383125558,-8.539424160018541,1.0,computed,1.9921874999999993,0.9592901332599845,0.9673261897867882,0.9702355981840983,0.9716805773543022,0.9728585840207178,0.015393702529054039,0.0069746763569293315,0.004215602575187144,0.0022968922397557357,0.0013130346975041216,,,,,,,,
0,202609058430000,cluster_count_exponent,high_overlap_conditional_null,50,80,4000,primary,2.0,False,0.00048073377188727844,0.0004637908297753885,1.0365314297397716,0.14997714221769215,computed,1.409278900673737,0.9592901332599845,0.9673261897867882,0.9702355981840983,0.9716805773543022,0.9728585840207178,0.015393702529054039,0.0069746763569293315,0.004215602575187144,0.0022968922397557357,0.0013130346975041216,,,,,,,,
