condition,clusters,replications,rejections,rejection_rate,wilson95_lower,wilson95_upper,mean_T,sd_T,mean_score,mean_se_over_empirical_sd,undefined
high_overlap_conditional_null,25,300,30,0.1,0.07094791459501532,0.1391664623846215,0.003557483447218568,1.1841435325633527,-3.2746115751434324e-06,0.8742808683604734,0
high_overlap_conditional_null,50,300,17,0.056666666666666664,0.03567747646328951,0.08886595802247463,-0.10142449699016132,1.0708597533162836,-4.716451366667394e-05,0.93536272473639,0
high_overlap_conditional_null,100,300,10,0.03333333333333333,0.01820494733885481,0.06026182580405482,-0.14864482666241233,1.009506375620163,-4.500132476062152e-05,0.9938679599553979,0
high_overlap_shared_noise_alternative,25,300,300,1.0,0.9873570287754538,0.9999999999999998,20.807789377887573,3.1947973689945823,0.015246119485456434,0.9434934043207411,0
high_overlap_shared_noise_alternative,50,300,300,1.0,0.9873570287754538,0.9999999999999998,28.85992332837456,3.0364892374175594,0.014845549547417179,0.9701472189705211,0
high_overlap_shared_noise_alternative,100,300,300,1.0,0.9873570287754538,0.9999999999999998,40.46845678288516,2.9799121216983084,0.014673173007041585,0.9830498668085631,0
independent_forecast_null,25,300,24,0.08,0.054346855395144764,0.11627324043347391,0.0006686174466938762,1.1550650518146852,-0.00039096020027471585,0.885909483100445,0
independent_forecast_null,50,300,17,0.056666666666666664,0.03567747646328951,0.08886595802247463,-0.04811717930106057,1.0507054376128535,-0.0006117827031211237,0.9594260046138895,0
independent_forecast_null,100,300,10,0.03333333333333333,0.01820494733885481,0.06026182580405482,-0.0735480537454013,1.0678051590594055,-0.0006116666772782189,0.9440138132526135,0
