model,fold_scheme,lag,n,periods,calendar_gaps,mean_product,standard_error,statistic,p_one_sided,inference_status,nuisance_r2,raw_p_one_sided,raw_statistic,raw_nominal_positive,redundancy_abstain,redundancy_reason,undefined_audit_abstain,policy_abstain,p_policy,policy_nominal_positive,policy_decision,raw_by_reject_recomputed,raw_by_adjusted_p_recomputed,policy_by_reject,policy_by_adjusted_p,policy_family_size,method,beta,product_mean_q8,product_mean_q12,product_mean_q16,product_mean_q24,product_mean_q32,by_reject,by_adjusted_p,domain
dlinear,contiguous,14,34992,729,0,0.016945026307270905,0.0018984620346061741,8.925659822734385,2.215250805346057e-19,computed,0.9769217648438583,2.215250805346057e-19,8.925659822734385,True,False,no_exact_sample_redundancy_detected,False,False,2.215250805346057e-19,True,NOMINAL_POSITIVE,True,1.471752858462887e-18,True,1.471752858462887e-18,11,local_spline_GCM,,,,,,,,,electricity
drift,contiguous,14,34992,729,0,0.019387556047012984,0.002095750704543289,9.250888478760151,1.1131712806752957e-20,computed,0.9547888162105812,1.1131712806752957e-20,9.250888478760151,True,False,no_exact_sample_redundancy_detected,False,False,1.1131712806752957e-20,True,NOMINAL_POSITIVE,True,9.60025621267655e-20,True,9.60025621267655e-20,11,local_spline_GCM,,,,,,,,,electricity
histgbr_lag,contiguous,14,34992,729,0,0.013478098487305733,0.0017452137060679862,7.722892870049854,5.685937424506096e-15,computed,0.983162738775452,5.685937424506096e-15,7.722892870049854,True,False,no_exact_sample_redundancy_detected,False,False,5.685937424506096e-15,True,NOMINAL_POSITIVE,True,1.8887916973921816e-14,True,1.8887916973921816e-14,11,local_spline_GCM,,,,,,,,,electricity
holt_winters,contiguous,14,34992,729,0,0.012681493263949465,0.0014426781267704936,8.790244357788675,7.461750961011091e-19,computed,0.908155911841415,7.461750961011091e-19,8.790244357788675,True,False,no_exact_sample_redundancy_detected,False,False,7.461750961011091e-19,True,NOMINAL_POSITIVE,True,4.131154991383594e-18,True,4.131154991383594e-18,11,local_spline_GCM,,,,,,,,,electricity
lasso_lag,contiguous,14,34992,729,0,0.01472892290711224,0.0017202992775609504,8.56183752398884,5.55413357686739e-18,computed,0.9738208207406941,5.55413357686739e-18,8.56183752398884,True,False,no_exact_sample_redundancy_detected,False,False,5.55413357686739e-18,True,NOMINAL_POSITIVE,True,2.0500091527916494e-17,True,2.0500091527916494e-17,11,local_spline_GCM,,,,,,,,,electricity
linear_lag,contiguous,14,34992,729,0,0.01471068282878446,0.0017173632875897822,8.565853791733275,5.363896972551788e-18,computed,0.9738681493615812,5.363896972551788e-18,8.565853791733275,True,False,no_exact_sample_redundancy_detected,False,False,5.363896972551788e-18,True,NOMINAL_POSITIVE,True,2.0500091527916494e-17,True,2.0500091527916494e-17,11,local_spline_GCM,,,,,,,,,electricity
naive_1,contiguous,14,34992,729,0,0.019416607649522796,0.002098795621645349,9.25130939348023,1.1087957703570547e-20,computed,0.9546792499483057,1.1087957703570547e-20,9.25130939348023,True,False,no_exact_sample_redundancy_detected,False,False,1.1087957703570547e-20,True,NOMINAL_POSITIVE,True,9.60025621267655e-20,True,9.60025621267655e-20,11,local_spline_GCM,,,,,,,,,electricity
ridge_lag,contiguous,14,34992,729,0,0.015573901940097695,0.0017911599514056555,8.694869449194476,1.7361439546534795e-18,computed,0.9757893672433402,1.7361439546534795e-18,8.694869449194476,True,False,no_exact_sample_redundancy_detected,False,False,1.7361439546534795e-18,True,NOMINAL_POSITIVE,True,8.238908536734547e-18,True,8.238908536734547e-18,11,local_spline_GCM,,,,,,,,,electricity
seasonal_naive_7,contiguous,14,34992,729,0,3.853521622707891e-06,7.803473588581535e-07,4.938213193092078,3.9420812156726706e-07,computed,0.9999999092453554,3.9420812156726706e-07,4.938213193092078,True,True,exact_observed_baseline_copy,False,True,1.0,False,ABSTAIN_OBSERVED_CONTROL_REDUNDANCY,True,1.1904601754876438e-06,False,1.0,11,local_spline_GCM,,,,,,,,,electricity
ses,contiguous,14,34992,729,0,0.01110960022490748,0.0012014467445905367,9.246851993172388,1.1560079633952484e-20,computed,0.9025757663139267,1.1560079633952484e-20,9.246851993172388,True,False,no_exact_sample_redundancy_detected,False,False,1.1560079633952484e-20,True,NOMINAL_POSITIVE,True,9.60025621267655e-20,True,9.60025621267655e-20,11,local_spline_GCM,,,,,,,,,electricity
theta,contiguous,14,34992,729,0,0.017971765152290643,0.0019021544963704468,9.448110122801834,1.7250163351590167e-21,computed,0.9717926269170322,1.7250163351590167e-21,9.448110122801834,True,False,no_exact_sample_redundancy_detected,False,False,1.7250163351590167e-21,True,NOMINAL_POSITIVE,True,5.730271525099065e-20,True,5.730271525099065e-20,11,local_spline_GCM,,,,,,,,,electricity
dlinear,contiguous,14,34992,729,0,0.0127133052102189,0.0019482723842729,6.525424942038105,3.3904504324515895e-11,computed,,3.3904504324515895e-11,6.525424942038105,True,False,no_exact_sample_redundancy_detected,False,False,3.3904504324515895e-11,True,NOMINAL_POSITIVE,True,1.8771031491465277e-10,True,1.8771031491465277e-10,11,extrapolated_beta_1,1.0,0.0287640232560091,0.0211418008637183,0.0191161215869045,0.0184818463283029,0.0171333559021347,True,1.877103149146528e-10,electricity
dlinear,contiguous,14,34992,729,0,0.0164247786831488,0.0018743633107999,8.7628575466187,9.518107961504668e-19,computed,,9.518107961504668e-19,8.7628575466187,True,False,no_exact_sample_redundancy_detected,False,False,9.518107961504668e-19,True,NOMINAL_POSITIVE,True,5.269645076491516e-18,True,5.269645076491516e-18,11,extrapolated_beta_2,2.0,0.0287640232560091,0.0211418008637183,0.0191161215869045,0.0184818463283029,0.0171333559021347,True,5.269645076491516e-18,electricity
drift,contiguous,14,34992,729,0,0.0151087593472765,0.0021343071442728,7.078999565652357,7.259942033027585e-13,computed,,7.259942033027585e-13,7.078999565652357,True,False,no_exact_sample_redundancy_detected,False,False,7.259942033027585e-13,True,NOMINAL_POSITIVE,True,8.038849305909684e-12,True,8.038849305909684e-12,11,extrapolated_beta_1,1.0,0.0309492697191289,0.0232868246393844,0.0212552202334388,0.0210738898469485,0.0193277763437008,True,8.038849305909684e-12,electricity
drift,contiguous,14,34992,729,0,0.0187449257956397,0.0020676210490287,9.065938753353752,6.176792029004888e-20,computed,,6.176792029004888e-20,9.065938753353752,True,False,no_exact_sample_redundancy_detected,False,False,6.176792029004888e-20,True,NOMINAL_POSITIVE,True,5.148667944931997e-19,True,5.148667944931997e-19,11,extrapolated_beta_2,2.0,0.0309492697191289,0.0232868246393844,0.0212552202334388,0.0210738898469485,0.0193277763437008,True,5.148667944931997e-19,electricity
