replication,seed,study,condition,clusters,entities,n_extrapolated,ladder,beta,reject_extrapolated,mean_product_extrapolated,standard_error_extrapolated,statistic_extrapolated,p_one_sided_extrapolated,inference_status_extrapolated,weight_l1,nuisance_r2_q8,nuisance_r2_q12,nuisance_r2_q16,nuisance_r2_q24,nuisance_r2_q32,product_mean_q8,product_mean_q12,product_mean_q16,product_mean_q24,product_mean_q32,nuisance_r2_q4,nuisance_r2_q6,product_mean_q4,product_mean_q6,nuisance_r2_q48,nuisance_r2_q64,product_mean_q48,product_mean_q64,reject_spline,fold_scheme,lag,n_spline,periods,calendar_gaps,mean_product_spline,standard_error_spline,statistic_spline,p_one_sided_spline,inference_status_spline,nuisance_r2
0,202609058430000,cluster_count_exponent,high_overlap_conditional_null,25,80,2000,primary,0.5,False,-0.0133500142197479,0.0010468127267327,-12.753011000750348,1.0,computed,3.6588587946020055,0.9601031930084241,0.9671505808638817,0.9699282947472816,0.9709581785231576,0.9718539372386369,0.014732412851707956,0.007102660577639283,0.0037295574261479,0.002298579879665695,0.001190350950939669,,,,,,,,,False,contiguous,0,2000,25,0,0.0005481815291484594,0.0006853092594450352,0.799903870542152,0.2118832475460925,computed,0.9730948494765203
0,202609058430000,cluster_count_exponent,high_overlap_conditional_null,25,80,2000,primary,1.0,False,-0.004114997839251,0.0007970585919784,-5.162729416211063,0.9999998783125912,computed,1.9921874999999996,0.9601031930084241,0.9671505808638817,0.9699282947472816,0.9709581785231576,0.9718539372386369,0.014732412851707956,0.007102660577639283,0.0037295574261479,0.002298579879665695,0.001190350950939669,,,,,,,,,False,contiguous,0,2000,25,0,0.0005481815291484594,0.0006853092594450352,0.799903870542152,0.2118832475460925,computed,0.9730948494765203
0,202609058430000,cluster_count_exponent,high_overlap_conditional_null,25,80,2000,primary,2.0,False,0.0004512107218519,0.0007404104009783,0.6094062445040381,0.2711275999267778,computed,1.409278900673737,0.9601031930084241,0.9671505808638817,0.9699282947472816,0.9709581785231576,0.9718539372386369,0.014732412851707956,0.007102660577639283,0.0037295574261479,0.002298579879665695,0.001190350950939669,,,,,,,,,False,contiguous,0,2000,25,0,0.0005481815291484594,0.0006853092594450352,0.799903870542152,0.2118832475460925,computed,0.9730948494765203
0,202609058430000,cluster_count_exponent,high_overlap_shared_noise_alternative,25,80,2000,primary,0.5,True,0.002443725278405,0.0010935054807445,2.23476271627027,0.0127164653841049,computed,3.6588587946020055,0.9601031930084241,0.9671505808638817,0.9699282947472816,0.9709581785231576,0.9718539372386369,0.029011100993103677,0.021485347486938793,0.0183706527922294,0.017256161248814104,0.01618191991790236,,,,,,,,,True,contiguous,0,2000,25,0,0.015194419031938463,0.0007149538132574,21.252308541038747,1.5692442738638134e-100,computed,0.9730948494765203
0,202609058430000,cluster_count_exponent,high_overlap_shared_noise_alternative,25,80,2000,primary,1.0,True,0.0111029442839443,0.0007587825139435,14.63257795206739,8.703234370538965e-49,computed,1.9921874999999996,0.9601031930084241,0.9671505808638817,0.9699282947472816,0.9709581785231576,0.9718539372386369,0.029011100993103677,0.021485347486938793,0.0183706527922294,0.017256161248814104,0.01618191991790236,,,,,,,,,True,contiguous,0,2000,25,0,0.015194419031938463,0.0007149538132574,21.252308541038747,1.5692442738638134e-100,computed,0.9730948494765203
0,202609058430000,cluster_count_exponent,high_overlap_shared_noise_alternative,25,80,2000,primary,2.0,True,0.0153841063816246,0.0007116237882316,21.618313828228143,6.040552868296318e-104,computed,1.409278900673737,0.9601031930084241,0.9671505808638817,0.9699282947472816,0.9709581785231576,0.9718539372386369,0.029011100993103677,0.021485347486938793,0.0183706527922294,0.017256161248814104,0.01618191991790236,,,,,,,,,True,contiguous,0,2000,25,0,0.015194419031938463,0.0007149538132574,21.252308541038747,1.5692442738638134e-100,computed,0.9730948494765203
0,202609058430000,cluster_count_exponent,independent_forecast_null,25,80,2000,primary,0.5,False,0.0081862653421802,0.0185332907799071,0.4417059786843353,0.3293509913795302,computed,3.6588587946020055,-0.038043538865214055,-0.04674474565717279,-0.0441597119816683,-0.05326118987880579,-0.061122100496691756,0.006236841022991356,0.0076177723244742965,0.0073229672094157,0.006133120733940145,0.007961466034267985,,,,,,,,,False,contiguous,0,2000,25,0,0.005736154064491416,0.017155999061830896,0.33435266834756117,0.3690567256561472,computed,-0.04328246000856506
0,202609058430000,cluster_count_exponent,independent_forecast_null,25,80,2000,primary,1.0,False,0.0076547948826029,0.0177617707255199,0.4309702563384941,0.3332449988302038,computed,1.9921874999999996,-0.038043538865214055,-0.04674474565717279,-0.0441597119816683,-0.05326118987880579,-0.061122100496691756,0.006236841022991356,0.0076177723244742965,0.0073229672094157,0.006133120733940145,0.007961466034267985,,,,,,,,,False,contiguous,0,2000,25,0,0.005736154064491416,0.017155999061830896,0.33435266834756117,0.3690567256561472,computed,-0.04328246000856506
0,202609058430000,cluster_count_exponent,independent_forecast_null,25,80,2000,primary,2.0,False,0.0074069907059223,0.017468917159326,0.4240097218600657,0.335779361608374,computed,1.409278900673737,-0.038043538865214055,-0.04674474565717279,-0.0441597119816683,-0.05326118987880579,-0.061122100496691756,0.006236841022991356,0.0076177723244742965,0.0073229672094157,0.006133120733940145,0.007961466034267985,,,,,,,,,False,contiguous,0,2000,25,0,0.005736154064491416,0.017155999061830896,0.33435266834756117,0.3690567256561472,computed,-0.04328246000856506
0,202609058430000,cluster_count_exponent,high_overlap_conditional_null,50,80,4000,primary,0.5,False,-0.0137637401840389,0.0006487533078579,-21.21567630920448,1.0,computed,3.6588587946020055,0.9592901332599845,0.9673261897867882,0.9702355981840984,0.9716805773543022,0.9728585840207178,0.015393702529054039,0.0069746763569293315,0.0042156025751871,0.0022968922397557357,0.0013130346975041216,,,,,,,,,False,contiguous,0,4000,50,0,0.0005943771654571519,0.0004354884397563488,1.3648517645834632,0.08614982264337095,computed,0.9739308040329269
