screen,model,ordered_rank,family_size,harmonic_factor,pvalue,rank_cutoff,passes_own_rank_cutoff,step_up_last_passing_rank,step_up_cutoff,retained_by_step_up,final_label
raw,ses,1,11,3.0198773448773446,2.2080721807549066e-21,0.0015051785308979708,True,10,0.015051785308979706,True,RETAIN
raw,theta,2,11,3.0198773448773446,1.2425836313398486e-20,0.0030103570617959416,True,10,0.015051785308979706,True,RETAIN
raw,drift,3,11,3.0198773448773446,6.1767920290226065e-20,0.0045155355926939124,True,10,0.015051785308979706,True,RETAIN
raw,naive_1,4,11,3.0198773448773446,6.1997315627357857e-20,0.0060207141235918832,True,10,0.015051785308979706,True,RETAIN
raw,holt_winters,5,11,3.0198773448773446,9.3806266975036875e-20,0.0075258926544898531,True,10,0.015051785308979706,True,RETAIN
raw,dlinear,6,11,3.0198773448773446,9.518107961439743e-19,0.0090310711853878248,True,10,0.015051785308979706,True,RETAIN
raw,ridge_lag,7,11,3.0198773448773446,7.1888717614481126e-18,0.010536249716285796,True,10,0.015051785308979706,True,RETAIN
raw,linear_lag,8,11,3.0198773448773446,3.2371048413929353e-17,0.012041428247183766,True,10,0.015051785308979706,True,RETAIN
raw,lasso_lag,9,11,3.0198773448773446,3.3671406290595324e-17,0.013546606778081735,True,10,0.015051785308979706,True,RETAIN
raw,histgbr_lag,10,11,3.0198773448773446,3.4331257558681913e-14,0.015051785308979706,True,10,0.015051785308979706,True,RETAIN
raw,seasonal_naive_7,11,11,3.0198773448773446,0.99999995732758185,0.016556963839877679,False,10,0.015051785308979706,False,ABSTAIN
guarded,ses,1,11,3.0198773448773446,2.2080721807549066e-21,0.0015051785308979708,True,10,0.015051785308979706,True,RETAIN
guarded,theta,2,11,3.0198773448773446,1.2425836313398486e-20,0.0030103570617959416,True,10,0.015051785308979706,True,RETAIN
guarded,drift,3,11,3.0198773448773446,6.1767920290226065e-20,0.0045155355926939124,True,10,0.015051785308979706,True,RETAIN
guarded,naive_1,4,11,3.0198773448773446,6.1997315627357857e-20,0.0060207141235918832,True,10,0.015051785308979706,True,RETAIN
guarded,holt_winters,5,11,3.0198773448773446,9.3806266975036875e-20,0.0075258926544898531,True,10,0.015051785308979706,True,RETAIN
guarded,dlinear,6,11,3.0198773448773446,9.518107961439743e-19,0.0090310711853878248,True,10,0.015051785308979706,True,RETAIN
guarded,ridge_lag,7,11,3.0198773448773446,7.1888717614481126e-18,0.010536249716285796,True,10,0.015051785308979706,True,RETAIN
guarded,linear_lag,8,11,3.0198773448773446,3.2371048413929353e-17,0.012041428247183766,True,10,0.015051785308979706,True,RETAIN
guarded,lasso_lag,9,11,3.0198773448773446,3.3671406290595324e-17,0.013546606778081735,True,10,0.015051785308979706,True,RETAIN
guarded,histgbr_lag,10,11,3.0198773448773446,3.4331257558681913e-14,0.015051785308979706,True,10,0.015051785308979706,True,RETAIN
guarded,seasonal_naive_7,11,11,3.0198773448773446,1,0.016556963839877679,False,10,0.015051785308979706,False,ABSTAIN
