model,resolution_q,beta,weight,mean_residual_product,weighted_mean_contribution,combined_mean,standard_error,statistic,normal_p_one_sided
dlinear,8,2,-0.20463945033686862,0.028764023256008978,-0.0058862539085865829,0.016424778683149968,0.0018743633107999467,8.76285754661947,9.518107961439743e-19
dlinear,12,2,0.15424254552731625,0.021141800863718297,0.0032609651822515236,0.016424778683149968,0.0018743633107999467,8.76285754661947,9.518107961439743e-19
dlinear,16,2,0.27985124407978113,0.019116121586904778,0.0053496704080756617,0.016424778683149968,0.0018743633107999467,8.76285754661947,9.518107961439743e-19
dlinear,24,2,0.36957174304582741,0.018481846328304439,0.0068303681622565969,0.016424778683149968,0.0018743633107999467,8.76285754661947,9.518107961439743e-19
dlinear,32,2,0.40097391768394358,0.017133355902135959,0.0068700288391527727,0.016424778683149968,0.0018743633107999467,8.76285754661947,9.518107961439743e-19
drift,8,2,-0.20463945033686862,0.030949269719130212,-0.0063334415436502988,0.018744925795639918,0.0020676210490288473,9.0659387533534392,6.1767920290226065e-20
drift,12,2,0.15424254552731625,0.023286824639384491,0.0035918191096268922,0.018744925795639918,0.0020676210490288473,9.0659387533534392,6.1767920290226065e-20
drift,16,2,0.27985124407978113,0.021255220233439003,0.005948299825517641,0.018744925795639918,0.0020676210490288473,9.0659387533534392,6.1767920290226065e-20
drift,24,2,0.36957174304582741,0.021073889846950127,0.0077883142034931236,0.018744925795639918,0.0020676210490288473,9.0659387533534392,6.1767920290226065e-20
drift,32,2,0.40097391768394358,0.019327776343700313,0.0077499342006525614,0.018744925795639918,0.0020676210490288473,9.0659387533534392,6.1767920290226065e-20
histgbr_lag,8,2,-0.20463945033686862,0.025337385584969167,-0.0051850286590813888,0.012935027232924837,0.0017268800395336059,7.4904028865944374,3.4331257558681913e-14
histgbr_lag,12,2,0.15424254552731625,0.017636257528221861,0.0027202612547282345,0.012935027232924837,0.0017268800395336059,7.4904028865944374,3.4331257558681913e-14
histgbr_lag,16,2,0.27985124407978113,0.01564150961370293,0.0043772959246806218,0.012935027232924837,0.0017268800395336059,7.4904028865944374,3.4331257558681913e-14
histgbr_lag,24,2,0.36957174304582741,0.014997131973123775,0.0055425162039956623,0.012935027232924837,0.0017268800395336059,7.4904028865944374,3.4331257558681913e-14
histgbr_lag,32,2,0.40097391768394358,0.013666680716427919,0.0054799825086017072,0.012935027232924837,0.0017268800395336059,7.4904028865944374,3.4331257558681913e-14
holt_winters,8,2,-0.20463945033686862,0.02284542623246516,-0.0046750754669231493,0.012364927624776109,0.0013707922947147116,9.0202780336969202,9.3806266975036875e-20
holt_winters,12,2,0.15424254552731625,0.016655885127541879,0.002569046120082628,0.012364927624776109,0.0013707922947147116,9.0202780336969202,9.3806266975036875e-20
holt_winters,16,2,0.27985124407978113,0.014903741770390845,0.0041708306758876778,0.012364927624776109,0.0013707922947147116,9.0202780336969202,9.3806266975036875e-20
holt_winters,24,2,0.36957174304582741,0.013628916142302163,0.0050368622945360245,0.012364927624776109,0.0013707922947147116,9.0202780336969202,9.3806266975036875e-20
holt_winters,32,2,0.40097391768394358,0.013126200406235768,0.0052632640011929278,0.012364927624776109,0.0013707922947147116,9.0202780336969202,9.3806266975036875e-20
lasso_lag,8,2,-0.20463945033686862,0.026317949138488658,-0.0053856906456939838,0.014181085173273534,0.0016980076230683225,8.3516027729299136,3.3671406290595324e-17
lasso_lag,12,2,0.15424254552731625,0.018778088992648701,0.0028963802463646137,0.014181085173273534,0.0016980076230683225,8.3516027729299136,3.3671406290595324e-17
lasso_lag,16,2,0.27985124407978113,0.016761100541251298,0.0046906148386154688,0.014181085173273534,0.0016980076230683225,8.3516027729299136,3.3671406290595324e-17
lasso_lag,24,2,0.36957174304582741,0.016345274362269995,0.0060407515366263974,0.014181085173273534,0.0016980076230683225,8.3516027729299136,3.3671406290595324e-17
lasso_lag,32,2,0.40097391768394358,0.014811510014579832,0.00593902919736104,0.014181085173273534,0.0016980076230683225,8.3516027729299136,3.3671406290595324e-17
linear_lag,8,2,-0.20463945033686862,0.026295756569279613,-0.005381149170529482,0.014161779694399993,0.00169475250033349,8.3562524271911478,3.2371048413929353e-17
linear_lag,12,2,0.15424254552731625,0.018759385757553936,0.002893495411774001,0.014161779694399993,0.00169475250033349,8.3562524271911478,3.2371048413929353e-17
linear_lag,16,2,0.27985124407978113,0.016739524878682122,0.0046845768626036389,0.014161779694399993,0.00169475250033349,8.3562524271911478,3.2371048413929353e-17
linear_lag,24,2,0.36957174304582741,0.016326547671168957,0.0060338306807547057,0.014161779694399993,0.00169475250033349,8.3562524271911478,3.2371048413929353e-17
linear_lag,32,2,0.40097391768394358,0.014791550393240524,0.0059310259097971295,0.014161779694399993,0.00169475250033349,8.3562524271911478,3.2371048413929353e-17
naive_1,8,2,-0.20463945033686862,0.03098923224024587,-0.0063416194520054823,0.018772741766643744,0.0020707815334970753,9.0655346606944516,6.1997315627357857e-20
naive_1,12,2,0.15424254552731625,0.0233162867286381,0.0035963634172699217,0.018772741766643744,0.0020707815334970753,9.0655346606944516,6.1997315627357857e-20
naive_1,16,2,0.27985124407978113,0.021286679944740872,0.0059571038648638594,0.018772741766643744,0.0020707815334970753,9.0655346606944516,6.1997315627357857e-20
naive_1,24,2,0.36957174304582741,0.021102634509600551,0.0077989374185721046,0.018772741766643744,0.0020707815334970753,9.0655346606944516,6.1997315627357857e-20
naive_1,32,2,0.40097391768394358,0.019357759135000607,0.0077619565179433405,0.018772741766643744,0.0020707815334970753,9.0655346606944516,6.1997315627357857e-20
ridge_lag,8,2,-0.20463945033686862,0.027273428653530985,-0.0055812194484603835,0.015082634535626844,0.0017677621808969222,8.5320495588237204,7.1888717614481126e-18
ridge_lag,12,2,0.15424254552731625,0.019777559324138463,0.003050541094472625,0.015082634535626844,0.0017677621808969222,8.5320495588237204,7.1888717614481126e-18
ridge_lag,16,2,0.27985124407978113,0.017706107279056305,0.0049550761498539748,0.015082634535626844,0.0017677621808969222,8.5320495588237204,7.1888717614481126e-18
ridge_lag,24,2,0.36957174304582741,0.017146796961133678,0.0063369716405790701,0.015082634535626844,0.0017677621808969222,8.5320495588237204,7.1888717614481126e-18
ridge_lag,32,2,0.40097391768394358,0.015764778755919272,0.0063212650991815566,0.015082634535626844,0.0017677621808969222,8.5320495588237204,7.1888717614481126e-18
seasonal_naive_7,8,2,-0.20463945033686862,0.012325053667027321,-0.0025221922077928779,-0.00038159831740872791,7.1254232992983731e-05,-5.355447688929627,0.99999995732758185
seasonal_naive_7,12,2,0.15424254552731625,0.0046776625503206189,0.00072149457887925035,-0.00038159831740872791,7.1254232992983731e-05,-5.355447688929627,0.99999995732758185
seasonal_naive_7,16,2,0.27985124407978113,0.0025638403737733564,0.00071749391822244484,-0.00038159831740872791,7.1254232992983731e-05,-5.355447688929627,0.99999995732758185
seasonal_naive_7,24,2,0.36957174304582741,0.00123919399951536,0.00045797108637282181,-0.00038159831740872791,7.1254232992983731e-05,-5.355447688929627,0.99999995732758185
seasonal_naive_7,32,2,0.40097391768394358,0.00060760637080058578,0.00024363430690963378,-0.00038159831740872791,7.1254232992983731e-05,-5.355447688929627,0.99999995732758185
ses,8,2,-0.20463945033686862,0.020733718904154586,-0.0042429368399853366,0.010674247130368934,0.0011328792614840367,9.4222283815011334,2.2080721807549066e-21
ses,12,2,0.15424254552731625,0.014636781146478208,0.0022576143823590292,0.010674247130368934,0.0011328792614840367,9.4222283815011334,2.2080721807549066e-21
ses,16,2,0.27985124407978113,0.012959600239705511,0.0036267602498582167,0.010674247130368934,0.0011328792614840367,9.4222283815011334,2.2080721807549066e-21
ses,24,2,0.36957174304582741,0.012282553638567766,0.0045392847572593587,0.010674247130368934,0.0011328792614840367,9.4222283815011334,2.2080721807549066e-21
ses,32,2,0.40097391768394358,0.011206525867898375,0.0044935245808776676,0.010674247130368934,0.0011328792614840367,9.4222283815011334,2.2080721807549066e-21
theta,8,2,-0.20463945033686862,0.029632125533076519,-0.006063901881401869,0.017390939902150002,0.001882314213336264,9.2391269103397118,1.2425836313398486e-20
theta,12,2,0.15424254552731625,0.022028848247780865,0.003397785628772681,0.017390939902150002,0.001882314213336264,9.2391269103397118,1.2425836313398486e-20
theta,16,2,0.27985124407978113,0.019978538798593029,0.0055910189376824349,0.017390939902150002,0.001882314213336264,9.2391269103397118,1.2425836313398486e-20
theta,24,2,0.36957174304582741,0.019556601858434643,0.0072275674368749588,0.017390939902150002,0.001882314213336264,9.2391269103397118,1.2425836313398486e-20
theta,32,2,0.40097391768394358,0.018052221007370646,0.0072384697802217943,0.017390939902150002,0.001882314213336264,9.2391269103397118,1.2425836313398486e-20
