design,signal,training_rows,validation_pairs,groups,peers,total_observations,method,level,replications,rejections,rejection_rate,ci_lower,ci_upper,target,allowance_failures,p_min,p_median,p_max,mean,signed_allowance,mean_radius
two_balanced,-0.125,8192,512,100,64,15616,signed_variance,0.001,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0050192976495052272,0.027333417116044131,0.0043696146241887189
two_balanced,-0.125,8192,512,100,64,15616,signed_variance,0.0050000000000000001,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0050192976495052272,0.027333417116044131,0.0043696146241887189
two_balanced,-0.125,8192,512,100,64,15616,signed_variance,0.01,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0050192976495052272,0.027333417116044131,0.0043696146241887189
two_balanced,-0.125,8192,512,100,64,15616,signed_variance,0.050000000000000003,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0050192976495052272,0.027333417116044131,0.0043696146241887189
two_balanced,-0.125,8192,512,100,64,15616,independent_bernstein,0.001,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0050313466813211444,0.027333417116044131,0.004370344269197632
two_balanced,-0.125,8192,512,100,64,15616,independent_bernstein,0.0050000000000000001,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0050313466813211444,0.027333417116044131,0.004370344269197632
two_balanced,-0.125,8192,512,100,64,15616,independent_bernstein,0.01,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0050313466813211444,0.027333417116044131,0.004370344269197632
two_balanced,-0.125,8192,512,100,64,15616,independent_bernstein,0.050000000000000003,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0050313466813211444,0.027333417116044131,0.004370344269197632
two_balanced,-0.125,8192,512,100,64,15616,independent_betting,0.001,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0050313466813211444,0.027333417116044131,
two_balanced,-0.125,8192,512,100,64,15616,independent_betting,0.0050000000000000001,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0050313466813211444,0.027333417116044131,
two_balanced,-0.125,8192,512,100,64,15616,independent_betting,0.01,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0050313466813211444,0.027333417116044131,
two_balanced,-0.125,8192,512,100,64,15616,independent_betting,0.050000000000000003,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0050313466813211444,0.027333417116044131,
two_balanced,-0.125,8192,512,100,64,15616,pooled_variance,0.001,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0050234231301518328,0.027333417116044131,0.0043148399216694049
two_balanced,-0.125,8192,512,100,64,15616,pooled_variance,0.0050000000000000001,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0050234231301518328,0.027333417116044131,0.0043148399216694049
two_balanced,-0.125,8192,512,100,64,15616,pooled_variance,0.01,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0050234231301518328,0.027333417116044131,0.0043148399216694049
two_balanced,-0.125,8192,512,100,64,15616,pooled_variance,0.050000000000000003,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0050234231301518328,0.027333417116044131,0.0043148399216694049
two_balanced,-0.125,8192,512,100,64,15616,pooled_betting,0.001,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0050262773454284124,0.027333417116044131,
two_balanced,-0.125,8192,512,100,64,15616,pooled_betting,0.0050000000000000001,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0050262773454284124,0.027333417116044131,
two_balanced,-0.125,8192,512,100,64,15616,pooled_betting,0.01,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0050262773454284124,0.027333417116044131,
two_balanced,-0.125,8192,512,100,64,15616,pooled_betting,0.050000000000000003,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0050262773454284124,0.027333417116044131,
two_balanced,-0.125,8192,8192,100,64,30976,signed_variance,0.001,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0050192976495052272,0.0017302149693182022,0.0043696146241887189
two_balanced,-0.125,8192,8192,100,64,30976,signed_variance,0.0050000000000000001,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0050192976495052272,0.0017302149693182022,0.0043696146241887189
two_balanced,-0.125,8192,8192,100,64,30976,signed_variance,0.01,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0050192976495052272,0.0017302149693182022,0.0043696146241887189
two_balanced,-0.125,8192,8192,100,64,30976,signed_variance,0.050000000000000003,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0050192976495052272,0.0017302149693182022,0.0043696146241887189
two_balanced,-0.125,8192,8192,100,64,30976,independent_bernstein,0.001,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0050313466813211444,0.0017302149693182022,0.004370344269197632
two_balanced,-0.125,8192,8192,100,64,30976,independent_bernstein,0.0050000000000000001,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0050313466813211444,0.0017302149693182022,0.004370344269197632
two_balanced,-0.125,8192,8192,100,64,30976,independent_bernstein,0.01,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0050313466813211444,0.0017302149693182022,0.004370344269197632
two_balanced,-0.125,8192,8192,100,64,30976,independent_bernstein,0.050000000000000003,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0050313466813211444,0.0017302149693182022,0.004370344269197632
two_balanced,-0.125,8192,8192,100,64,30976,independent_betting,0.001,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0050313466813211444,0.0017302149693182022,
two_balanced,-0.125,8192,8192,100,64,30976,independent_betting,0.0050000000000000001,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0050313466813211444,0.0017302149693182022,
two_balanced,-0.125,8192,8192,100,64,30976,independent_betting,0.01,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0050313466813211444,0.0017302149693182022,
two_balanced,-0.125,8192,8192,100,64,30976,independent_betting,0.050000000000000003,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0050313466813211444,0.0017302149693182022,
two_balanced,-0.125,8192,8192,100,64,30976,pooled_variance,0.001,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0050234231301518328,0.0017302149693182022,0.0043148399216694049
two_balanced,-0.125,8192,8192,100,64,30976,pooled_variance,0.0050000000000000001,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0050234231301518328,0.0017302149693182022,0.0043148399216694049
two_balanced,-0.125,8192,8192,100,64,30976,pooled_variance,0.01,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0050234231301518328,0.0017302149693182022,0.0043148399216694049
two_balanced,-0.125,8192,8192,100,64,30976,pooled_variance,0.050000000000000003,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0050234231301518328,0.0017302149693182022,0.0043148399216694049
two_balanced,-0.125,8192,8192,100,64,30976,pooled_betting,0.001,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0050262773454284124,0.0017302149693182022,
two_balanced,-0.125,8192,8192,100,64,30976,pooled_betting,0.0050000000000000001,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0050262773454284124,0.0017302149693182022,
two_balanced,-0.125,8192,8192,100,64,30976,pooled_betting,0.01,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0050262773454284124,0.0017302149693182022,
two_balanced,-0.125,8192,8192,100,64,30976,pooled_betting,0.050000000000000003,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0050262773454284124,0.0017302149693182022,
two_balanced,-0.125,8192,512,400,64,34816,signed_variance,0.001,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0049870786040636349,0.027333417116044131,0.0015160206891929287
two_balanced,-0.125,8192,512,400,64,34816,signed_variance,0.0050000000000000001,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0049870786040636349,0.027333417116044131,0.0015160206891929287
two_balanced,-0.125,8192,512,400,64,34816,signed_variance,0.01,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0049870786040636349,0.027333417116044131,0.0015160206891929287
two_balanced,-0.125,8192,512,400,64,34816,signed_variance,0.050000000000000003,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0049870786040636349,0.027333417116044131,0.0015160206891929287
two_balanced,-0.125,8192,512,400,64,34816,independent_bernstein,0.001,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0049754415119617375,0.027333417116044131,0.0015160662726640226
two_balanced,-0.125,8192,512,400,64,34816,independent_bernstein,0.0050000000000000001,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0049754415119617375,0.027333417116044131,0.0015160662726640226
two_balanced,-0.125,8192,512,400,64,34816,independent_bernstein,0.01,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0049754415119617375,0.027333417116044131,0.0015160662726640226
two_balanced,-0.125,8192,512,400,64,34816,independent_bernstein,0.050000000000000003,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0049754415119617375,0.027333417116044131,0.0015160662726640226
two_balanced,-0.125,8192,512,400,64,34816,independent_betting,0.001,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0049754415119617375,0.027333417116044131,
two_balanced,-0.125,8192,512,400,64,34816,independent_betting,0.0050000000000000001,300,0,0,0,0.012220974694293552,-0.0050000000000000001,0,1,1,1,-0.0049754415119617375,0.027333417116044131,
