model,rows,weeks,entities,cohort_sha256,mean_complementary,mean_directional,mean_change,outcome_fit_shift,forecast_fit_shift,joint_fit_shift,sum_terms,se_complementary,se_directional,se_change_with_all_cross_covariances,outcome_fit_shift_se,forecast_fit_shift_se,joint_fit_shift_se,dominant_absolute_term,middle_cohort_sha256
Past price and calendar,68000,17,4000,81801a5c0571a3c12620e1f20eae86f63be34859d97332266000440be3f41676,0.01013752320928025,-0.0015812759315845641,-0.011718799140864752,-0.0038165298999740921,-0.004487005104720527,-0.0034152641361701987,-0.011718799140864818,0.001580767836467913,0.0019394405115156208,0.0015572933698010647,0.0012337217858393924,0.0026557228201130869,0.00076609238541068807,forecast_fit_shift,8c9b3cdf069b547167775e04804da1cc4a9706ee4bd5e5f3fc6c594de1c0ab35
Croston SBA,68000,17,4000,81801a5c0571a3c12620e1f20eae86f63be34859d97332266000440be3f41676,-0.019878578046207324,0.0055164499101486471,0.025395027956356151,0.012423046666639638,0.0097007328502665881,0.0032712484394497401,0.025395027956355967,0.001023069234440452,0.00090355555524029906,0.0010447661920047766,0.0019049166298105023,0.0020508453893243375,0.00050130448882042592,outcome_fit_shift,8c9b3cdf069b547167775e04804da1cc4a9706ee4bd5e5f3fc6c594de1c0ab35
