model,left_q,left_term,right_q,right_term,hac_covariance
Past price and calendar,12,forecast_fit_shift,12,outcome_fit_shift,-1.2956838441145659e-06
Past price and calendar,12,forecast_fit_shift,12,forecast_fit_shift,2.7861647356743528e-06
Past price and calendar,12,forecast_fit_shift,12,joint_fit_shift,-6.0143300981220861e-08
Past price and calendar,12,forecast_fit_shift,16,outcome_fit_shift,-1.4916371191225287e-06
Past price and calendar,12,forecast_fit_shift,16,forecast_fit_shift,3.3807186891776885e-06
Past price and calendar,12,forecast_fit_shift,16,joint_fit_shift,-3.7246570993833674e-08
Past price and calendar,12,forecast_fit_shift,24,outcome_fit_shift,-1.3084849230527402e-06
Past price and calendar,12,forecast_fit_shift,24,forecast_fit_shift,3.4555422243250481e-06
Past price and calendar,12,forecast_fit_shift,24,joint_fit_shift,-1.341520991555074e-07
Past price and calendar,12,forecast_fit_shift,32,outcome_fit_shift,-1.2363824895830569e-06
Past price and calendar,12,forecast_fit_shift,32,forecast_fit_shift,3.5534339690380208e-06
Past price and calendar,12,forecast_fit_shift,32,joint_fit_shift,-2.3486989101907326e-07
Past price and calendar,12,joint_fit_shift,8,outcome_fit_shift,3.1842576899408287e-07
Past price and calendar,12,joint_fit_shift,8,forecast_fit_shift,-3.0085788968520664e-07
Past price and calendar,12,joint_fit_shift,8,joint_fit_shift,3.7483505229855813e-07
Past price and calendar,12,joint_fit_shift,12,outcome_fit_shift,2.9469829552836033e-07
Past price and calendar,12,joint_fit_shift,12,forecast_fit_shift,-6.0143300981220861e-08
Past price and calendar,12,joint_fit_shift,12,joint_fit_shift,3.7467439443384526e-07
Past price and calendar,12,joint_fit_shift,16,outcome_fit_shift,2.1987045303871533e-07
Past price and calendar,12,joint_fit_shift,16,forecast_fit_shift,-6.1938900277323962e-07
Past price and calendar,12,joint_fit_shift,16,joint_fit_shift,4.6932365589591347e-07
Past price and calendar,12,joint_fit_shift,24,outcome_fit_shift,2.5381144075349097e-07
Past price and calendar,12,joint_fit_shift,24,forecast_fit_shift,-6.0851061261722289e-07
Past price and calendar,12,joint_fit_shift,24,joint_fit_shift,4.3664106028219851e-07
Past price and calendar,12,joint_fit_shift,32,outcome_fit_shift,2.5550015423793193e-07
Past price and calendar,12,joint_fit_shift,32,forecast_fit_shift,-6.8584222530638551e-07
Past price and calendar,12,joint_fit_shift,32,joint_fit_shift,4.5184281167562533e-07
Past price and calendar,16,outcome_fit_shift,8,outcome_fit_shift,2.3619075421942397e-06
Past price and calendar,16,outcome_fit_shift,8,forecast_fit_shift,-2.0616061873807947e-06
Past price and calendar,16,outcome_fit_shift,8,joint_fit_shift,3.0973115876710681e-08
Past price and calendar,16,outcome_fit_shift,12,outcome_fit_shift,1.8590138519746618e-06
Past price and calendar,16,outcome_fit_shift,12,forecast_fit_shift,-1.4916371191225287e-06
Past price and calendar,16,outcome_fit_shift,12,joint_fit_shift,2.1987045303871533e-07
Past price and calendar,16,outcome_fit_shift,16,outcome_fit_shift,1.9881213369000576e-06
Past price and calendar,16,outcome_fit_shift,16,forecast_fit_shift,-3.0316850079176285e-06
Past price and calendar,16,outcome_fit_shift,16,joint_fit_shift,3.3330907684834272e-07
Past price and calendar,16,outcome_fit_shift,24,outcome_fit_shift,1.8307512699321433e-06
Past price and calendar,16,outcome_fit_shift,24,forecast_fit_shift,-3.1287231919063496e-06
Past price and calendar,16,outcome_fit_shift,24,joint_fit_shift,3.923342146877789e-07
Past price and calendar,16,outcome_fit_shift,32,outcome_fit_shift,1.7387210619734914e-06
Past price and calendar,16,outcome_fit_shift,32,forecast_fit_shift,-3.2425430198031683e-06
Past price and calendar,16,outcome_fit_shift,32,joint_fit_shift,5.0242568624766508e-07
Past price and calendar,16,forecast_fit_shift,8,outcome_fit_shift,-3.7624876851651791e-06
