baseline,candidate,weight,convex_weight,calibration_loss
seasonal_day,persistence,0.70000000000000007,0.70000000000000007,0.027559544271042982
seasonal_day,seasonal_day,0,0,0.060667280627951188
seasonal_day,seasonal_week,0.65000000000000002,0.65000000000000002,0.036359726898714119
seasonal_day,ridge_full,0.95000000000000007,0.95000000000000007,0.024973152770841518
seasonal_day,hist_gradient_boosting,1,1,0.020924084095155636
seasonal_day,extra_trees,1.1000000000000001,1,0.019787957190584998
seasonal_day,category_copy,0.050000000000000003,0.050000000000000003,0.060590249709049922
seasonal_day,independent_noise,0.15000000000000002,0.15000000000000002,0.056699617235525065
ridge,persistence,0.050000000000000003,0.050000000000000003,0.022379135072647709
ridge,seasonal_day,0,0,0.02239671889442043
ridge,seasonal_week,0.10000000000000001,0.10000000000000001,0.022258572709113848
ridge,ridge_full,0,0,0.02239671889442043
ridge,hist_gradient_boosting,0.65000000000000002,0.65000000000000002,0.020367838034381042
ridge,extra_trees,1,1,0.02001891470320994
ridge,category_copy,0.050000000000000003,0.050000000000000003,0.022331146797661062
ridge,independent_noise,0,0,0.02239671889442043
