domain,model,configuration,evaluation_rows,family_size,beta,lag,frequency,calendar_direction,mean_product,standard_error,statistic,raw_statistic,standard_error_abstain,calendar_gaps,observed_groups,original_policy_abstain,original_guard_reason,forecast_pooled_fallback_rows,outcome_pooled_fallback_rows,forecast_unseen_entity_rows,outcome_unseen_entity_rows,cohort_sha256,guard_reason,normal_p_one_sided,guarded_p,BY_adjusted_p,final_label
electricity,lasso_lag,directional_middle,21024,11,2,14,D,True,0.01572727690025872,0.0026810072198160994,5.8661822258492515,5.8661822258492515,False,0,438,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,2.2297184346453089e-09,2.2297184346453089e-09,7.513349503778172e-09,RETAIN
electricity,lasso_lag,directional_all,34992,11,2,14,D,True,0.012661121941425039,0.0018305708107002139,6.9164884895012708,6.9164884895012708,False,0,729,False,none,7008,6960,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,2.3148800822857862e-12,2.3148800822857862e-12,8.5441325647365713e-12,RETAIN
electricity,linear_lag,complementary_all,34992,11,2,14,D,True,0.014161779694399993,0.00169475250033349,8.3562524271911478,8.3562524271911478,False,0,729,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,3.2371048413929353e-17,3.2371048413929353e-17,1.2427985414426743e-16,RETAIN
electricity,linear_lag,complementary_middle,21024,11,2,14,D,True,0.015942130061542523,0.002571929206312662,6.1985104498263102,6.1985104498263102,False,0,438,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,2.850001098340208e-10,2.850001098340208e-10,1.0519243471920508e-09,RETAIN
electricity,linear_lag,directional_middle,21024,11,2,14,D,True,0.015693470260682522,0.0026763252236162455,5.8638128588413982,5.8638128588413982,False,0,438,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,2.2617864736439648e-09,2.2617864736439648e-09,7.513349503778172e-09,RETAIN
electricity,linear_lag,directional_all,34992,11,2,14,D,True,0.012640515847322552,0.0018271426122149306,6.9181878649303936,6.9181878649303936,False,0,729,False,none,7008,6960,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,2.2872869950196727e-12,2.2872869950196727e-12,8.5441325647365713e-12,RETAIN
electricity,naive_1,complementary_all,34992,11,2,14,D,True,0.018772741766643744,0.0020707815334970753,9.0655346606944516,9.0655346606944516,False,0,729,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,6.1997315627357857e-20,6.1997315627357857e-20,5.1486679449223741e-19,RETAIN
electricity,naive_1,complementary_middle,21024,11,2,14,D,True,0.02084333225889972,0.0029893254887660365,6.9725870726454877,6.9725870726454877,False,0,438,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,1.5558247330350596e-12,1.5558247330350596e-12,1.3485960185243026e-11,RETAIN
electricity,naive_1,directional_middle,21024,11,2,14,D,True,0.01975021574513294,0.0029940234750669144,6.5965467236997988,6.5965467236997988,False,0,438,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,2.1042245723061055e-11,2.1042245723061055e-11,1.2167755375141349e-10,RETAIN
electricity,naive_1,directional_all,34992,11,2,14,D,True,0.016488680309600531,0.0021642748292252296,7.6185704730961428,7.6185704730961428,False,0,729,False,none,7008,6960,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,1.2825021883633718e-14,1.2825021883633718e-14,7.2235527391853737e-14,RETAIN
electricity,ridge_lag,complementary_all,34992,11,2,14,D,True,0.015082634535626844,0.0017677621808969222,8.5320495588237204,8.5320495588237204,False,0,729,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,7.1888717614481126e-18,7.1888717614481126e-18,3.411494580626887e-17,RETAIN
electricity,ridge_lag,complementary_middle,21024,11,2,14,D,True,0.017215283900690125,0.0026500660424355958,6.4961716519593136,6.4961716519593136,False,0,438,False,none,0,0,0,0,12553db517213f4038de753151e273c5d0296e4b05e46c006a0a610e90696384,no_guard,4.1194824460790416e-11,4.1194824460790416e-11,2.2807274804479008e-10,RETAIN
