baseline,method,week,start,mse,mae
seasonal_24h,augment__persistence_1h,11,2018-11-24 00:00:00,43599.85634885622,153.36466192128506
seasonal_24h,gated__persistence_1h,0,2018-09-08 00:00:00,123582.47857186744,254.80931674521278
seasonal_24h,gated__persistence_1h,1,2018-09-15 00:00:00,738105.0102376825,702.4722182775482
seasonal_24h,gated__persistence_1h,2,2018-09-22 00:00:00,370511.82136194134,435.47807872266753
seasonal_24h,gated__persistence_1h,3,2018-09-29 00:00:00,1020798.1436144083,881.7510930427161
seasonal_24h,gated__persistence_1h,4,2018-10-06 00:00:00,470289.19431684486,516.0022962153325
seasonal_24h,gated__persistence_1h,5,2018-10-13 00:00:00,89790.71292540307,217.18030556113337
seasonal_24h,gated__persistence_1h,6,2018-10-20 00:00:00,152929.98279385825,290.93002875504203
seasonal_24h,gated__persistence_1h,7,2018-10-27 00:00:00,94161.03819114513,230.46390296143232
seasonal_24h,gated__persistence_1h,8,2018-11-03 00:00:00,656623.6300204407,706.341748650623
seasonal_24h,gated__persistence_1h,9,2018-11-10 00:00:00,101537.565740493,227.97186921538088
seasonal_24h,gated__persistence_1h,10,2018-11-17 00:00:00,75946.84414798352,204.3517179070674
seasonal_24h,gated__persistence_1h,11,2018-11-24 00:00:00,112695.63630180356,245.60401022401916
seasonal_24h,direct__seasonal_24h,0,2018-09-08 00:00:00,96720.72619047618,173.54761904761904
seasonal_24h,direct__seasonal_24h,1,2018-09-15 00:00:00,669887.8869047619,540.8154761904761
seasonal_24h,direct__seasonal_24h,2,2018-09-22 00:00:00,437871.10714285716,421.6309523809524
seasonal_24h,direct__seasonal_24h,3,2018-09-29 00:00:00,1738834.119047619,1094.8333333333333
seasonal_24h,direct__seasonal_24h,4,2018-10-06 00:00:00,756066.0535714285,606.2678571428571
seasonal_24h,direct__seasonal_24h,5,2018-10-13 00:00:00,73967.51190476191,143.97619047619048
seasonal_24h,direct__seasonal_24h,6,2018-10-20 00:00:00,174038.54761904763,266.5952380952381
seasonal_24h,direct__seasonal_24h,7,2018-10-27 00:00:00,120170.17857142857,197.85714285714286
seasonal_24h,direct__seasonal_24h,8,2018-11-03 00:00:00,709155.125,653.3511904761905
seasonal_24h,direct__seasonal_24h,9,2018-11-10 00:00:00,158881.16666666666,236.9404761904762
seasonal_24h,direct__seasonal_24h,10,2018-11-17 00:00:00,60247.98809523809,138.39285714285714
seasonal_24h,direct__seasonal_24h,11,2018-11-24 00:00:00,85455.82738095238,167.55357142857142
seasonal_24h,convex__seasonal_24h,0,2018-09-08 00:00:00,101709.36222897234,217.76186197813036
seasonal_24h,convex__seasonal_24h,1,2018-09-15 00:00:00,628875.811569299,625.7312937425496
seasonal_24h,convex__seasonal_24h,2,2018-09-22 00:00:00,373618.25023416424,421.341048131853
seasonal_24h,convex__seasonal_24h,3,2018-09-29 00:00:00,1065775.655045468,881.1572675006911
seasonal_24h,convex__seasonal_24h,4,2018-10-06 00:00:00,471405.19886969205,499.23802583891893
seasonal_24h,convex__seasonal_24h,5,2018-10-13 00:00:00,77171.48438884548,187.59982956736425
seasonal_24h,convex__seasonal_24h,6,2018-10-20 00:00:00,151089.39545983466,277.7823373060452
seasonal_24h,convex__seasonal_24h,7,2018-10-27 00:00:00,90695.81792666281,213.481059958603
