baseline,candidate,gate,t_frozen,predicted_gain_select,theta_confirm,v_confirm,gain_confirm,quadratic_identity,confirm_oracle_gain_diagnostic_only,oracle_coefficient_diagnostic_only
seasonal_24h,persistence_1h,False,0.6431126112319209,89603.98062785882,304346.67304606416,368735.38853464543,238951.6853766897,238951.6853766897,251201.5398421811,0.8253796150554953
seasonal_24h,seasonal_24h,False,0.0,0.0,-7.738874685692298e-11,4.7965602971258985e-25,0.0,-0.0,0.0,0.0
seasonal_24h,seasonal_168h,False,0.32794769671770213,23299.364214615358,104894.08016663343,348588.1827574188,31308.992365375554,31308.992365375547,31563.801064538395,0.3009111764400483
seasonal_24h,ridge_lags_calendar,False,1.0015647789609745,122420.40741396826,270174.7536117645,265415.01625153725,274948.7369682755,274948.7369682757,275019.8482364688,1.0179331879086917
seasonal_24h,hist_gradient_boosting,False,1.0505457341529274,131425.80299321565,275813.28666307306,253450.2320375508,299789.5226076211,299789.5226076211,300149.53424313955,1.0882345005003151
seasonal_24h,mirror_ridge_control,False,0.0,0.0,-270174.7536117644,265415.01625153713,0.0,-0.0,0.0,0.0
seasonal_24h,exact_baseline_copy,False,0.0,0.0,-7.738874685692298e-11,4.7965602971258985e-25,0.0,-0.0,0.0,0.0
seasonal_24h,noise_control,False,0.0,0.0,-1837.2417767459128,10454.10105417408,0.0,-0.0,0.0,0.0
ridge_lags_calendar,persistence_1h,False,0.0,0.0,3325.3733059629762,50234.97789457569,0.0,0.0,220.12764984624738,0.066196372434794
ridge_lags_calendar,seasonal_24h,False,0.0312612693278478,152.22425232491963,-13172.539766740194,297443.959857821,-1114.2627811768168,-1114.2627811768173,0.0,0.0
ridge_lags_calendar,seasonal_168h,False,0.0,0.0,-23492.001510655093,311715.71760169667,0.0,-0.0,0.0,0.0
ridge_lags_calendar,ridge_lags_calendar,False,0.0,0.0,-1.3777667926766538e-11,1.4373788975401977e-24,0.0,-0.0,0.0,0.0
ridge_lags_calendar,hist_gradient_boosting,True,0.7869887315242368,13808.813380701065,24468.231375660314,25964.281286031186,22431.434324374408,22431.434324374404,23058.38317099677,0.9423804613002807
ridge_lags_calendar,mirror_ridge_control,False,0.0,0.0,-1.3777667926766538e-11,1.4373788975401977e-24,0.0,-0.0,0.0,0.0
ridge_lags_calendar,exact_baseline_copy,False,0.0,0.0,-1.3777667926766538e-11,1.4373788975401977e-24,0.0,-0.0,0.0,0.0
ridge_lags_calendar,noise_control,False,0.03394347303018597,11.17987275097712,-206.94210192611212,10510.531453634403,-26.158474518156808,-26.158474518156574,0.0,0.0
