baseline,candidate,guard,theta_select,v_select,t,alpha,p_raw,moment_se,blocks,predicted_gain,mse_baseline_select,mse_augment_select,mse_convex_select,p_by,gate
seasonal_24h,persistence_1h,False,139328.60134124412,216647.28526214376,0.6431126112319209,0.638473813740176,0.008090257292258077,44249.01186014883,8,89603.98062785882,161641.01641036704,72037.03578250819,74893.41368314314,0.10940386956247669,False
seasonal_24h,seasonal_24h,True,-3.722258947172336e-11,4.278342041700145e-25,0.0,0.2946257586878206,1.0,9.162426720498987e-12,8,0.0,161641.01641036704,161641.01641036704,156904.13878794908,1.0,False
seasonal_24h,seasonal_168h,False,71045.9760742625,216638.1309743394,0.32794769671770213,0.3454277514215375,0.013852011025750153,25650.669261160594,8,23299.364214615358,161641.01641036704,138341.65219575167,135797.801560869,0.14985566492569996,False
seasonal_24h,ridge_lags_calendar,False,122229.14581817409,122038.18303692235,1.0015647789609745,1.0,0.006575418125114144,37057.85372623216,8,122420.40741396826,161641.01641036704,39220.60899639877,38771.708568308866,0.10940386956247669,False
seasonal_24h,hist_gradient_boosting,False,125102.40984338152,119083.2590874815,1.0505457341529274,1.0,0.006677383480230474,38057.966580496846,8,131425.80299321565,161641.01641036704,30215.2134171514,32179.826614384107,0.10940386956247669,False
seasonal_24h,mirror_ridge_control,False,-122229.14581817403,122038.18303692226,0.0,0.0,0.9934245818748858,37057.85372623217,8,0.0,161641.01641036704,161641.01641036704,161641.01641036704,1.0,False
seasonal_24h,exact_baseline_copy,True,-3.722258947172336e-11,4.278342041700145e-25,0.0,0.2946257586878206,1.0,9.162426720498987e-12,8,0.0,161641.01641036704,161641.01641036704,156904.13878794908,1.0,False
seasonal_24h,noise_control,False,-107.88293335895992,9670.784749233586,0.0,0.2479852730095291,0.5617780824834574,668.9980406101063,8,0.0,161641.01641036704,161641.01641036704,157610.55925688925,1.0,False
ridge_lags_calendar,persistence_1h,False,-5870.5205230350175,52704.959037635985,0.0,0.0,0.9680870204261189,2669.6422047769383,8,0.0,38297.16855239122,38297.16855239122,38297.16855239122,1.0,False
ridge_lags_calendar,seasonal_24h,False,4869.420071478575,155765.27045051413,0.0312612693278478,0.04104125661407075,0.13155243085788002,4001.783121521609,8,152.22425232491963,38297.16855239122,38144.9443000663,38029.701229133214,1.0,False
ridge_lags_calendar,seasonal_168h,False,-766.9442170926086,178246.42780522857,0.0,0.001599765793306021,0.5325074884591119,9070.694955965331,8,0.0,38297.16855239122,38297.16855239122,38296.67996251354,1.0,False
ridge_lags_calendar,ridge_lags_calendar,True,8.099500076421762e-12,1.1773260667958464e-24,0.0,0.27818180336570325,1.0,4.660772323657507e-12,8,0.0,38297.16855239122,38297.16855239122,38214.39280494453,1.0,False
ridge_lags_calendar,hist_gradient_boosting,False,17546.39275959671,22295.608636750014,0.7869887315242368,0.5924366385662876,3.449185353948948e-05,2099.9871916026987,8,13808.813380701065,38297.16855239122,24488.355171690153,26683.41956512995,0.0018657217486585628,True
ridge_lags_calendar,mirror_ridge_control,True,8.099500076421762e-12,1.1773260667958464e-24,0.0,0.27818180336570325,1.0,4.660772323657507e-12,8,0.0,38297.16855239122,38297.16855239122,38214.39280494453,1.0,False
ridge_lags_calendar,exact_baseline_copy,True,8.099500076421762e-12,1.1773260667958464e-24,0.0,0.27818180336570325,1.0,4.660772323657507e-12,8,0.0,38297.16855239122,38297.16855239122,38214.39280494453,1.0,False
ridge_lags_calendar,noise_control,False,329.3673791434025,9703.408335690803,0.03394347303018597,0.0634237736387148,0.1960697817988676,361.18540832523007,8,11.17987275097712,38297.16855239122,38285.98867964024,38254.67505042018,1.0,False
