baseline,method,n,mse,rmse,mae,negative_forecast_fraction,relative_mse_gain,meaningful_1pct_gain
seasonal_24h,baseline,2016,333914.33818532265,577.8532150860827,409.4463821898479,0.0,0.0,False
seasonal_24h,raw_baseline,2016,423441.3531746032,650.7237149317698,386.81349206349205,0.0,-0.2681137188532259,False
seasonal_24h,direct__persistence_1h,2016,98308.99553571429,313.5426534551787,202.59970238095238,0.0,0.7055861809649133,True
seasonal_24h,convex__persistence_1h,2016,97085.82772475432,311.58598769000236,235.87629138460264,0.0,0.7092492995288162,True
seasonal_24h,augment__persistence_1h,2016,94962.65280863292,308.16010904825583,233.14264566227743,0.0,0.7156077414204101,True
seasonal_24h,gated__persistence_1h,2016,333914.33818532265,577.8532150860827,409.4463821898479,0.0,0.0,False
seasonal_24h,direct__seasonal_24h,2016,423441.3531746032,650.7237149317698,386.81349206349205,0.0,-0.2681137188532259,False
seasonal_24h,convex__seasonal_24h,2016,312931.77508132666,559.4030524419103,377.41097494028276,0.0,0.06283816148185484,True
seasonal_24h,augment__seasonal_24h,2016,333914.33818532265,577.8532150860827,409.4463821898479,0.0,0.0,False
seasonal_24h,gated__seasonal_24h,2016,333914.33818532265,577.8532150860827,409.4463821898479,0.0,0.0,False
seasonal_24h,direct__seasonal_168h,2016,458293.7609126984,676.9739735859115,420.56051587301585,0.0,-0.3724890144080759,False
seasonal_24h,convex__seasonal_168h,2016,294775.2927663283,542.9321253769465,377.80073023136305,0.0,0.11721283258364346,True
seasonal_24h,augment__seasonal_168h,2016,302605.345819947,550.0957605907785,387.30756146679136,0.0,0.09376354587085478,True
seasonal_24h,gated__seasonal_168h,2016,333914.33818532265,577.8532150860827,409.4463821898479,0.0,0.0,False
seasonal_24h,direct__ridge_lags_calendar,2016,59688.913466810896,244.31314632416098,154.95438621765075,0.036210317460317464,0.8212448324585465,True
seasonal_24h,convex__ridge_lags_calendar,2016,59688.913466810896,244.31314632416098,154.95438621765075,0.036210317460317464,0.8212448324585465,True
seasonal_24h,augment__ridge_lags_calendar,2016,58965.601217047086,242.82833693176562,158.92546134215428,0.030753968253968252,0.8234109935575119,True
seasonal_24h,gated__ridge_lags_calendar,2016,333914.33818532265,577.8532150860827,409.4463821898479,0.0,0.0,False
seasonal_24h,direct__hist_gradient_boosting,2016,40231.10559824449,200.57693186965565,122.53762483002761,0.03670634920634921,0.8795166873729268,True
seasonal_24h,convex__hist_gradient_boosting,2016,40231.10559824449,200.57693186965565,122.53762483002762,0.03670634920634921,0.8795166873729268,True
seasonal_24h,augment__hist_gradient_boosting,2016,34124.81557770155,184.729032850014,119.07505491122775,0.0441468253968254,0.8978036829351058,True
seasonal_24h,gated__hist_gradient_boosting,2016,333914.33818532265,577.8532150860827,409.4463821898479,0.0,0.0,False
seasonal_24h,direct__mirror_ridge_control,2016,1479136.589286263,1216.1975946721252,737.5722177079216,0.1840277777777778,-3.4296887558788853,False
seasonal_24h,convex__mirror_ridge_control,2016,333914.33818532265,577.8532150860827,409.4463821898479,0.0,0.0,False
seasonal_24h,augment__mirror_ridge_control,2016,333914.33818532265,577.8532150860827,409.4463821898479,0.0,0.0,False
seasonal_24h,gated__mirror_ridge_control,2016,333914.33818532265,577.8532150860827,409.4463821898479,0.0,0.0,False
seasonal_24h,direct__exact_baseline_copy,2016,423441.3531746032,650.7237149317698,386.81349206349205,0.0,-0.2681137188532259,False
seasonal_24h,convex__exact_baseline_copy,2016,312931.77508132666,559.4030524419103,377.41097494028276,0.0,0.06283816148185484,True
seasonal_24h,augment__exact_baseline_copy,2016,333914.33818532265,577.8532150860827,409.4463821898479,0.0,0.0,False
seasonal_24h,gated__exact_baseline_copy,2016,333914.33818532265,577.8532150860827,409.4463821898479,0.0,0.0,False
seasonal_24h,direct__noise_control,2016,436601.78448608756,660.7584918002095,410.2813562982146,0.08333333333333333,-0.30752631605706404,False
seasonal_24h,convex__noise_control,2016,314819.2356002485,561.0875471798038,382.3997693007788,0.0,0.05718563236561691,True
seasonal_24h,augment__noise_control,2016,333914.33818532265,577.8532150860827,409.4463821898479,0.0,0.0,False
seasonal_24h,gated__noise_control,2016,333914.33818532265,577.8532150860827,409.4463821898479,0.0,0.0,False
seasonal_24h,selected_augment,2016,34124.81557770155,184.729032850014,119.07505491122775,0.0441468253968254,0.8978036829351058,True
seasonal_24h,selected_convex,2016,40231.10559824449,200.57693186965565,122.53762483002762,0.03670634920634921,0.8795166873729268,True
seasonal_24h,selected_gated,2016,333914.33818532265,577.8532150860827,409.4463821898479,0.0,0.0,False
ridge_lags_calendar,baseline,2016,53554.470387426954,231.418388179131,150.6655923227165,0.0,0.0,False
ridge_lags_calendar,raw_baseline,2016,59688.913466810896,244.31314632416098,154.95438621765075,0.036210317460317464,-0.11454586395880284,False
ridge_lags_calendar,direct__persistence_1h,2016,98308.99553571429,313.5426534551787,202.59970238095238,0.0,-0.8356823403260545,False
