categories,validation_pairs,mass,fit_error,method,repetitions,noncoverage,median_slack,mean_slack,negative_upper
8,8192,balanced,exact,aggregate,2000,0,0.0013826429651378055,0.0013976382335783616,0
8,8192,balanced,same_direction,rectangle,2000,0,0.008780140999787772,0.008795174664455221,0
8,8192,balanced,same_direction,aggregate,2000,0,0.0030914927497208812,0.0030966068716813443,0
8,8192,balanced,opposite_direction,rectangle,2000,0,0.013705519703275092,0.013706110728896867,2000
8,8192,balanced,opposite_direction,aggregate,2000,0,0.007512005110399074,0.007499115663774804,2000
8,8192,one_heavy,exact,rectangle,2000,0,0.0038409107481273013,0.003858215492142107,0
8,8192,one_heavy,exact,aggregate,2000,0,0.001402694934930056,0.0014161962772981007,0
8,8192,one_heavy,same_direction,rectangle,2000,0,0.007671445609633042,0.007695525819628014,0
8,8192,one_heavy,same_direction,aggregate,2000,0,0.0030670430411041238,0.003087006096397587,0
8,8192,one_heavy,opposite_direction,rectangle,2000,0,0.010470489447308225,0.010452660784564792,2000
8,8192,one_heavy,opposite_direction,aggregate,2000,0,0.007515332868480927,0.007504906047009513,2000
32,512,balanced,exact,rectangle,2000,0,0.24715229052881715,0.24697688599224313,0
32,512,balanced,exact,aggregate,2000,0,0.051335879888073824,0.05218602919958404,0
32,512,balanced,same_direction,rectangle,2000,0,0.2587579915408593,0.2588434620718551,0
32,512,balanced,same_direction,aggregate,2000,0,0.05312914474671721,0.0538735911541668,0
32,512,balanced,opposite_direction,rectangle,2000,0,0.24722921019964347,0.2472757100024292,0
32,512,balanced,opposite_direction,aggregate,2000,0,0.0649258475661885,0.06545943118007838,0
32,512,one_heavy,exact,rectangle,2000,0,0.10901878160097518,0.10921223252517333,0
32,512,one_heavy,exact,aggregate,2000,0,0.06689461727866063,0.06712268749698035,0
32,512,one_heavy,same_direction,rectangle,2000,0,0.1307864492133738,0.1308843232791394,0
32,512,one_heavy,same_direction,aggregate,2000,0,0.07095022854846318,0.07132430212398773,0
32,512,one_heavy,opposite_direction,rectangle,2000,0,0.11448898325506832,0.11438833507033205,0
32,512,one_heavy,opposite_direction,aggregate,2000,0,0.07927385310075097,0.07947227128720893,0
32,2048,balanced,exact,rectangle,2000,0,0.0749326958108261,0.07493965716975177,0
32,2048,balanced,exact,aggregate,2000,0,0.010892470313021773,0.010941126104196272,0
32,2048,balanced,same_direction,rectangle,2000,0,0.08805589321019043,0.08812605653071068,0
32,2048,balanced,same_direction,aggregate,2000,0,0.012450461724580156,0.012541455445554616,0
32,2048,balanced,opposite_direction,rectangle,2000,0,0.07491290772855666,0.07497566187434203,0
32,2048,balanced,opposite_direction,aggregate,2000,0,0.02017682675722834,0.020118132425743798,1847
32,2048,one_heavy,exact,rectangle,2000,0,0.0660716595976037,0.066146280916395,0
32,2048,one_heavy,exact,aggregate,2000,0,0.012252107212891276,0.012399020660586913,0
32,2048,one_heavy,same_direction,rectangle,2000,0,0.07911108073237705,0.07911605091668053,0
32,2048,one_heavy,same_direction,aggregate,2000,0,0.013804948863401717,0.013919703626850112,0
