candidate,method,census_theta,census_fitted_moment,exact_learning_bias,signed_allowance,absolute_allowance,signed_bias_covered,confidence_lower_bound,observed_lower_covers,p,p_by,by_retain
hist_gradient_boosting,grouped_full_u_absolute_range,0.078218654707913365,0.078280744786709086,6.2090078795718631e-05,0.004276554345647679,0.004276554345647679,True,0.050503337329764961,True,0.00010000000013800903,0.00027500000078671603,True
hist_gradient_boosting,grouped_full_u_signed_range,0.078218654707913365,0.078280744786709086,6.2090078795718631e-05,0.004276554345647679,0.004276554345647679,True,0.050503337329764961,True,0.00010000000013800903,0.00027500000078671603,True
hist_gradient_boosting,grouped_full_u_signed_variance,0.078218654707913365,0.078280744786709086,6.2090078795718631e-05,0.004276554345647679,0.004276554345647679,True,0.070491736600086466,True,0.0001,0.00027500000000000002,True
hist_gradient_boosting,pooled_full_u_signed_range,0.078218654707913365,0.078280744786709086,6.2090078795718631e-05,0.004276554345647679,0.004276554345647679,True,0.050514724833499794,True,0.0001000000001367581,0.00027500000077258676,True
hist_gradient_boosting,pooled_full_u_signed_variance,0.078218654707913365,0.078280744786709086,6.2090078795718631e-05,0.004276554345647679,0.004276554345647679,True,0.070503124103821299,True,0.0001,0.00027500000000000002,True
hist_gradient_boosting,independent_triples_signed_range,0.078218654707913365,0.078280744786709086,6.2090078795718631e-05,0.004276554345647679,0.004276554345647679,True,0.050347470641422989,True,0.00010000000015630516,0.00027500000092688136,True
hist_gradient_boosting,independent_triples_signed_bernstein,0.078218654707913365,0.078280744786709086,6.2090078795718631e-05,0.004276554345647679,0.004276554345647679,True,0.070335508429150304,True,0.0001,0.00027500000000000002,True
seasonal_7d,grouped_full_u_absolute_range,0.077413863685297318,0.077477819191684241,6.3955506386904258e-05,0.0044523757483790937,0.0044523757483790937,True,0.049515451112460834,True,0.00010000000028607857,0.00027500000078671603,True
seasonal_7d,grouped_full_u_signed_range,0.077413863685297318,0.077477819191684241,6.3955506386904258e-05,0.0044523757483790937,0.0044523757483790937,True,0.049515451112460834,True,0.00010000000028607857,0.00027500000078671603,True
seasonal_7d,grouped_full_u_signed_variance,0.077413863685297318,0.077477819191684241,6.3955506386904258e-05,0.0044523757483790937,0.0044523757483790937,True,0.069395000225009468,True,0.0001,0.00027500000000000002,True
seasonal_7d,pooled_full_u_signed_range,0.077413863685297318,0.077477819191684241,6.3955506386904258e-05,0.0044523757483790937,0.0044523757483790937,True,0.049538365824421352,True,0.00010000000028094065,0.00027500000077258676,True
seasonal_7d,pooled_full_u_signed_variance,0.077413863685297318,0.077477819191684241,6.3955506386904258e-05,0.0044523757483790937,0.0044523757483790937,True,0.069417914936969985,True,0.0001,0.00027500000000000002,True
seasonal_7d,independent_triples_signed_range,0.077413863685297318,0.077477819191684241,6.3955506386904258e-05,0.0044523757483790937,0.0044523757483790937,True,0.049307814981568665,True,0.00010000000033704776,0.00027500000092688136,True
seasonal_7d,independent_triples_signed_bernstein,0.077413863685297318,0.077477819191684241,6.3955506386904258e-05,0.0044523757483790937,0.0044523757483790937,True,0.069187003125478486,True,0.0001,0.00027500000000000002,True
categorical_copy_control,grouped_full_u_absolute_range,-3.2256414351349471e-28,-1.4627543666034777e-05,-1.462754366665578e-05,0.0040808151912994682,0.0047988212370696642,True,-0.036609865744971382,True,1,1,False
categorical_copy_control,grouped_full_u_signed_range,-3.2256414351349471e-28,-1.4627543666034777e-05,-1.462754366665578e-05,0.0040808151912994682,0.0047988212370696642,True,-0.035891859699201188,True,1,1,False
categorical_copy_control,grouped_full_u_signed_variance,-3.2256414351349471e-28,-1.4627543666034777e-05,-1.462754366665578e-05,0.0040808151912994682,0.0047988212370696642,True,-0.0079353153655590293,True,1,1,False
categorical_copy_control,pooled_full_u_signed_range,-3.2256414351349471e-28,-1.4627543666034777e-05,-1.462754366665578e-05,0.0040808151912994682,0.0047988212370696642,True,-0.035899959102448552,True,1,1,False
categorical_copy_control,pooled_full_u_signed_variance,-3.2256414351349471e-28,-1.4627543666034777e-05,-1.462754366665578e-05,0.0040808151912994682,0.0047988212370696642,True,-0.0079434147688063964,True,1,1,False
categorical_copy_control,independent_triples_signed_range,-3.2256414351349471e-28,-1.4627543666034777e-05,-1.462754366665578e-05,0.0040808151912994682,0.0047988212370696642,True,-0.03591836739830899,True,1,1,False
categorical_copy_control,independent_triples_signed_bernstein,-3.2256414351349471e-28,-1.4627543666034777e-05,-1.462754366665578e-05,0.0040808151912994682,0.0047988212370696642,True,-0.0079623109210654845,True,1,1,False
