candidate,method,primary,computational_seconds,training_queries,validation_pair_queries,evaluation_queries,total_queries,unique_archive_rows_queried,archive_census_rows,query_to_census_ratio,unique_to_census_ratio,feature_archive_construction_already_accessed_full_archive,mean,bias_upper,kernel_lower,kernel_upper,effective_triples,delta,alpha,radius,lower_bound,p,reject,kernel_sample_variance,bound,p_by,by_retain
hist_gradient_boosting,grouped_full_u_absolute_range,False,0.35686279833316803,4096,16384,12288,32768,26140,70080,0.46757990867579907,0.37300228310502281,True,0.07834742466230156,0.004276554345647679,-0.25100022355100526,0.98100494158873286,4096,0.0001,0.050000000000000003,0.02356753298688892,0.050503337329764961,0.00010000000013800903,True,,range,0.00027500000078671603,True
hist_gradient_boosting,grouped_full_u_signed_range,False,0.35686279833316803,4096,16384,12288,32768,26140,70080,0.46757990867579907,0.37300228310502281,True,0.07834742466230156,0.004276554345647679,-0.25100022355100526,0.98100494158873286,4096,0.0001,0.050000000000000003,0.02356753298688892,0.050503337329764961,0.00010000000013800903,True,,range,0.00027500000078671603,True
hist_gradient_boosting,grouped_full_u_signed_variance,False,0.35732358321547508,4096,16384,12288,32768,26140,70080,0.46757990867579907,0.37300228310502281,True,0.07834742466230156,0.004276554345647679,-0.25100022355100526,0.98100494158873286,4096,0.0001,0.050000000000000003,0.0035791337165674191,0.070491736600086466,0.0001,True,0.00054219934495335488,variance,0.00027500000000000002,True
hist_gradient_boosting,pooled_full_u_signed_range,False,0.32799611985683441,4096,16384,12288,32768,26140,70080,0.46757990867579907,0.37300228310502281,True,0.078358812166036393,0.004276554345647679,-0.25100022355100526,0.98100494158873286,4096,0.0001,0.050000000000000003,0.02356753298688892,0.050514724833499794,0.0001000000001367581,True,,range,0.00027500000077258676,True
hist_gradient_boosting,pooled_full_u_signed_variance,True,0.32845690473914146,4096,16384,12288,32768,26140,70080,0.46757990867579907,0.37300228310502281,True,0.078358812166036393,0.004276554345647679,-0.25100022355100526,0.98100494158873286,4096,0.0001,0.050000000000000003,0.0035791337165674191,0.070503124103821299,0.0001,True,0.00054219934495335488,variance,0.00027500000000000002,True
hist_gradient_boosting,independent_triples_signed_range,False,0.00046078488230705261,4096,16384,12288,32768,26140,70080,0.46757990867579907,0.37300228310502281,True,0.078191557973959588,0.004276554345647679,-0.25100022355100526,0.98100494158873286,4096,0.0001,0.050000000000000003,0.02356753298688892,0.050347470641422989,0.00010000000015630516,True,,range,0.00027500000092688136,True
hist_gradient_boosting,independent_triples_signed_bernstein,False,0.00046078488230705261,4096,16384,12288,32768,26140,70080,0.46757990867579907,0.37300228310502281,True,0.078191557973959588,0.004276554345647679,-0.25100022355100526,0.98100494158873286,4096,0.0001,0.050000000000000003,0.0035794951991616102,0.070335508429150304,0.0001,True,0.00054219934495335488,independent_bernstein,0.00027500000000000002,True
seasonal_7d,grouped_full_u_absolute_range,False,0.33808780089020729,4096,16384,12288,32768,26140,70080,0.46757990867579907,0.37300228310502281,True,0.077501851567307253,0.0044523757483790937,-0.25066114365123604,0.97959235853008753,4096,0.0001,0.050000000000000003,0.023534024706467333,0.049515451112460834,0.00010000000028607857,True,,range,0.00027500000078671603,True
seasonal_7d,grouped_full_u_signed_range,False,0.33808780089020729,4096,16384,12288,32768,26140,70080,0.46757990867579907,0.37300228310502281,True,0.077501851567307253,0.0044523757483790937,-0.25066114365123604,0.97959235853008753,4096,0.0001,0.050000000000000003,0.023534024706467333,0.049515451112460834,0.00010000000028607857,True,,range,0.00027500000078671603,True
seasonal_7d,grouped_full_u_signed_variance,False,0.33840502426028252,4096,16384,12288,32768,26140,70080,0.46757990867579907,0.37300228310502281,True,0.077501851567307253,0.0044523757483790937,-0.25066114365123604,0.97959235853008753,4096,0.0001,0.050000000000000003,0.0036544755939186915,0.069395000225009468,0.0001,True,0.00063235580008487956,variance,0.00027500000000000002,True
seasonal_7d,pooled_full_u_signed_range,False,0.33148602396249771,4096,16384,12288,32768,26140,70080,0.46757990867579907,0.37300228310502281,True,0.077524766279267771,0.0044523757483790937,-0.25066114365123604,0.97959235853008753,4096,0.0001,0.050000000000000003,0.023534024706467333,0.049538365824421352,0.00010000000028094065,True,,range,0.00027500000077258676,True
seasonal_7d,pooled_full_u_signed_variance,True,0.33180324733257294,4096,16384,12288,32768,26140,70080,0.46757990867579907,0.37300228310502281,True,0.077524766279267771,0.0044523757483790937,-0.25066114365123604,0.97959235853008753,4096,0.0001,0.050000000000000003,0.0036544755939186915,0.069417914936969985,0.0001,True,0.00063235580008487956,variance,0.00027500000000000002,True
seasonal_7d,independent_triples_signed_range,False,0.00031722337007522583,4096,16384,12288,32768,26140,70080,0.46757990867579907,0.37300228310502281,True,0.077294215436415084,0.0044523757483790937,-0.25066114365123604,0.97959235853008753,4096,0.0001,0.050000000000000003,0.023534024706467333,0.049307814981568665,0.00010000000033704776,True,,range,0.00027500000092688136,True
seasonal_7d,independent_triples_signed_bernstein,False,0.00031722337007522583,4096,16384,12288,32768,26140,70080,0.46757990867579907,0.37300228310502281,True,0.077294215436415084,0.0044523757483790937,-0.25066114365123604,0.97959235853008753,4096,0.0001,0.050000000000000003,0.0036548365625575121,0.069187003125478486,0.0001,True,0.00063235580008487956,independent_bernstein,0.00027500000000000002,True
categorical_copy_control,grouped_full_u_absolute_range,False,0.07291816920042038,4096,16384,12288,32768,26140,70080,0.46757990867579907,0.37300228310502281,True,-4.3352695374780541e-06,0.0047988212370696642,-0.69991602075851145,0.96279641034586094,4096,0.0001,0.050000000000000003,0.031806709238364241,-0.036609865744971382,1,False,,range,1,False
categorical_copy_control,grouped_full_u_signed_range,False,0.07291816920042038,4096,16384,12288,32768,26140,70080,0.46757990867579907,0.37300228310502281,True,-4.3352695374780541e-06,0.0040808151912994682,-0.69991602075851145,0.96279641034586094,4096,0.0001,0.050000000000000003,0.031806709238364241,-0.035891859699201188,1,False,,range,1,False
categorical_copy_control,grouped_full_u_signed_variance,False,0.073228854686021805,4096,16384,12288,32768,26140,70080,0.46757990867579907,0.37300228310502281,True,-4.3352695374780541e-06,0.0040808151912994682,-0.69991602075851145,0.96279641034586094,4096,0.0001,0.050000000000000003,0.0038501649047220825,-0.0079353153655590293,1,False,6.9479766194303997e-05,variance,1,False
categorical_copy_control,pooled_full_u_signed_range,False,0.07851095125079155,4096,16384,12288,32768,26140,70080,0.46757990867579907,0.37300228310502281,True,-1.243467278484472e-05,0.0040808151912994682,-0.69991602075851145,0.96279641034586094,4096,0.0001,0.050000000000000003,0.031806709238364241,-0.035899959102448552,1,False,,range,1,False
categorical_copy_control,pooled_full_u_signed_variance,True,0.078821636736392975,4096,16384,12288,32768,26140,70080,0.46757990867579907,0.37300228310502281,True,-1.243467278484472e-05,0.0040808151912994682,-0.69991602075851145,0.96279641034586094,4096,0.0001,0.050000000000000003,0.0038501649047220825,-0.0079434147688063964,1,False,6.9479766194303997e-05,variance,1,False
categorical_copy_control,independent_triples_signed_range,False,0.00031068548560142517,4096,16384,12288,32768,26140,70080,0.46757990867579907,0.37300228310502281,True,-3.084296864527956e-05,0.0040808151912994682,-0.69991602075851145,0.96279641034586094,4096,0.0001,0.050000000000000003,0.031806709238364241,-0.03591836739830899,1,False,,range,1,False
categorical_copy_control,independent_triples_signed_bernstein,False,0.00031068548560142517,4096,16384,12288,32768,26140,70080,0.46757990867579907,0.37300228310502281,True,-3.084296864527956e-05,0.0040808151912994682,-0.69991602075851145,0.96279641034586094,4096,0.0001,0.050000000000000003,0.0038506527611207367,-0.0079623109210654845,1,False,6.9479766194303997e-05,independent_bernstein,1,False
