signal,lag,n,calendar_gaps,alpha,alpha_sign,standard_error,statistic,p_two_sided,by_reject,by_adjusted_p
ShareVol,24,738,0,0.44532071591134703,positive,0.12394352179451591,3.5929325668963763,0.0003269772270982555,True,0.0048920991284547135
ShortInterest,6,623,0,1.0834757806105229,positive,0.12071791261892,8.975269345741742,2.826593551225214e-19,True,8.892927001461797e-17
ShortInterest,12,623,0,1.0834757806105229,positive,0.12128772425568365,8.933103389148224,4.142222446299068e-19,True,1.3032111328063776e-16
ShortInterest,24,623,0,1.0834757806105229,positive,0.12190981592436294,8.887518797360409,6.24886515089379e-19,True,1.9659954861493753e-16
Size,6,738,0,0.26285092642414126,positive,0.10873728257740423,2.417302696865096,0.01563600827099642,False,0.14258970154719086
Size,12,738,0,0.26285092642414126,positive,0.1040536924826753,2.526108590215627,0.011533382588075331,False,0.10816307606511626
Size,24,738,0,0.26285092642414126,positive,0.10098952777751617,2.602754287585263,0.009247820604689701,False,0.08952357133414805
SmileSlope,6,324,0,1.2943189527013823,positive,0.156834531824147,8.252767663135923,1.5476775712184316e-16,True,2.7824271589948334e-14
SmileSlope,12,324,0,1.2943189527013823,positive,0.17915002992244736,7.224776648162899,5.01926086941446e-13,True,5.7423338477059146e-11
SmileSlope,24,324,0,1.2943189527013823,positive,0.21329625298611088,6.068174825301146,1.2937203614764811e-09,True,7.752869496977703e-08
Spinoff,6,738,0,0.1487600819648308,positive,0.11098922037090037,1.340311081271757,0.18014423034013272,False,1.0
Spinoff,12,738,0,0.1487600819648308,positive,0.11837651445471675,1.2566688810704663,0.20887356097981902,False,1.0
Spinoff,24,738,0,0.1487600819648308,positive,0.12963884035498557,1.1474962407677065,0.25117658591032455,False,1.0
SurpriseRD,6,738,0,0.27745457741269347,positive,0.06173841206639498,4.49403488243773,6.9886172856368724e-06,True,0.0001441792552802326
SurpriseRD,12,738,0,0.27745457741269347,positive,0.06581489861326165,4.215680389375949,2.490262404914257e-05,True,0.0004748347904020139
SurpriseRD,24,738,0,0.27745457741269347,positive,0.07163656821766705,3.8730858319406134,0.0001074659590084361,True,0.001803229527055951
Tax,6,738,0,0.2106872516625383,positive,0.06492400075222635,3.2451366092887226,0.0011739429126870057,True,0.014205449934990254
Tax,12,738,0,0.2106872516625383,positive,0.06342113709723958,3.3220352284050816,0.000893634104823602,True,0.01159389480505004
Tax,24,738,0,0.2106872516625383,positive,0.05707956620334291,3.691115151645971,0.00022327302234720657,True,0.003602325924040719
TotalAccruals,6,738,0,0.3339033581658278,positive,0.09745247694163266,3.426319870410405,0.0006118194147479072,True,0.0076233039401151625
TotalAccruals,12,738,0,0.3339033581658278,positive,0.10357601409857285,3.2237517640720696,0.001265230252196714,True,0.0155678017193573
TotalAccruals,24,738,0,0.3339033581658278,positive,0.10855462423150028,3.0759017455926676,0.002098669898512597,True,0.025395229913824893
TrendFactor,6,738,0,1.101881543638111,positive,0.1699690982610414,6.482834555878051,9.001518971958158e-11,True,4.531240854785025e-09
TrendFactor,12,738,0,1.101881543638111,positive,0.17505250230953553,6.294577507322436,3.082382336374255e-10,True,1.686553127040253e-08
TrendFactor,24,738,0,1.101881543638111,positive,0.18643707907521517,5.910206001423,3.416801629217357e-09,True,1.869533640986023e-07
UpRecomm,6,373,0,0.35738661785753145,positive,0.06429277519579582,5.558736837368647,2.7173404634035615e-08,True,8.549198864722397e-07
UpRecomm,12,373,0,0.35738661785753145,positive,0.06864815342595444,5.206063091602563,1.9288908726917995e-07,True,5.779625819919823e-06
UpRecomm,24,373,0,0.35738661785753145,positive,0.07955848907886821,4.492124247146594,7.051626182471399e-06,True,0.0001643375759702852
VarCF,6,738,0,-0.3520228969271351,negative,0.16492936134320146,-2.1343858610754625,0.032811208007547284,False,0.27345547792126684
VarCF,12,738,0,-0.3520228969271351,negative,0.1601287713585809,-2.198373808407237,0.027922478579203682,False,0.23742891394800436
VarCF,24,738,0,-0.3520228969271351,negative,0.15623830598383837,-2.2531151673108205,0.024251888382860666,False,0.21342774618209845
VolMkt,6,738,0,0.39245803519781536,positive,0.09774441233864717,4.015145477964487,5.940913854355465e-05,True,0.000996858110113603
VolMkt,12,738,0,0.39245803519781536,positive,0.10318291245654401,3.803517712907173,0.0001426557881730076,True,0.0022440925579991066
VolMkt,24,738,0,0.39245803519781536,positive,0.11314292775785031,3.468692590647452,0.0005229975175471707,True,0.007395217912239536
VolSD,6,738,0,0.35958211176901056,positive,0.09115609667459676,3.9446852694079686,7.99048557201166e-05,True,0.0013059417356325125
VolSD,12,738,0,0.35958211176901056,positive,0.09417471269743345,3.8182448501253594,0.00013440449514907414,True,0.00214105615271352
VolSD,24,738,0,0.35958211176901056,positive,0.094162502796276,3.818739955829122,0.0001341350692940541,True,0.0022211101695946817
VolumeTrend,6,738,0,0.5163625257975303,positive,0.09667703510900272,5.341108415409461,9.237998483882608e-08,True,2.5834896604681353e-06
VolumeTrend,12,738,0,0.5163625257975303,positive,0.09584924392462452,5.387236295818837,7.154934127135894e-08,True,2.308779127905934e-06
VolumeTrend,24,738,0,0.5163625257975303,positive,0.10244074270060877,5.040597248563893,4.6408122390892575e-07,True,1.4975134982030532e-05
XFIN,6,630,0,0.5578333285792298,positive,0.1520147997376758,3.6695988123646806,0.00024293142286503286,True,0.003596715802751422
XFIN,12,630,0,0.5578333285792298,positive,0.16349602061494115,3.4119076811845783,0.0006450995693420788,True,0.008824300307323249
XFIN,24,630,0,0.5578333285792298,positive,0.1760303270250442,3.168961496616806,0.0015298466034765483,True,0.01887509168093743
betaVIX,6,467,0,0.443469097432937,positive,0.1970403239606878,2.250651483507584,0.02440761988918248,False,0.20754155709731323
betaVIX,12,467,0,0.443469097432937,positive,0.20564178065129526,2.1565126309858362,0.031043658561474573,False,0.260331395754423
